Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"22,979","28,195","259,996","132,288","27,571",195.6,0,0.0,"255,417","255,417",0,193.1,193.1,0,0,0,0.0,0.0,"255,417",193.1,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"130,827","160,877","3,280,842","3,303,264",0,0.0,"21,856",12.7,"406,741",0,"406,741",0.0,12.3,"451,585","171,079","280,506",5.2,13.7,"-44,844",-1.4,24.6,"13,731","13,817","90,224"
m. ALL,"153,806","189,072","3,540,838","3,435,552","27,571",14.8,"21,856",11.7,"662,158","255,417","406,741",7.4,19.3,"451,585","171,079","280,506",5.0,13.1,"210,573",6.2,26.2,"13,731","13,817","90,224"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"19,914","22,011","162,726","81,645","21,807",198.1,0,0.0,"162,162","162,162",0,198.6,198.6,0,0,0,0.0,0.0,"162,162",198.6,0.0,,,
b) 1,"17,868","22,503","240,667","247,726",0,0.0,"5,529",21.8,"48,636",0,"48,636",0.0,19.6,"62,753","32,761","29,992",13.2,25.3,"-14,117",-5.7,39.2,"3,600","3,617","15,290"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"120,073","148,332","3,262,469","3,272,041","2,618",1.7,"15,142",9.8,"403,623","14,979","388,644",0.5,12.3,"422,769","130,800","291,969",4.0,12.9,"-19,146",-0.6,24.6,"10,013","10,049","55,964"
m. ALL,"157,855","192,846","3,665,862","3,601,412","24,425",12.8,"20,671",10.8,"614,421","177,141","437,280",4.9,17.1,"485,522","163,561","321,961",4.5,13.5,"128,899",3.6,27.0,"13,613","13,666","71,254"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"19,234","21,420","179,123","89,752","21,314",199.0,0,0.0,"178,742","178,742",0,199.2,199.2,0,0,0,0.0,0.0,"178,742",199.2,0.0,,,
b) 1,"15,499","17,303","159,968","160,218",4,0.0,"4,349",22.1,"39,189",46,"39,143",0.0,24.5,"39,689","21,106","18,583",13.2,24.8,-500,-0.3,49.0,"3,148","3,150","13,381"
c) 2,"15,582","19,776","225,221","232,682",527,2.5,"3,107",14.7,"36,875","2,620","34,255",1.1,15.8,"51,797","25,241","26,556",10.8,22.3,"-14,922",-6.5,31.6,"1,901","1,905","10,015"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
