Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"9,712","10,741","81,029","41,860","10,528",196.0,0,0.0,"78,338","78,338",0,187.1,187.1,0,0,0,0.0,0.0,"78,338",187.1,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"41,149","47,732","665,491","679,814",0,0.0,"7,817",15.1,"86,690",0,"86,690",0.0,12.8,"115,335","50,346","64,989",7.4,17.0,"-28,645",-4.2,25.6,"5,627","5,653","32,516"
m. ALL,"50,861","58,473","746,520","721,674","10,528",18.4,"7,817",13.7,"165,028","78,338","86,690",10.9,22.9,"115,335","50,346","64,989",7.0,16.0,"49,693",6.9,32.0,"5,627","5,653","32,516"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"7,695","8,177","56,941","28,504","8,175",200.0,0,0.0,"56,875","56,875",0,199.5,199.5,0,0,0,0.0,0.0,"56,875",199.5,0.0,,,
b) 1,"6,441","7,363","73,981","77,210",0,0.0,"3,173",35.1,"18,346",0,"18,346",0.0,23.8,"24,804","15,836","8,968",20.5,32.1,"-6,458",-8.3,47.6,"2,050","2,058","8,362"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"34,302","40,446","644,551","653,727",576,1.3,"7,370",16.7,"87,912","2,715","85,197",0.4,13.4,"106,264","55,514","50,750",8.5,16.3,"-18,352",-2.9,26.8,"4,296","4,304","28,266"
m. ALL,"48,438","55,986","775,473","759,441","8,751",15.3,"10,543",18.4,"163,133","59,590","103,543",7.8,21.5,"131,068","71,350","59,718",9.4,17.3,"32,065",4.2,34.6,"6,346","6,362","36,628"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"8,963","9,580","68,722","34,594","9,429",196.8,0,0.0,"68,256","68,256",0,197.3,197.3,0,0,0,0.0,0.0,"68,256",197.3,0.0,,,
b) 1,"6,660","7,100","59,886","58,407",0,0.0,"1,075",14.1,"16,408",0,"16,408",0.0,28.1,"13,450","5,473","7,977",9.4,23.0,"2,958",5.1,46.0,18,18,368
c) 2,"5,771","6,564","72,746","73,438",173,2.5,988,14.2,"13,320",678,"12,642",0.9,18.1,"14,703","6,524","8,179",8.9,20.0,"-1,383",-1.9,36.2,13,13,156
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"32,392","38,161","665,335","655,667",390,1.0,"2,928",7.4,"98,543","2,410","96,133",0.4,15.0,"79,207","24,980","54,227",3.8,12.1,"19,336",2.9,24.2,60,67,711
