Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"24,614","29,172","281,501","144,391","28,485",195.3,0,0.0,"274,221","274,221",0,189.9,189.9,0,0,0,0.0,0.0,"274,221",189.9,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"151,686","179,531","3,568,751","3,602,994",0,0.0,"22,690",11.9,"435,883",0,"435,883",0.0,12.1,"504,371","183,651","320,720",5.1,14.0,"-68,488",-1.9,24.2,"14,434","14,527","94,368"
m. ALL,"176,300","208,703","3,850,252","3,747,385","28,485",13.8,"22,690",11.0,"710,104","274,221","435,883",7.3,18.9,"504,371","183,651","320,720",4.9,13.5,"205,733",5.4,27.0,"14,434","14,527","94,368"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"20,949","22,812","183,282","91,850","22,608",198.2,0,0.0,"182,865","182,865",0,199.1,199.1,0,0,0,0.0,0.0,"182,865",199.1,0.0,,,
b) 1,"19,588","23,611","275,375","278,064",0,0.0,"5,432",20.6,"56,605",0,"56,605",0.0,20.4,"61,984","32,195","29,789",11.6,22.3,"-5,379",-1.9,40.8,"3,433","3,453","14,878"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"139,400","165,192","3,460,264","3,509,709","2,705",1.6,"16,925",9.8,"455,248","16,204","439,044",0.5,13.0,"554,139","203,557","350,582",5.8,15.8,"-98,891",-2.8,26.0,"11,348","11,408","104,176"
m. ALL,"179,937","211,615","3,918,921","3,879,623","25,313",12.0,"22,357",10.6,"694,718","199,069","495,649",5.1,17.9,"616,123","235,752","380,371",6.1,15.9,"78,595",2.0,31.8,"14,781","14,861","119,054"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"20,084","22,029","169,049","85,212","21,907",198.9,0,0.0,"167,675","167,675",0,196.8,196.8,0,0,0,0.0,0.0,"167,675",196.8,0.0,,,
b) 1,"16,674","18,351","189,065","185,568",11,0.1,"4,113",20.0,"51,126",644,"50,482",0.3,27.6,"44,132","18,896","25,236",10.2,23.8,"6,994",3.8,47.6,"3,026","3,029","10,961"
c) 2,"17,175","20,851","256,147","265,190",604,2.7,"3,174",14.3,"43,366","2,830","40,536",1.1,16.4,"61,451","27,162","34,289",10.2,23.2,"-18,085",-6.8,32.8,"2,023","2,028","9,441"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
