Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,563","2,784","18,703","9,560","2,770",199.0,0,0.0,"18,286","18,286",0,191.3,191.3,0,0,0,0.0,0.0,"18,286",191.3,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"15,144","16,675","339,323","314,857",0,0.0,"2,227",12.5,"88,026",0,"88,026",0.0,28.0,"39,094","14,848","24,246",4.7,12.4,"48,932",15.6,24.8,"1,452","1,462","7,106"
m. ALL,"17,707","19,459","358,026","324,417","2,770",14.4,"2,227",11.6,"106,312","18,286","88,026",5.6,32.8,"39,094","14,848","24,246",4.6,12.1,"67,218",20.7,24.2,"1,452","1,462","7,106"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,120","2,230","19,083","9,552","2,216",198.7,0,0.0,"19,062","19,062",0,199.6,199.6,0,0,0,0.0,0.0,"19,062",199.6,0.0,,,
b) 1,"1,992","2,176","18,465","18,521",0,0.0,580,23.4,"4,838",0,"4,838",0.0,26.1,"4,949","3,500","1,449",18.9,26.7,-111,-0.6,52.2,384,385,"1,765"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"13,993","15,435","296,001","317,629",281,1.8,"1,508",9.4,"43,713","1,630","42,083",0.5,13.8,"86,968","14,984","71,984",4.7,27.4,"-43,255",-13.6,27.6,"1,054","1,055","6,223"
m. ALL,"18,105","19,841","333,549","345,702","2,497",12.7,"2,088",10.6,"67,613","20,692","46,921",6.0,19.6,"91,917","18,484","73,433",5.3,26.6,"-24,304",-7.0,39.2,"1,438","1,440","7,988"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,056","2,181","16,669","8,339","2,174",199.4,0,0.0,"16,661","16,661",0,199.8,199.8,0,0,0,0.0,0.0,"16,661",199.8,0.0,,,
b) 1,"1,666","1,767","18,713","18,791",0,0.0,425,21.3,"4,755",0,"4,755",0.0,25.3,"4,910","1,793","3,117",9.5,26.1,-155,-0.8,50.6,322,322,"1,342"
c) 2,"1,744","1,908","18,243","18,341",60,2.9,309,15.1,"3,310",290,"3,020",1.6,18.0,"3,506","1,359","2,147",7.4,19.1,-196,-1.1,36.0,210,210,806
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"13,096","14,424","288,533","292,233",220,1.5,"1,184",7.9,"33,375","1,835","31,540",0.6,11.4,"40,774","11,213","29,561",3.8,14.0,"-7,399",-2.6,22.8,808,810,"5,222"
