Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"7,638","8,704","62,468","32,619","8,438",193.9,0,0.0,"59,698","59,698",0,183.0,183.0,0,0,0,0.0,0.0,"59,698",183.0,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"35,133","41,467","776,967","795,309",0,0.0,"6,095",13.6,"77,246",0,"77,246",0.0,9.7,"113,930","41,950","71,980",5.3,14.3,"-36,684",-4.6,19.4,"4,206","4,231","23,924"
m. ALL,"42,771","50,171","839,435","827,928","8,438",17.2,"6,095",12.4,"136,944","59,698","77,246",7.2,16.5,"113,930","41,950","71,980",5.1,13.8,"23,014",2.7,27.6,"4,206","4,231","23,924"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"6,994","7,496","59,639","29,908","7,416",197.9,0,0.0,"59,463","59,463",0,198.8,198.8,0,0,0,0.0,0.0,"59,463",198.8,0.0,,,
b) 1,"5,712","6,664","60,933","61,634",0,0.0,"1,979",25.8,"16,144",0,"16,144",0.0,26.2,"17,545","9,100","8,445",14.8,28.5,"-1,401",-2.3,52.4,"1,449","1,452","4,742"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"31,956","37,960","792,925","784,437",627,1.6,"4,119",10.4,"97,501","5,539","91,962",0.7,12.4,"80,524","30,551","49,973",3.9,10.3,"16,977",2.1,20.6,"2,944","2,951","13,851"
m. ALL,"44,662","52,120","913,497","875,979","8,043",15.7,"6,098",11.9,"173,108","65,002","108,106",7.4,19.8,"98,069","39,651","58,418",4.5,11.2,"75,039",8.6,22.4,"4,393","4,403","18,593"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"6,255","6,785","50,768","26,577","6,737",198.5,0,0.0,"48,383","48,383",0,182.0,182.0,0,0,0,0.0,0.0,"48,383",182.0,0.0,,,
b) 1,"5,224","5,690","59,062","59,114",0,0.0,"1,674",25.4,"14,035",0,"14,035",0.0,23.7,"14,139","6,843","7,296",11.6,23.9,-104,-0.2,47.4,"1,300","1,300","4,765"
c) 2,"4,745","5,624","56,611","58,691",162,2.6,"1,130",18.4,"9,754",599,"9,155",1.0,16.6,"13,913","6,055","7,858",10.3,23.7,"-4,159",-7.1,33.2,810,823,"4,102"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
