Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"12,257","14,066","124,146","63,385","13,758",195.6,0,0.0,"121,523","121,523",0,191.7,191.7,0,0,0,0.0,0.0,"121,523",191.7,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"54,063","64,276","1,189,269","1,210,488",0,0.0,"10,116",14.5,"146,081",0,"146,081",0.0,12.1,"188,518","74,324","114,194",6.1,15.6,"-42,437",-3.5,24.2,"6,942","6,972","44,067"
m. ALL,"66,320","78,342","1,313,415","1,273,873","13,758",17.9,"10,116",13.2,"267,604","121,523","146,081",9.5,21.0,"188,518","74,324","114,194",5.8,14.8,"79,086",6.2,29.6,"6,942","6,972","44,067"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,615","11,194","86,063","45,042","11,084",198.0,0,0.0,"82,043","82,043",0,182.1,182.1,0,0,0,0.0,0.0,"82,043",182.1,0.0,,,
b) 1,"9,109","10,721","109,062","116,476",0,0.0,"3,250",26.2,"28,754",0,"28,754",0.0,24.7,"43,581","19,046","24,535",16.4,37.4,"-14,827",-12.7,49.4,"2,325","2,330","10,727"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"48,981","58,514","1,192,148","1,189,529","1,001",1.6,"6,717",10.9,"161,228","5,862","155,366",0.5,13.6,"155,990","59,624","96,366",5.0,13.1,"5,238",0.5,26.2,"4,628","4,643","27,725"
m. ALL,"68,705","80,429","1,387,273","1,351,047","12,085",15.2,"9,967",12.6,"272,025","87,905","184,120",6.5,20.1,"199,571","78,670","120,901",5.8,14.8,"72,454",5.3,29.6,"6,953","6,973","38,452"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,112","10,906","83,829","41,998","10,858",199.1,0,0.0,"83,663",D,D,D,199.2,0,0,0,0.0,0.0,"83,663",199.2,0.0,,,
b) 1,"7,837","8,353","82,694","83,895",1,0.0,"2,655",27.2,"21,228",D,D,D,25.3,"23,630","11,782","11,848",14.0,28.2,"-2,402",-2.9,50.6,"2,133","2,133","9,065"
c) 2,"7,639","9,091","109,871","109,285",273,2.8,"1,790",18.1,"27,296","1,387","25,909",1.3,25.0,"26,123","11,417","14,706",10.4,23.9,"1,173",1.1,47.8,"1,234","1,234","6,081"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
