Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"12,746","14,724","131,847","68,213","14,410",195.7,0,0.0,"127,269","127,269",0,186.6,186.6,0,0,0,0.0,0.0,"127,269",186.6,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"60,747","73,417","1,259,259","1,292,102",0,0.0,"10,722",13.6,"155,494",0,"155,494",0.0,12.0,"221,180","79,450","141,730",6.1,17.1,"-65,686",-5.1,24.0,"6,990","7,032","43,037"
m. ALL,"73,493","88,141","1,391,106","1,360,315","14,410",16.7,"10,722",12.4,"282,763","127,269","155,494",9.4,20.8,"221,180","79,450","141,730",5.8,16.3,"61,583",4.5,32.6,"6,990","7,032","43,037"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"11,703","12,541","88,710","44,529","12,444",198.5,0,0.0,"88,362","88,362",0,198.4,198.4,0,0,0,0.0,0.0,"88,362",198.4,0.0,,,
b) 1,"9,876","11,654","127,975","129,835",0,0.0,"2,992",22.7,"28,567",0,"28,567",0.0,22.0,"32,287","15,297","16,990",11.8,24.9,"-3,720",-2.9,44.0,"2,099","2,103","7,714"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"55,581","67,487","1,259,682","1,258,942","1,197",1.7,"7,069",10.0,"168,951","5,587","163,364",0.4,13.4,"167,471","66,988","100,483",5.3,13.3,"1,480",0.1,26.6,"4,782","4,803","34,624"
m. ALL,"77,160","91,682","1,476,367","1,433,306","13,641",15.2,"10,061",11.2,"285,880","93,949","191,931",6.6,19.9,"199,758","82,285","117,473",5.7,13.9,"86,122",6.0,27.8,"6,881","6,906","42,338"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,967","11,985","92,010","46,063","11,935",199.2,0,0.0,"91,894",D,D,D,199.5,0,0,0,0.0,0.0,"91,894",199.5,0.0,,,
b) 1,"8,891","9,662","91,005","89,579",2,0.0,"2,714",24.5,"26,905",D,D,D,30.0,"24,052","13,142","10,910",14.7,26.9,"2,853",3.1,53.8,"2,119","2,119","8,680"
c) 2,"8,426","10,076","125,155","126,409",269,2.5,"1,745",16.1,"24,453","1,320","23,133",1.0,19.3,"26,960","11,198","15,762",8.9,21.3,"-2,507",-2.0,38.6,"1,214","1,214","5,657"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
