Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"11,734","13,416","102,445","54,098","13,130",195.7,0,0.0,"96,694","96,694",0,178.7,178.7,0,0,0,0.0,0.0,"96,694",178.7,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"64,957","74,244","1,332,716","1,347,053",0,0.0,"9,808",12.4,"142,008",0,"142,008",0.0,10.5,"170,681","69,961","100,720",5.2,12.7,"-28,673",-2.2,21.0,"6,219","6,269","38,462"
m. ALL,"76,691","87,660","1,435,161","1,401,151","13,130",15.3,"9,808",11.4,"238,702","96,694","142,008",6.9,17.0,"170,681","69,961","100,720",5.0,12.2,"68,021",4.8,24.4,"6,219","6,269","38,462"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"10,827","11,392","77,137","38,676","11,296",198.3,0,0.0,"76,923","76,923",0,198.9,198.9,0,0,0,0.0,0.0,"76,923",198.9,0.0,,,
b) 1,"9,455","11,000","103,783","103,033",0,0.0,"2,353",19.3,"24,504",0,"24,504",0.0,23.8,"23,003","11,907","11,096",11.6,22.3,"1,501",1.5,44.6,"1,578","1,581","5,943"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"59,944","68,645","1,364,669","1,347,636","1,239",1.7,"6,769",9.5,"169,763","7,014","162,749",0.5,12.6,"135,698","55,622","80,076",4.1,10.1,"34,065",2.5,20.2,"4,788","4,808","28,818"
m. ALL,"80,226","91,037","1,545,589","1,489,345","12,535",14.0,"9,122",10.2,"271,190","83,937","187,253",5.6,18.2,"158,701","67,529","91,172",4.5,10.7,"112,489",7.5,21.4,"6,366","6,389","34,761"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"9,598","10,283","75,691","38,683","10,237",199.1,0,0.0,"74,017","74,017",0,191.3,191.3,0,0,0,0.0,0.0,"74,017",191.3,0.0,,,
b) 1,"8,655","9,154","74,984","75,790",5,0.0,"2,079",20.3,"16,506",37,"16,469",0.0,21.8,"18,117","8,400","9,717",11.1,23.9,"-1,611",-2.1,43.6,"1,529","1,530","6,058"
c) 2,"8,264","9,625","98,117","100,834",256,2.5,"1,565",15.2,"17,207","1,133","16,074",1.1,17.1,"22,640","10,281","12,359",10.2,22.5,"-5,433",-5.4,34.2,983,989,"5,091"
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
