Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,110","2,299","15,512","7,821","2,260",196.6,0,0.0,"15,382","15,382",0,196.7,196.7,0,0,0,0.0,0.0,"15,382",196.7,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"7,662","8,460","93,777","95,164",0,0.0,"1,373",15.0,"16,113",0,"16,113",0.0,16.9,"18,886","8,866","10,020",9.3,19.8,"-2,773",-2.9,33.8,926,928,"6,309"
m. ALL,"9,772","10,759","109,289","102,985","2,260",21.9,"1,373",13.3,"31,495","15,382","16,113",14.9,30.6,"18,886","8,866","10,020",8.6,18.3,"12,609",12.3,36.6,926,928,"6,309"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"1,799","1,859","13,481","6,741","1,858",199.9,0,0.0,"13,480","13,480",0,200.0,200.0,0,0,0,0.0,0.0,"13,480",200.0,0.0,,,
b) 1,"1,449","1,616","15,324","15,365",0,0.0,640,32.7,"4,402",0,"4,402",0.0,28.6,"4,483","3,008","1,475",19.6,29.2,-81,-0.6,57.2,394,394,"1,401"
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"6,387","7,156","95,542","94,400",125,1.6,"1,331",17.0,"19,315",423,"18,892",0.4,20.5,"17,031","9,257","7,774",9.8,18.0,"2,284",2.5,36.0,785,787,"4,669"
m. ALL,"9,635","10,631","124,347","116,506","1,983",18.5,"1,971",18.4,"37,197","13,903","23,294",11.9,31.9,"21,514","12,265","9,249",10.5,18.5,"15,683",13.4,37.0,"1,179","1,181","6,070"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Estab Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"2,057","2,142","14,634","7,375","2,107",196.7,0,0.0,"14,519","14,519",0,196.9,196.9,0,0,0,0.0,0.0,"14,519",196.9,0.0,,,
b) 1,"1,555","1,608","13,844","13,662",0,0.0,250,14.4,"3,549",0,"3,549",0.0,26.0,"3,185","1,110","2,075",8.1,23.3,364,2.7,46.6,6,6,D
c) 2,"1,294","1,448","15,309","15,318",40,2.6,209,13.6,"3,298",366,"2,932",2.4,21.5,"3,315","1,382","1,933",9.0,21.6,-17,-0.1,43.0,4,4,D
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"6,010","6,717","95,579","95,694",79,1.1,556,8.0,"14,527",607,"13,920",0.6,15.2,"14,756","4,053","10,703",4.2,15.4,-229,-0.2,30.4,16,16,135
