Country: USA,,,,,,,,,,,,
Variable: Denom,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,750","1,858","1,694","1,915","1,314",D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"14,047","18,777","24,732","31,532","20,324",D,D,"15,603",D,"9,337",D,"45,826"
m) ALL,"16,797","20,635","26,426","33,447","21,638","25,691","13,866","15,603","17,145","9,337","6,973","45,826"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,689","1,462","1,203",694,297,D,,D,,,,
b) 1,"2,622","3,036","3,134","4,714","2,469",D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"12,042","16,838","22,567","29,180","21,717","23,420",D,"16,885",D,"9,427","6,399",D
m) ALL,"17,353","21,336","26,904","34,588","24,483","26,750","17,347","17,505","18,239","9,427","6,399","48,029"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,804","1,579","1,254","1,156",375,D,D,,,,,
b) 1,"2,751","2,718","2,964","2,784",994,"1,132",D,,D,,D,D
c) 2,"2,013","2,688","3,018","4,660","2,793","2,984",D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"10,588","15,620","22,174","28,353","21,872",D,"18,335","14,895","22,252","9,520",D,"45,506"
m) ALL,"18,156","22,605","29,410","36,953","26,034","28,278","19,091","14,895","25,737","9,520","11,681","45,559"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,825","1,496",989,"1,032",D,D,,,,,,
b) 1,"2,738","2,988","2,872","3,049",D,758,D,D,D,,,
c) 2,"2,135","2,579","2,826","2,635","1,254",D,,,D,,,
d) 3,"1,683","2,376","3,178","4,055","2,603","2,797",,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"9,430","14,563","20,701","27,692","20,982","24,069",D,"15,115","25,839",D,D,D
m) ALL,"18,811","24,002","30,566","38,463","27,340","29,115","17,816","16,010","29,386","9,490","12,047","48,631"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,671","1,597",972,"1,400",864,483,,,,,,
b) 1,"2,940","2,815","2,513","2,443","1,348",D,D,,,,,
c) 2,"2,109","2,490","2,697","3,103","1,209",D,D,D,D,,,
d) 3,"1,788","2,173","2,549","2,517",635,896,,,D,D,,
e) 4,"1,373","2,209","2,854","3,361","2,832","2,026",D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"8,824","13,133","19,145","27,075","18,475","22,803","16,493","15,768","28,644",D,D,D
m) ALL,"19,705","24,417","30,730","39,899","25,363","29,396","17,524","16,401","32,467","8,039","10,166","51,213"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,415","1,253","1,100",964,175,686,D,D,,,,
b) 1,"2,747","2,518","3,019","2,402","1,922","2,308",912,D,,,,D
c) 2,"2,203","2,401","2,424","2,387","1,458","1,796",,D,,D,,
d) 3,"1,799","2,053","2,316","2,719",857,"1,487",D,D,D,,,
e) 4,"1,488","1,923","2,169","2,138",698,D,,,D,,,
f) 5,"1,234","1,915","2,175","3,008","2,682","2,165",212,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"8,130","12,063","17,844","25,194","18,874",D,"15,387","16,264","25,948",D,"10,326","51,032"
m) ALL,"20,016","24,126","31,047","38,812","26,666","30,194","16,959","18,187","30,177","13,698","10,326","51,104"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,623","1,134",847,627,D,D,D,,,,,
b) 1,"2,557","2,415","2,356","2,354",D,545,"1,051",,D,,,D
c) 2,"2,148","2,247","2,720","2,663","1,681","1,959",D,"1,861",D,D,D,
