Country: USA,,,,,,,,,,,,
Variable: Emp,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,374","3,645","3,351","3,790","2,628",D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"12,240","17,650","23,439","30,184","20,211",D,D,"15,736",D,"9,385",D,"48,430"
m) ALL,"17,614","21,295","26,790","33,974","22,839","26,036","14,528","15,736","17,315","9,385","7,163","48,430"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,338","2,897","2,387","1,388",593,D,,D,,,,
b) 1,"2,213","2,984","3,187","5,013","2,613",D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"11,115","16,256","22,621","29,192","21,694","24,013",D,"16,988",D,"9,399","6,624",D
m) ALL,"18,666","22,137","28,195","35,593","24,900","27,929","19,071","18,220","18,679","9,399","6,624","46,199"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,566","3,145","2,508","2,311",749,D,D,,,,,
b) 1,"2,419","2,834","3,003","3,134","1,049","1,075",D,,D,,D,D
c) 2,"1,828","2,635","2,969","4,497","2,743","2,795",D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"9,734","15,354","21,740","28,579","22,351",D,"17,021","15,709","25,540","9,773",D,"47,028"
m) ALL,"19,547","23,968","30,220","38,521","26,892","28,502","18,164","15,709","29,097","9,773","12,066","47,083"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,600","2,969","1,978","2,015",D,D,,,,,,
b) 1,"2,290","2,906","2,943","2,983",D,760,D,D,D,,,
c) 2,"1,914","2,340","2,797","2,464","1,076",D,,,D,,,
d) 3,"1,429","2,222","3,080","3,922","2,603","2,822",,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"8,531","13,664","20,132","27,024","20,490","24,314",D,"15,499","24,376",D,D,D
m) ALL,"19,764","24,101","30,930","38,408","27,857","29,552","18,303","16,351","27,911","9,357","12,091","49,737"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,302","3,194","1,943","2,799","1,728",966,,,,,,
b) 1,"2,401","2,701","2,546","2,503","1,413",D,D,,,,,
c) 2,"1,760","2,285","2,621","2,968","1,123",D,D,D,D,,,
d) 3,"1,483","2,034","2,336","2,447",510,619,,,D,D,,
e) 4,"1,171","1,929","2,630","3,182","2,777","1,939",D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"7,833","12,420","18,473","26,702","18,050","23,049","16,033","16,727","28,734",D,D,D
m) ALL,"19,950","24,563","30,549","40,601","25,601","29,925","17,425","17,379","32,613","8,103","9,380","52,133"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,793","2,492","2,199","1,887",350,"1,372",D,D,,,,
b) 1,"2,255","2,456","3,075","2,318","1,797","2,507","1,151",D,,,,D
c) 2,"1,961","2,236","2,331","2,244","1,310","1,776",,D,,D,,
d) 3,"1,552","1,856","2,133","2,506",793,"1,436",D,D,D,,,
e) 4,"1,325","1,761","2,059","2,151",866,D,,,D,,,
f) 5,"1,055","1,839","2,063","2,935","2,768","2,220",269,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"7,450","11,391","17,249","24,535","18,345",D,"15,294","15,938","26,114",D,"10,024","49,960"
m) ALL,"20,391","24,031","31,109","38,576","26,229","29,955","17,610","17,856","30,678","17,713","10,024","50,034"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,148","2,250","1,674","1,254",D,D,D,,,,,
b) 1,"2,216","2,361","2,320","2,357",D,451,D,,D,,,D
c) 2,"1,901","2,169","2,702","2,647","1,673","2,020",D,"2,063",D,D,D,
