Country: USA,,,,,,,,,,,,
Variable: Estabs,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,997",398,225,145,77,1,3,,4,,1,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"5,649","2,847","1,919","1,303",607,653,403,258,319,199,136,769
m) ALL,"7,646","3,245","2,144","1,448",684,654,406,258,323,199,137,769
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,954",235,92,27,6,7,,1,,,,
b) 1,972,479,313,301,104,79,6,1,6,,,1
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"4,894","2,579","1,794","1,231",692,597,490,262,309,203,136,784
m) ALL,"7,820","3,293","2,199","1,559",802,683,496,264,315,203,136,785
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,987",265,107,46,17,1,1,,,,,
b) 1,"1,065",421,219,106,16,11,1,,2,,1,2
c) 2,768,418,306,277,140,101,10,,7,,,1
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"4,244","2,410","1,746","1,227",671,643,450,323,336,165,216,824
m) ALL,"8,064","3,514","2,378","1,656",844,756,462,323,345,165,217,827
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"2,063",252,78,56,16,2,,,,,,
b) 1,"1,068",443,221,107,30,9,13,1,1,,,
c) 2,860,376,215,93,24,11,,,4,,,
d) 3,627,380,317,239,150,79,,12,8,1,1,1
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,842","2,239","1,644","1,212",650,630,453,327,426,168,227,852
m) ALL,"8,460","3,690","2,475","1,707",870,731,466,340,439,169,228,853
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,947",269,80,54,13,3,,,,,,
b) 1,"1,079",407,185,89,41,18,11,,,,,
c) 2,824,358,202,113,24,9,13,1,1,,,
d) 3,674,325,189,82,12,12,,,3,2,,
e) 4,528,330,263,176,150,63,1,2,16,,1,1
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,563","1,974","1,498","1,125",546,572,434,366,483,148,222,902
m) ALL,"8,615","3,663","2,417","1,639",786,677,459,369,503,150,223,903
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,833",221,99,55,6,7,7,3,,,,
b) 1,"1,071",392,238,89,30,25,7,1,,,,2
c) 2,883,369,181,94,39,18,,16,,1,,
d) 3,713,307,184,111,20,18,1,10,1,,,
e) 4,578,285,171,93,23,16,,,4,,,
f) 5,468,319,218,193,139,87,9,1,17,,,2
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,272","1,854","1,432","1,093",599,497,521,357,460,186,213,935
m) ALL,"8,818","3,747","2,523","1,728",856,668,545,388,482,187,213,939
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"1,897",182,69,22,2,2,1,,,,,
b) 1,"1,078",363,177,98,33,6,2,,1,,,1
c) 2,885,346,214,104,28,17,1,8,1,1,1,
d) 3,760,322,159,86,21,48,5,16,,2,,
e) 4,650,276,156,113,29,16,,10,2,,,
f) 5,527,287,150,80,21,16,2,,2,3,,
g) 6 to 10,458,272,197,182,118,100,8,4,21,,,3
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,198","1,688","1,363","1,062",577,525,534,386,443,190,198,"1,005"
m) ALL,"9,453","3,736","2,485","1,747",829,730,553,424,470,196,199,"1,009"
,           1984,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
