Country: USA,,,,,,,,,,,,
Variable: Estabs_Exit,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,0,,0,,0,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,445",241,159,109,31,31,21,17,7,14,11,64
m) ALL,"1,445",241,159,109,31,31,21,17,7,14,11,64
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,,0,,,,
b) 1,542,52,24,11,4,1,1,0,1,,,0
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,007",180,64,48,48,38,37,18,14,9,10,81
m) ALL,"1,549",232,88,59,52,39,38,18,15,9,10,81
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,0,,,,,
b) 1,415,24,11,2,0,1,0,,0,,0,0
c) 2,243,49,19,11,14,2,0,,0,,,0
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,832,118,60,35,33,51,18,10,31,16,20,37
m) ALL,"1,490",191,90,48,47,54,18,10,31,16,20,37
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,,,,,,
b) 1,446,40,13,10,1,1,0,0,0,,,
c) 2,234,42,10,7,6,3,,,0,,,
d) 3,198,41,15,19,10,4,,0,0,0,0,0
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,669,123,58,32,39,23,21,11,18,20,15,49
m) ALL,"1,547",246,96,68,56,31,21,11,18,20,15,49
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,,,,,,
b) 1,540,49,9,7,2,0,1,,,,,
c) 2,299,44,11,14,0,1,1,0,0,,,
d) 3,232,28,25,6,1,2,,,0,0,,
e) 4,162,56,48,32,18,2,0,0,2,,0,0
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,665,149,95,88,62,38,21,22,19,27,20,49
m) ALL,"1,898",326,188,147,83,43,23,22,21,27,20,49
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,0,0,,,,
b) 1,446,40,9,11,1,0,0,0,,,,0
c) 2,271,25,12,7,1,0,,0,,0,,
d) 3,205,26,7,5,0,0,0,4,0,,,
e) 4,160,22,13,2,0,0,,,1,,,
f) 5,123,18,12,5,6,1,2,1,0,,,0
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,570,77,44,34,37,30,21,15,27,5,6,76
m) ALL,"1,775",208,97,64,45,31,23,20,28,5,6,76
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,0,,,,,
b) 1,379,43,15,5,4,3,7,,2,,,0
c) 2,265,25,8,8,2,0,0,0,0,0,0,
d) 3,199,28,10,12,3,7,0,0,,0,,
e) 4,130,18,4,1,5,1,,1,0,,,
f) 5,108,11,9,1,11,1,0,,0,0,,
g) 6 to 10,87,21,14,18,6,2,0,0,1,,,0
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,419,84,28,24,38,39,29,17,20,14,11,61
m) ALL,"1,587",230,88,69,69,53,36,18,23,14,11,61
,           1984,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,,,0,,,,
b) 1,447,31,10,3,0,0,0,0,,,,
c) 2,259,28,14,2,9,2,0,,0,,,
d) 3,198,17,11,2,1,0,0,0,0,0,,
e) 4,156,24,10,3,0,14,1,0,0,,,
