Country: USA,,,,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,22.5,8.2,8.1,8.3,5.2,4.9,5.3,6.7,2.2,7.3,8.2,8.6
m) ALL,19.5,7.6,7.6,7.8,4.9,4.9,5.3,6.7,2.2,7.3,8.1,8.6
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
b) 1,43.3,10.4,7.5,3.7,4.0,1.3,25.0,0.0,16.7,,,0.0
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,18.9,6.8,3.5,3.9,6.8,6.5,7.7,6.9,4.6,4.6,7.2,10.3
m) ALL,20.5,7.1,4.0,3.8,6.4,5.8,7.8,6.8,4.8,4.6,7.2,10.3
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
b) 1,32.2,5.6,4.9,1.9,0.0,8.7,0.0,,0.0,,0.0,0.0
c) 2,28.0,11.2,6.1,4.0,9.9,2.2,0.0,,0.0,,,0.0
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,18.1,4.8,3.4,2.8,5.0,8.2,4.1,3.2,9.4,10.0,9.3,4.6
m) ALL,19.2,5.5,3.8,2.9,5.7,7.4,4.0,3.2,9.1,10.0,9.3,4.6
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,34.0,8.7,5.8,9.1,3.3,11.1,0.0,0.0,0.0,,,
c) 2,24.4,10.6,4.5,7.3,23.1,25.0,,,0.0,,,
d) 3,28.0,10.4,4.7,7.8,6.7,5.0,,0.0,0.0,0.0,0.0,0.0
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,16.3,5.4,3.5,2.6,6.0,3.7,4.7,3.5,4.4,12.4,6.6,5.8
m) ALL,19.0,6.7,3.9,4.0,6.5,4.3,4.6,3.3,4.3,12.3,6.6,5.8
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,39.2,11.3,4.8,8.0,5.2,0.0,15.4,,,,,
c) 2,31.0,11.6,5.3,11.8,0.0,10.5,7.4,0.0,0.0,,,
d) 3,29.4,8.4,12.5,7.1,8.3,15.4,,,0.0,0.0,,
e) 4,27.0,15.7,16.8,16.9,12.0,3.2,0.0,0.0,11.8,,0.0,0.0
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,17.3,7.3,6.2,7.6,10.9,6.7,4.9,6.0,4.0,17.5,9.1,5.6
m) ALL,22.2,8.9,7.6,8.8,10.4,6.4,5.2,5.9,4.2,17.3,9.0,5.5
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
b) 1,33.8,9.8,3.8,12.0,3.3,0.0,0.0,0.0,,,,0.0
c) 2,27.5,6.7,6.5,7.5,2.5,0.0,,0.0,,0.0,,
d) 3,25.5,8.3,3.9,4.6,0.0,0.0,0.0,34.8,0.0,,,
e) 4,24.7,7.5,7.6,2.3,0.0,0.0,,,22.2,,,
f) 5,23.3,5.7,5.6,2.7,4.4,1.2,22.2,100.0,0.0,,,0.0
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,16.1,4.1,3.1,3.2,6.2,6.2,4.2,4.3,5.8,2.8,2.9,8.1
m) ALL,20.3,5.6,3.9,3.8,5.3,4.9,4.5,5.3,5.8,2.8,2.9,8.1
,           1983,Firm Size,,,,,,,,,,
