Country: USA,,,,,,,,,,,,
Variable: Job_Creation,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,249","3,574","3,315","3,750","2,628",D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,838","2,734","3,408","4,496","3,085",D,D,"1,716",D,754,D,"9,246"
m) ALL,"7,087","6,308","6,723","8,246","5,713","4,218","3,149","1,716","1,344",754,"1,079","9,246"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,298","2,870","2,368","1,388",593,D,,D,,,,
b) 1,631,893,843,"1,490",726,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,067","2,695","3,561","4,669","3,322","4,312",D,"2,185",D,696,"1,346",D
m) ALL,"7,996","6,458","6,772","7,547","4,641","5,775","4,977","3,416","2,219",696,"1,346","4,617"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,525","3,133","2,508","2,311",749,D,D,,,,,
b) 1,647,929,803,"1,189",357,290,D,,D,,D,D
c) 2,538,726,538,826,677,457,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,683","2,468","2,878","4,218","3,465",D,"2,180","2,178","7,599",943,D,"6,995"
m) ALL,"8,393","7,256","6,727","8,544","5,248","5,055","3,025","2,178","7,753",943,"1,916","6,999"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,550","2,947","1,978","1,966",D,D,,,,,,
b) 1,503,816,882,940,D,253,D,D,D,,,
c) 2,429,423,549,389,161,D,,,D,,,
d) 3,295,490,460,670,456,427,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,147","1,559","2,284","2,856","2,511","3,136",D,"2,462","3,705",D,D,D
m) ALL,"7,924","6,235","6,153","6,821","5,842","4,844","2,740","2,479","3,751",506,898,"6,303"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,263","3,194","1,943","2,799","1,728",966,,,,,,
b) 1,619,803,691,844,410,D,D,,,,,
c) 2,347,484,607,711,133,D,D,D,D,,,
d) 3,261,403,384,364,64,59,,,D,D,,
e) 4,222,303,427,670,587,233,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,975,"1,707","2,171","3,305","2,021","3,804","1,532","3,223","1,737",D,D,D
m) ALL,"7,687","6,894","6,223","8,693","4,943","5,826","2,455","3,273","1,982","1,125",831,"7,795"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,757","2,479","2,199","1,846",350,"1,372",D,D,,,,
b) 1,539,742,792,667,316,771,622,D,,,,D
c) 2,529,463,567,450,258,231,,D,,D,,
d) 3,337,319,328,477,112,221,D,D,D,,,
e) 4,281,288,407,445,359,D,,,D,,,
f) 5,185,386,336,480,499,325,124,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,184","1,390","2,035","2,914","2,214",D,"2,332","1,480","1,954",D,"1,329","4,706"
m) ALL,"7,812","6,067","6,664","7,279","4,108","5,858","3,974","1,721","2,646","8,587","1,329","4,711"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,050","2,232","1,654","1,254",D,D,D,,,,,
b) 1,453,650,641,531,D,230,152,,D,,,D
c) 2,435,456,541,658,331,387,D,493,D,D,D,
d) 3,331,367,360,285,213,509,81,D,,D,,
e) 4,265,274,171,358,366,86,,D,D,,,
f) 5,187,336,204,246,144,72,D,,D,D,,
g) 6 to 10,129,182,166,343,291,417,0,D,"3,021",,,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
