Country: USA,,,,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,249","3,574","3,315","3,750","2,628",D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,19,155,250,482,654,D,D,325,D,362,D,"3,480"
m) ALL,"5,268","3,729","3,565","4,232","3,282","1,148","1,376",325,488,362,335,"3,480"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,298","2,870","2,368","1,388",593,D,,D,,,,
b) 1,6,24,38,191,160,D,D,0,D,,,0
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,364,167,159,508,181,"1,068",D,D,D,300,D,"2,195"
m) ALL,"5,668","3,061","2,565","2,087",934,"2,169",656,"2,252",302,300,250,"2,195"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"3,133",D,D,D,D,D,,,,,
b) 1,D,14,D,D,D,0,0,,0,,0,0
c) 2,196,99,86,109,139,D,D,,0,,,0
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,452,386,284,445,368,"1,468",363,814,"1,284",268,576,"1,416"
m) ALL,"6,177","3,632","2,890","2,897","1,334","1,884","1,035",814,"1,284",268,576,"1,416"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"2,947","1,978",D,"1,850",D,,,,,,
b) 1,D,14,D,115,D,D,D,0,0,,,
c) 2,134,32,D,D,D,D,,,0,,,
d) 3,110,118,35,102,67,D,,D,D,0,D,0
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,395,156,202,384,611,583,D,D,D,218,D,"1,812"
m) ALL,"6,192","3,267","2,260","2,592","2,582","1,189",550,896,"1,420",218,231,"1,812"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,263","3,194","1,943","2,799","1,728",966,,,,,,
b) 1,D,14,D,D,41,D,D,,,,,
c) 2,D,D,96,20,D,0,0,0,0,,,
d) 3,49,87,63,D,D,0,,,D,0,,
e) 4,80,D,D,187,135,D,0,0,0,,0,0
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,358,458,345,717,391,819,D,"1,131",D,818,419,"2,669"
m) ALL,"5,840","3,795","2,498","3,881","2,335","2,048","1,244","1,131",308,818,419,"2,669"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,757","2,479","2,199","1,846",350,"1,372",D,D,,,,
b) 1,28,71,79,D,D,D,D,0,,,,0
c) 2,261,82,81,128,0,0,,D,,D,,
d) 3,135,83,117,142,D,D,D,D,0,,,
e) 4,125,69,108,D,203,D,,,0,,,
f) 5,64,173,89,161,155,55,D,D,0,,,0
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,461,350,654,959,779,"1,216",736,D,605,D,205,"1,996"
m) ALL,"5,831","3,307","3,327","3,433","1,542","3,271","2,240",429,605,"7,766",205,"1,996"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"2,232","1,654","1,254",D,D,D,,,,,
b) 1,D,D,D,0,0,0,0,,0,,,0
c) 2,173,41,152,136,D,D,0,D,0,0,0,
d) 3,92,31,D,0,0,D,D,D,,D,,
e) 4,56,D,D,D,D,D,,0,D,,,
f) 5,51,68,0,D,0,0,D,,0,D,,
g) 6 to 10,34,51,D,D,119,D,0,D,D,,,0
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,225,75,144,334,496,559,903,215,481,584,498,"2,627"
m) ALL,"5,683","2,513","1,984","1,818",888,"1,760","1,692",620,521,748,498,"2,627"
,           1984,Firm Size,,,,,,,,,,
