Country: USA,,,,,,,,,,,,
Variable: Job_Creation_Continuers,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,819","2,579","3,158","4,014","2,431",D,D,"1,391",D,392,D,"5,766"
m) ALL,"1,819","2,579","3,158","4,014","2,431","3,070","1,773","1,391",856,392,744,"5,766"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,,D,,,,
b) 1,625,869,805,"1,299",566,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,703","2,528","3,402","4,161","3,141","3,244",D,D,D,396,D,D
m) ALL,"2,328","3,397","4,207","5,460","3,707","3,606","4,321","1,164","1,917",396,"1,096","2,422"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,0,D,D,D,D,D,,,,,
b) 1,D,915,D,D,D,290,D,,D,,D,D
c) 2,342,627,452,717,538,D,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,231","2,082","2,594","3,773","3,097",D,"1,817","1,364","6,315",675,D,"5,579"
m) ALL,"2,216","3,624","3,837","5,647","3,914","3,171","1,990","1,364","6,469",675,"1,340","5,583"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,0,0,D,D,D,,,,,,
b) 1,D,802,D,825,D,D,D,D,D,,,
c) 2,295,391,D,D,D,D,,,D,,,
d) 3,185,372,425,568,389,D,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,752,"1,403","2,082","2,472","1,900","2,553",D,D,D,D,D,D
m) ALL,"1,732","2,968","3,893","4,229","3,260","3,655","2,190","1,583","2,331",288,667,"4,491"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,,,,,,
b) 1,D,789,D,D,369,D,D,,,,,
c) 2,D,D,511,691,D,D,D,D,D,,,
d) 3,212,316,321,D,D,59,,,D,D,,
e) 4,142,D,D,483,452,D,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,617,"1,249","1,826","2,588","1,630","2,985",D,"2,092",D,D,D,D
m) ALL,"1,847","3,099","3,725","4,812","2,608","3,778","1,211","2,142","1,674",307,412,"5,126"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,D,D,,,,
b) 1,511,671,713,D,D,D,D,D,,,,D
c) 2,268,381,486,322,258,231,,D,,D,,
d) 3,202,236,211,335,D,D,D,D,D,,,
e) 4,156,219,299,D,156,D,,,D,,,
f) 5,121,213,247,319,344,270,D,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,723,"1,040","1,381","1,955","1,435",D,"1,596",D,"1,349",D,"1,124","2,710"
m) ALL,"1,981","2,760","3,337","3,846","2,566","2,587","1,734","1,292","2,041",821,"1,124","2,715"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,0,0,0,D,D,D,,,,,
b) 1,D,D,D,531,D,230,152,,D,,,D
c) 2,262,415,389,522,D,D,D,D,D,D,D,
d) 3,239,336,D,285,213,D,D,D,,D,,
e) 4,209,D,D,D,D,D,,D,D,,,
f) 5,136,268,204,D,144,72,D,,D,D,,
g) 6 to 10,95,131,D,D,172,D,0,D,D,,,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,621,"1,111","1,521","2,298","1,876",D,"2,120","1,559","1,541",236,D,"2,388"
m) ALL,"2,013","3,170","3,418","4,489","3,253","2,796","2,454","1,918","4,526",249,"1,186","2,390"
,           1984,Firm Size,,,,,,,,,,
