Country: USA,,,,,,,,,,,,
Variable: Job_Destruction,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"5,451","4,988","5,993","7,192","3,310",D,D,"1,450",D,657,D,"4,038"
m) ALL,"5,451","4,988","5,993","7,192","3,310","3,528","1,824","1,450","1,004",657,699,"4,038"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,,D,,,,
b) 1,"1,448",997,736,891,437,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,921","3,859","3,453","4,645","3,367","3,126",D,"1,979",D,752,895,D
m) ALL,"5,369","4,856","4,189","5,536","3,804","3,417","1,529","1,984","1,337",752,895,"8,276"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,D,,,,,
b) 1,"1,311",696,725,488,246,404,D,,D,,D,D
c) 2,908,832,635,"1,151",776,834,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,391","2,999","3,746","3,766","2,507",D,"4,808",550,"1,023",436,D,"3,950"
m) ALL,"5,610","4,527","5,106","5,405","3,529","4,606","4,877",550,"1,033",436,"1,146","3,950"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,D,D,,,,,,
b) 1,"1,399",980,740,"1,072",D,248,D,D,D,,,
c) 2,871,901,606,731,517,D,,,D,,,
d) 3,803,798,655,936,456,376,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,945","3,357","3,422","4,192","3,494","2,645",D,"1,693","6,630",D,D,D
m) ALL,"6,018","6,036","5,423","6,931","4,807","3,966","1,764","1,795","6,699",771,808,"4,091"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,,,,,,
b) 1,"1,697","1,030",624,724,280,D,D,,,,,
c) 2,"1,045",894,759,980,305,D,D,D,D,,,
d) 3,870,681,810,503,313,613,,,D,D,,
e) 4,625,862,875,"1,027",697,406,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,956","3,132","3,515","4,050","2,870","3,312","2,451","1,304","1,556",D,D,D
m) ALL,"7,193","6,599","6,583","7,284","4,465","4,766","2,649","1,315","1,689",996,"2,402","5,954"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,D,D,,,,
b) 1,"1,523",866,680,834,565,373,144,D,,,,D
c) 2,"1,013",793,752,735,553,271,,D,,D,,
d) 3,830,713,693,903,239,323,D,D,D,,,
e) 4,606,612,627,419,23,D,,,D,,,
f) 5,542,538,560,626,326,215,10,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,544","2,734","3,225","4,232","3,271",D,"2,518","2,132","1,621",D,"1,932","6,850"
m) ALL,"7,058","6,256","6,537","7,749","4,977","6,336","2,672","2,381","1,642",556,"1,932","6,850"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,D,D,D,,,,,
b) 1,"1,134",758,712,525,D,417,947,,D,,,D
c) 2,929,612,576,689,346,265,D,89,D,D,D,
d) 3,750,636,634,649,439,396,32,D,,D,,
e) 4,506,385,330,399,253,275,,D,D,,,
f) 5,440,392,389,342,295,137,D,,D,D,,
g) 6 to 10,360,458,495,607,523,199,19,D,3,,,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,893","2,091","2,052","3,073","2,829",D,"2,678","1,646","3,379",878,D,"7,275"
