Country: USA,,,,,,,,,,,,
Variable: Job_Destruction_Deaths,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,752","2,579","3,159","3,939","1,574",D,D,509,D,149,D,"1,883"
m) ALL,"3,752","2,579","3,159","3,939","1,574","1,007",832,509,91,149,337,"1,883"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,,D,,,,
b) 1,"1,192",565,398,386,D,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,765","1,981","1,328","1,607",D,D,D,"1,039",D,181,435,D
m) ALL,"3,957","2,546","1,726","1,993","1,420","1,127",472,"1,039",896,181,435,"4,346"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,D,D,,,,,
b) 1,987,292,306,D,0,D,D,,D,,D,D
c) 2,668,493,214,D,215,D,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,309","1,300","1,242","1,038",730,D,"1,468",148,D,174,D,"1,407"
m) ALL,"3,964","2,085","1,762","1,552",945,"1,034","1,468",148,697,174,380,"1,407"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,D,D,,,,,,
b) 1,"1,039",502,305,530,D,D,D,D,D,,,
c) 2,629,480,244,351,352,D,,,D,,,
d) 3,583,360,154,285,D,D,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,826","1,365","1,067","1,038","1,368",526,D,100,343,D,D,D
m) ALL,"4,077","2,707","1,770","2,204","1,914","1,411",277,100,343,457,317,"1,439"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,,,,,,
b) 1,"1,332",581,239,393,D,D,D,,,,,
c) 2,791,508,321,537,0,D,D,D,D,,,
d) 3,635,325,460,254,D,D,,,D,D,,
e) 4,460,527,475,620,287,D,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,881","1,540","1,287","1,244","1,160","1,135",D,342,D,D,D,D
m) ALL,"5,099","3,481","2,782","3,048","1,764","1,228",944,342,273,484,324,"1,361"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,0,0,D,D,,,,
b) 1,"1,046",455,230,D,D,0,0,D,,,,D
c) 2,702,282,312,D,D,0,,D,,D,,
d) 3,576,315,177,D,0,0,D,D,D,,,
e) 4,427,248,333,D,0,D,,,D,,,
f) 5,351,191,256,256,47,D,D,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,607",971,"1,094","1,307",825,D,D,463,D,D,D,"1,433"
m) ALL,"4,709","2,462","2,402","2,709","1,199","1,800",847,485,282,83,437,"1,433"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0,0,0,0,D,D,D,,,,,
b) 1,858,420,398,279,D,D,D,,D,,,D
c) 2,658,298,181,D,D,0,D,0,D,D,D,
d) 3,514,344,217,384,D,D,0,D,,D,,
e) 4,320,182,114,D,D,D,,D,D,,,
f) 5,284,129,84,D,D,D,D,,D,D,,
g) 6 to 10,231,194,224,150,D,D,0,D,D,,,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,057",921,563,583,777,D,D,D,371,285,D,721
m) ALL,"3,922","2,488","1,781","1,933","1,712","1,606","1,787",564,385,285,764,721
,           1984,Firm Size,,,,,,,,,,
