Country: USA,,,,,,,,,,,,
Variable: Job_Destruction_Rate,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,38.8,26.6,24.2,22.8,16.3,D,D,9.3,D,7.0,D,8.8
m) ALL,32.5,24.2,22.7,21.5,15.3,13.7,13.2,9.3,5.9,7.0,10.0,8.8
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,,D,,,,
b) 1,55.2,32.8,23.5,18.9,17.7,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,32.6,22.9,15.3,15.9,15.5,13.3,D,11.7,D,8.0,14.0,D
m) ALL,30.9,22.8,15.6,16.0,15.5,12.8,8.8,11.3,7.3,8.0,14.0,17.2
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,,,,
b) 1,47.7,25.6,24.5,17.5,24.7,35.7,D,,D,,D,D
c) 2,45.1,31.0,21.0,24.7,27.8,27.9,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,32.0,19.2,16.9,13.3,11.5,D,26.2,3.7,4.6,4.6,D,8.7
m) ALL,30.9,20.0,17.4,14.6,13.6,16.3,25.5,3.7,4.0,4.6,9.8,8.7
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,,,,,,
b) 1,51.1,32.8,25.8,35.2,D,32.7,D,D,D,,,
c) 2,40.8,34.9,21.4,27.7,41.2,D,,,D,,,
d) 3,47.7,33.6,20.6,23.1,17.5,13.4,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,31.2,23.1,16.5,15.1,16.7,11.0,D,11.2,25.7,D,D,D
m) ALL,32.0,25.1,17.7,18.0,17.6,13.6,9.9,11.2,22.8,8.1,6.7,8.4
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,57.7,36.6,24.8,29.6,20.8,D,D,,,,,
c) 2,49.5,35.9,28.1,31.6,25.2,D,D,D,D,,,
d) 3,48.7,31.3,31.8,20.0,49.3,68.4,,,D,D,,
e) 4,45.5,39.0,30.7,30.6,24.6,20.0,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,33.5,23.8,18.4,15.0,15.5,14.5,14.9,8.3,5.4,D,D,D
m) ALL,36.5,27.0,21.4,18.3,17.6,16.2,15.1,8.0,5.2,12.4,23.6,11.6
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,,,,
b) 1,55.4,34.4,22.5,34.7,29.4,16.2,15.8,D,,,,D
c) 2,46.0,33.0,31.0,30.8,37.9,15.1,,D,,D,,
d) 3,46.1,34.7,29.9,33.2,27.9,21.7,D,D,D,,,
e) 4,40.7,31.8,28.9,19.6,3.3,D,,,D,,,
f) 5,43.9,28.1,25.7,20.8,12.2,9.9,4.7,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,31.3,22.7,18.1,16.8,17.3,D,16.4,13.1,6.2,D,18.7,13.4
m) ALL,35.3,25.9,21.1,20.0,18.7,21.0,15.8,13.1,5.4,4.1,18.7,13.4
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,D,,,,,
b) 1,44.3,31.4,30.2,22.3,D,76.5,90.1,,D,,,D
c) 2,43.2,27.2,21.2,25.9,20.6,13.5,D,4.8,D,D,D,
d) 3,39.8,29.2,32.1,27.9,50.2,20.4,46.4,D,,D,,
