Country: USA,,,,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,26.7,13.7,12.8,12.5,7.7,D,D,3.3,D,1.6,D,4.1
m) ALL,22.3,12.5,12.0,11.8,7.3,3.9,6.0,3.3,0.5,1.6,4.8,4.1
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,,D,,,,
b) 1,45.5,18.6,12.7,8.2,D,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,23.0,11.8,5.9,5.5,D,D,D,6.2,D,1.9,6.8,D
m) ALL,22.8,11.9,6.4,5.8,5.8,4.2,2.7,5.9,4.9,1.9,6.8,9.0
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,,,,
b) 1,35.9,10.7,10.3,D,0.0,D,D,,D,,D,D
c) 2,33.2,18.3,7.1,D,7.7,D,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,21.8,8.3,5.6,3.7,3.3,D,8.0,1.0,D,1.8,D,3.1
m) ALL,21.8,9.2,6.0,4.2,3.6,3.7,7.7,1.0,2.7,1.8,3.3,3.1
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,,,,,,
b) 1,37.9,16.8,10.6,17.4,D,D,D,D,D,,,
c) 2,29.5,18.6,8.6,13.3,28.1,D,,,D,,,
d) 3,34.6,15.2,4.8,7.0,D,D,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,19.4,9.4,5.2,3.7,6.5,2.2,D,0.7,1.3,D,D,D
m) ALL,21.7,11.3,5.8,5.7,7.0,4.8,1.6,0.6,1.2,4.8,2.6,3.0
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,45.3,20.6,9.5,16.1,D,D,D,,,,,
c) 2,37.5,20.4,11.9,17.3,0.0,D,D,D,D,,,
d) 3,35.5,15.0,18.0,10.1,D,D,,,D,D,,
e) 4,33.5,23.9,16.6,18.4,10.1,D,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,21.3,11.7,6.7,4.6,6.3,5.0,D,2.2,D,D,D,D
m) ALL,25.9,14.3,9.1,7.6,7.0,4.2,5.4,2.1,0.8,6.0,3.2,2.7
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,,,,
b) 1,38.1,18.1,7.6,D,D,0.0,0.0,D,,,,D
c) 2,31.9,11.7,12.9,D,D,0.0,,D,,D,,
d) 3,32.0,15.3,7.6,D,0.0,0.0,D,D,D,,,
e) 4,28.7,12.9,15.4,D,0.0,D,,,D,,,
f) 5,28.4,10.0,11.8,8.5,1.8,D,D,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,19.8,8.0,6.1,5.2,4.4,D,D,2.8,D,D,D,2.8
m) ALL,23.5,10.2,7.7,7.0,4.5,6.0,5.0,2.7,0.9,0.6,4.2,2.8
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,D,,,,,
b) 1,33.6,17.4,16.9,11.9,D,D,D,,D,,,D
c) 2,30.6,13.3,6.7,D,D,0.0,D,0.0,D,D,D,
d) 3,27.3,15.8,11.0,16.5,D,D,0.0,D,,D,,
e) 4,20.2,10.0,5.9,D,D,D,,D,D,,,
f) 5,21.6,7.1,4.4,D,D,D,D,,D,D,,
