Country: USA,,,,,,,,,,,,
Variable: Net_Job_Creation,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,249","3,574","3,315","3,750","2,628",D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"-3,613","-2,254","-2,585","-2,696",-225,D,D,266,D,97,D,"5,208"
m) ALL,"1,636","1,320",730,"1,054","2,403",690,"1,325",266,340,97,380,"5,208"
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,298","2,870","2,368","1,388",593,D,,D,,,,
b) 1,-817,-104,107,599,289,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"-1,854","-1,164",108,24,-45,"1,186",D,206,D,-56,451,D
m) ALL,"2,627","1,602","2,583","2,011",837,"2,358","3,448","1,432",882,-56,451,"-3,659"
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,525","3,133","2,508","2,311",749,D,D,,,,,
b) 1,-664,233,78,701,111,-114,D,,D,,D,D
c) 2,-370,-106,-97,-325,-99,-377,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"-1,708",-531,-868,452,958,D,"-2,628","1,628","6,576",507,D,"3,045"
m) ALL,"2,783","2,729","1,621","3,139","1,719",449,"-1,852","1,628","6,720",507,770,"3,049"
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,550","2,947","1,978","1,966",D,D,,,,,,
b) 1,-896,-164,142,-132,D,5,D,D,D,,,
c) 2,-442,-478,-57,-342,-356,D,,,D,,,
d) 3,-508,-308,-195,-266,0,51,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"-1,798","-1,798","-1,138","-1,336",-983,491,D,769,"-2,925",D,D,D
m) ALL,"1,906",199,730,-110,"1,035",878,976,684,"-2,948",-265,90,"2,212"
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,263","3,194","1,943","2,799","1,728",966,,,,,,
b) 1,"-1,078",-227,67,120,130,D,D,,,,,
c) 2,-698,-410,-152,-269,-172,D,D,D,D,,,
d) 3,-609,-278,-426,-139,-249,-554,,,D,D,,
e) 4,-403,-559,-448,-357,-110,-173,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"-1,981","-1,425","-1,344",-745,-849,492,-919,"1,919",181,D,D,D
m) ALL,494,295,-360,"1,409",478,"1,060",-194,"1,958",293,129,"-1,571","1,841"
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,757","2,479","2,199","1,846",350,"1,372",D,D,,,,
b) 1,-984,-124,112,-167,-249,398,478,D,,,,D
c) 2,-484,-330,-185,-285,-295,-40,,D,,D,,
d) 3,-493,-394,-365,-426,-127,-102,D,D,D,,,
e) 4,-325,-324,-220,26,336,D,,,D,,,
f) 5,-357,-152,-224,-146,173,110,114,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"-1,360","-1,344","-1,190","-1,318","-1,057",D,-186,-652,333,D,-603,"-2,144"
m) ALL,754,-189,127,-470,-869,-478,"1,302",-660,"1,004","8,031",-603,"-2,139"
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,050","2,232","1,654","1,254",D,D,D,,,,,
b) 1,-681,-108,-71,6,D,-187,-795,,D,,,D
c) 2,-494,-156,-35,-31,-15,122,D,404,D,D,D,
d) 3,-419,-269,-274,-364,-226,113,49,D,,D,,
e) 4,-241,-111,-159,-41,113,-189,,D,D,,,
f) 5,-253,-56,-185,-96,-151,-65,D,,D,D,,
g) 6 to 10,-231,-276,-329,-264,-232,218,-19,D,"3,018",,,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
