Country: USA,,,,,,,,,,,,
Variable: Reallocation_Rate,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,D,,D,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,26.2,29.2,27.6,28.6,30.4,D,D,18.6,D,14.0,D,17.6
m) ALL,65.0,48.4,45.4,43.0,30.6,27.4,26.4,18.6,11.8,14.0,20.0,17.6
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,,D,,,,
b) 1,48.2,58.8,47.0,37.8,35.4,D,D,D,D,,,D
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,34.4,32.0,30.6,31.8,30.6,26.6,D,23.4,D,14.8,28.0,D
m) ALL,61.8,45.6,31.2,32.0,31.0,25.6,17.6,22.6,14.6,14.8,28.0,19.2
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,,,,
b) 1,47.0,51.2,49.0,35.0,49.4,51.2,D,,D,,D,D
c) 2,53.4,54.0,35.6,35.4,48.4,30.6,D,,D,,,D
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,31.8,31.6,26.0,26.6,23.0,D,23.8,7.4,9.2,9.2,D,17.4
m) ALL,61.8,40.0,34.8,29.2,27.2,32.6,31.6,7.4,8.0,9.2,19.6,17.4
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,,,,,,
b) 1,36.8,54.6,51.6,61.6,D,65.4,D,D,D,,,
c) 2,40.2,32.8,38.8,29.6,25.6,D,,,D,,,
d) 3,35.0,41.2,29.0,33.0,35.0,26.8,,D,D,D,D,D
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,24.4,21.4,22.0,20.6,24.0,22.0,D,22.4,28.6,D,D,D
m) ALL,64.0,50.2,35.4,35.4,35.2,27.2,19.8,22.4,25.6,10.6,13.4,16.8
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,42.2,57.0,49.6,59.2,41.6,D,D,,,,,
c) 2,33.0,38.8,45.0,45.8,22.0,D,D,D,D,,,
d) 3,29.2,37.0,30.2,29.0,20.2,13.2,,,D,D,,
e) 4,32.4,27.4,30.0,39.8,41.4,23.0,D,D,D,,D,D
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,22.0,26.0,22.6,24.4,21.8,29.0,18.6,16.6,10.8,D,D,D
m) ALL,73.0,54.0,40.6,36.6,35.2,32.4,28.0,16.0,10.4,24.8,16.4,23.2
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,,,,
b) 1,39.2,59.0,45.0,55.6,32.8,32.4,31.6,D,,,,D
c) 2,48.0,38.6,46.8,37.8,35.4,25.8,,D,,D,,
d) 3,37.4,31.0,28.4,35.0,26.2,29.8,D,D,D,,,
e) 4,37.8,30.0,37.6,39.2,6.6,D,,,D,,,
f) 5,30.0,40.4,30.8,32.0,24.4,19.8,9.4,D,D,,,D
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,29.2,23.0,22.8,23.2,23.4,D,30.4,18.2,12.4,D,25.8,18.4
m) ALL,70.6,50.2,42.2,37.6,30.8,38.8,31.6,19.0,10.8,8.2,25.8,18.4
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,D,,,,,
b) 1,35.4,53.8,54.4,44.6,D,84.4,29.0,,D,,,D
c) 2,40.6,40.6,39.8,49.4,39.4,27.0,D,9.6,D,D,D,
d) 3,35.2,33.8,36.4,24.4,48.6,40.8,92.8,D,,D,,
