Country: USA,,,,,,,,,,,,
Variable: firmdeath_emp,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,           1977,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,.,,.,
b) 1,,,,,,,,,,,,
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"3,000","1,945","2,355","2,214",D,D,.,.,.,.,.,.
m) ALL,"3,000","1,945","2,355","2,214",698,344,.,.,.,.,.,.
,           1978,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,.,,,,
b) 1,937,421,243,173,.,.,.,.,.,,,.
c) 2,,,,,,,,,,,,
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"2,094","1,532",784,728,D,D,.,.,.,.,.,.
m) ALL,"3,031","1,953","1,027",901,460,210,.,.,.,.,.,.
,           1979,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
b) 1,774,256,280,D,.,D,.,,.,,.,.
c) 2,561,304,142,165,.,.,.,,.,,,.
d) 3,,,,,,,,,,,,
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,882","1,092",880,D,D,.,D,D,.,.,.,.
m) ALL,"3,217","1,652","1,302",745,261,226,"1,151",21,.,.,.,.
,           1980,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,,,,
b) 1,883,424,234,514,.,.,.,.,.,,,
c) 2,530,367,D,D,D,D,,,.,,,
d) 3,468,291,D,D,.,.,,.,.,.,.,.
e) 4,,,,,,,,,,,,
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,393",965,608,768,D,D,.,.,.,.,.,.
m) ALL,"3,274","2,047","1,146","1,588",681,964,.,.,.,.,.,.
,           1981,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,,,,,,
b) 1,"1,040",478,239,D,D,.,.,,,,,
c) 2,653,418,265,423,.,.,.,.,.,,,
d) 3,499,234,276,D,D,.,,,.,.,,
e) 4,316,301,207,D,D,.,.,.,.,,.,.
f) 5,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,310",935,519,362,D,.,D,.,.,.,.,.
m) ALL,"3,818","2,366","1,506","1,356",909,.,628,.,.,.,.,.
,           1982,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,.,,,,
b) 1,740,327,118,D,D,.,.,.,,,,.
c) 2,461,217,203,D,D,.,,.,,.,,
d) 3,386,195,D,D,.,.,.,.,.,,,
e) 4,244,164,86,.,.,.,,,.,,,
f) 5,212,123,D,D,.,.,.,.,.,,,.
g) 6 to 10,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,"1,047",605,872,D,.,D,.,.,.,.,.,.
m) ALL,"3,090","1,631","1,526","1,495",327,337,.,.,.,.,.,.
,           1983,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,.,.,,,,,
b) 1,693,321,371,240,.,D,D,,.,,,.
c) 2,548,269,181,366,.,.,.,.,.,.,.,
d) 3,428,293,171,165,D,D,.,.,,.,,
e) 4,270,135,114,.,.,.,,.,.,,,
f) 5,233,117,D,D,D,.,.,,.,.,,
g) 6 to 10,178,139,D,D,.,.,.,.,.,,,.
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,868,741,438,418,D,D,.,.,.,.,.,.
m) ALL,"3,218","2,015","1,390","1,294",581,739,736,.,.,.,.,.
,           1984,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,.,.,.,.,.,,,.,,,,
b) 1,793,296,195,159,.,.,.,.,,,,
c) 2,445,280,247,D,D,D,.,,.,,,
