Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Firm Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"6,308","6,616","31,758","16,121","6,478",195.8,0,0.0,"31,274","31,274",0,194.0,194.0,0,0,0,0.0,0.0,"31,274",194.0,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"29,193","34,088","519,532","513,795",813,2.2,"5,455",14.9,"88,454","13,253","75,201",2.6,17.2,"76,979","32,531","44,448",6.3,15.0,"11,475",2.2,30.0,"3,970","3,994","19,678"
m) ALL,"35,501","40,704","551,290","529,916","7,291",18.3,"5,455",13.7,"119,728","44,527","75,201",8.4,22.6,"76,979","32,531","44,448",6.1,14.5,"42,749",8.1,29.0,"3,970","3,994","19,678"
,,1978,,,,,,,,,,,,,,,,,,,,,,
