Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Firm Age,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a) 0,"4,261","4,512","23,990","12,113","4,430",196.4,0,0.0,"23,754","23,754",0,196.1,196.1,0,0,0,0.0,0.0,"23,754",196.1,0.0,,,
b) 1,,,,,,,,,,,,,,,,,,,,,,,,
c) 2,,,,,,,,,,,,,,,,,,,,,,,,
d) 3,,,,,,,,,,,,,,,,,,,,,,,,
e) 4,,,,,,,,,,,,,,,,,,,,,,,,
f) 5,,,,,,,,,,,,,,,,,,,,,,,,
g) 6 to 10,,,,,,,,,,,,,,,,,,,,,,,,
h) 11 to 15,,,,,,,,,,,,,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,,,,,,,,,,,,,
l) Left Censored,"17,007","20,041","332,348","327,545",643,3.0,"3,306",15.4,"68,941","14,979","53,962",4.6,21.0,"59,334","26,058","33,276",8.0,18.1,"9,607",2.9,36.2,"2,148","2,168","15,845"
m) ALL,"21,268","24,553","356,338","339,658","5,073",21.4,"3,306",14.0,"92,695","38,733","53,962",11.4,27.3,"59,334","26,058","33,276",7.7,17.5,"33,361",9.8,35.0,"2,148","2,168","15,845"
,,1978,,,,,,,,,,,,,,,,,,,,,,
