Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"31,232","34,007","87,409","79,152","7,025",21.0,"5,612",16.8,"32,974","13,723","19,251",17.3,41.7,"16,459","10,676","5,783",13.5,20.8,"16,515",20.9,41.6,"3,994","3,996","7,660"
b. 5 to 9,"11,538","13,484","91,911","87,809","1,976",15.0,"1,292",9.8,"25,815","12,823","12,992",14.6,29.4,"17,611","8,334","9,277",9.5,20.1,"8,204",9.3,40.2,890,894,"5,784"
c. 10 to 19,"6,333","7,627","104,889","101,905",889,11.9,631,8.4,"25,371","11,848","13,523",11.6,24.9,"19,403","8,462","10,941",8.3,19.0,"5,968",5.9,38.0,434,435,"5,863"
d. 20 to 49,"3,735","4,844","147,037","143,549",512,10.7,359,7.5,"31,428","15,359","16,069",10.7,21.9,"24,452","10,625","13,827",7.4,17.0,"6,976",4.9,34.0,221,221,"6,424"
e. 50 to 99,"1,250","1,520","104,185","103,033",143,9.5,97,6.5,"19,862","9,549","10,313",9.3,19.3,"17,558","6,742","10,816",6.5,17.0,"2,304",2.3,34.0,60,60,"4,127"
f. 100 to 249,683,874,"132,570","131,316",58,6.7,46,5.3,"20,250","8,495","11,755",6.5,15.4,"17,742","6,893","10,849",5.2,13.5,"2,508",1.9,27.0,27,27,"4,174"
g. 250 to 499,236,303,"100,394","101,729",20,6.6,21,6.9,"12,489","6,371","6,118",6.3,12.3,"15,158","7,161","7,997",7.0,14.9,"-2,669",-2.6,24.6,6,8,"2,570"
h. 500 to 999,109,138,"94,948","90,963",9,6.7,0,0.0,"13,227","6,231","6,996",6.9,14.5,"5,256",0,"5,256",0.0,5.8,"7,971",8.7,11.6,,,
i. 1000+,46,54,"94,088","94,579",3,5.7,0,0.0,"10,126","5,484","4,642",5.8,10.7,"11,107",0,"11,107",0.0,11.7,-981,-1.0,21.4,,,
m. ALL,"55,162","62,851","957,431","934,035","10,635",17.2,"8,058",13.1,"191,542","89,883","101,659",9.6,20.5,"144,746","58,893","85,853",6.3,15.5,"46,796",5.0,31.0,"5,632","5,641","36,602"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"32,082","35,066","96,244","85,095","6,937",20.1,"5,753",16.7,"37,963",D,D,D,44.6,"15,665","10,828","4,837",12.7,18.4,"22,298",26.2,36.8,"4,242","4,245",D
b. 5 to 9,"12,048","14,055","102,325","95,433","1,839",13.3,"1,297",9.4,"29,961","12,044","17,917",12.6,31.4,"16,176","8,358","7,818",8.8,17.0,"13,785",14.4,34.0,917,918,"5,934"
c. 10 to 19,"6,603","7,943","116,029","109,039",877,11.3,511,6.6,"29,561","11,623","17,938",10.7,27.1,"15,581","6,790","8,791",6.2,14.3,"13,980",12.8,28.6,300,300,"3,967"
d. 20 to 49,"3,883","5,045","161,179","154,355",437,8.8,288,5.8,"35,151","12,718","22,433",8.2,22.8,"21,502","8,539","12,963",5.5,13.9,"13,649",8.9,27.8,157,159,"4,710"
e. 50 to 99,"1,287","1,592","114,525","111,156",109,6.9,87,5.5,"22,626","7,506","15,120",6.8,20.4,"15,887","6,253","9,634",5.6,14.3,"6,739",6.1,28.6,40,42,"2,895"
f. 100 to 249,701,895,"141,747","138,346",51,5.7,48,5.4,"25,121","7,441","17,680",5.4,18.2,"18,318","7,158","11,160",5.2,13.2,"6,803",5.0,26.4,16,20,"3,062"
g. 250 to 499,251,316,"107,225","107,052",18,5.7,14,4.5,"15,738","6,111","9,627",5.7,14.7,"15,391","4,791","10,600",4.5,14.4,347,0.3,28.8,3,4,"1,302"
h. 500 to 999,110,139,"96,706","96,782",2,1.4,4,2.9,"11,732",D,D,D,12.1,"11,883","2,513","9,370",2.6,12.3,-151,-0.2,24.2,2,2,D
i. 1000+,46,54,"96,403","97,612",0,0.0,0,0.0,"5,323",0,"5,323",0.0,5.5,"7,741",0,"7,741",0.0,7.9,"-2,418",-2.4,11.0,,,
m. ALL,"57,011","65,105","1,032,383","994,870","10,270",16.1,"8,002",12.5,"213,176","72,179","140,997",7.3,21.4,"138,144","55,230","82,914",5.6,13.9,"75,032",7.5,27.8,"5,677","5,690","30,946"
,,1979,,,,,,,,,,,,,,,,,,,,,,
