Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"21,858","23,181","55,742","50,977","5,132",22.6,"4,024",17.7,"20,795",D,D,D,40.8,"11,264","7,267","3,997",14.3,22.1,"9,531",18.7,44.2,"2,978","2,991",D
b. 5 to 9,"7,408","8,232","60,322","55,658","1,208",15.1,767,9.6,"19,821","7,863","11,958",14.1,35.6,"10,493","4,880","5,613",8.8,18.9,"9,328",16.7,37.8,581,584,"3,720"
c. 10 to 19,"4,185","4,809","66,118","64,037",563,11.9,368,7.8,"15,713","7,585","8,128",11.8,24.5,"11,550","4,860","6,690",7.6,18.0,"4,163",6.5,36.0,253,253,"3,299"
d. 20 to 49,"2,308","2,871","87,696","85,877",274,9.6,215,7.6,"18,203","8,166","10,037",9.5,21.2,"14,565","6,426","8,139",7.5,17.0,"3,638",4.2,34.0,128,129,"3,837"
e. 50 to 99,740,890,"61,553","60,175",85,9.7,56,6.4,"12,457","5,800","6,657",9.6,20.7,"9,700","3,752","5,948",6.2,16.1,"2,757",4.6,32.2,27,27,"1,744"
f. 100 to 249,386,468,"81,501","76,312",25,5.4,17,3.7,"17,605","3,855","13,750",5.1,23.1,"7,227","2,669","4,558",3.5,9.5,"10,378",13.6,19.0,9,9,"1,309"
g. 250 to 499,146,178,"64,652","63,945",3,1.7,8,4.4,"8,111",941,"7,170",1.5,12.7,"6,696","2,677","4,019",4.2,10.5,"1,415",2.2,21.0,1,1,D
h. 500 to 999,45,50,"35,143","34,475",1,2.0,0,0.0,"3,993",D,D,D,11.6,"2,657",0,"2,657",0.0,7.7,"1,336",3.9,15.4,,,
i. 1000+,23,25,"38,563","38,462",0,0.0,0,0.0,"3,030",0,"3,030",0.0,7.9,"2,827",0,"2,827",0.0,7.4,203,0.5,14.8,,,
m. ALL,"37,099","40,704","551,290","529,918","7,291",18.3,"5,455",13.7,"119,728","44,527","75,201",8.4,22.6,"76,979","32,531","44,448",6.1,14.5,"42,749",8.1,29.0,"3,977","3,994","19,678"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"20,181","21,535","55,250","51,422","4,138",18.6,"5,221",23.4,"20,480","7,884","12,596",15.3,39.8,"12,823",D,"3,041",D,24.9,"7,657",14.9,49.8,"3,338","3,338","6,184"
b. 5 to 9,"7,300","8,109","57,719","56,176",966,11.7,"1,152",14.0,"15,343","6,324","9,019",11.3,27.3,"12,257","7,389","4,868",13.2,21.8,"3,086",5.5,43.6,675,675,"4,295"
c. 10 to 19,"4,116","4,797","69,607","67,104",503,10.5,486,10.1,"16,613","6,570","10,043",9.8,24.8,"11,607","6,407","5,200",9.5,17.3,"5,006",7.5,34.6,259,260,"3,409"
d. 20 to 49,"2,299","2,849","90,761","88,089",253,8.8,257,9.0,"19,236","7,353","11,883",8.3,21.8,"13,892","7,412","6,480",8.4,15.8,"5,344",6.0,31.6,123,128,"3,697"
e. 50 to 99,739,876,"65,121","63,463",48,5.4,59,6.7,"11,632","3,398","8,234",5.4,18.3,"8,316","4,282","4,034",6.7,13.1,"3,316",5.2,26.2,25,25,"1,854"
f. 100 to 249,394,489,"77,269","76,204",15,3.1,20,4.1,"10,587","2,085","8,502",2.7,13.9,"8,456","2,856","5,600",3.7,11.1,"2,131",2.8,22.2,5,5,631
g. 250 to 499,148,185,"63,152","63,499",7,3.8,9,4.9,"6,819","2,508","4,311",3.9,10.7,"7,513","2,894","4,619",4.6,11.8,-694,-1.1,21.4,1,1,D
h. 500 to 999,56,60,"42,227","42,122",0,0.0,3,4.9,"4,713",0,"4,713",0.0,11.2,"4,502","1,923","2,579",4.6,10.7,211,0.5,21.4,2,2,D
i. 1000+,26,28,"42,608","48,508",0,0.0,1,3.5,"2,201",0,"2,201",0.0,4.5,"14,001",D,"9,287",D,28.9,"-11,800",-24.4,9.0,,,
m. ALL,"35,259","38,928","563,714","556,587","5,930",14.9,"7,208",18.1,"107,624","36,122","71,502",6.5,19.3,"93,367","47,659","45,708",8.6,16.8,"14,257",2.5,33.6,"4,428","4,434","21,675"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
