Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"21,753","23,393","61,511","53,972","6,113",27.2,"4,217",18.7,"26,884","12,128","14,756",22.5,49.8,"11,805","8,069","3,736",15.0,21.9,"15,079",27.9,43.8,"2,946","2,956",D
b. 5 to 9,"8,230","9,889","67,992","63,976","1,662",17.4,"1,026",10.7,"21,751","10,862","10,889",17.0,34.0,"13,719","6,734","6,985",10.5,21.4,"8,032",12.6,42.8,731,733,"4,795"
c. 10 to 19,"4,651","5,664","78,987","75,261",913,16.6,555,10.1,"22,555","12,084","10,471",16.1,30.0,"15,103","7,473","7,630",9.9,20.1,"7,452",9.9,40.2,391,393,"5,256"
d. 20 to 49,"2,588","3,449","107,984","102,800",510,15.3,296,8.9,"29,771","15,276","14,495",14.9,29.0,"19,402","8,938","10,464",8.7,18.9,"10,369",10.1,37.8,202,203,"6,015"
e. 50 to 99,834,"1,042","71,272","70,087",115,11.2,92,8.9,"15,588","7,563","8,025",10.8,22.2,"13,217","5,903","7,314",8.4,18.9,"2,371",3.3,37.8,52,52,"3,445"
f. 100 to 249,367,467,"70,478","69,082",51,11.1,36,7.8,"13,760","7,814","5,946",11.3,19.9,"10,967","5,593","5,374",8.1,15.9,"2,793",4.0,31.8,19,19,"3,244"
g. 250 to 499,88,127,"40,659","40,625",15,12.2,7,5.7,"6,921","4,918","2,003",12.1,17.0,"6,852","2,363","4,489",5.8,16.9,69,0.1,33.8,2,2,D
h. 500 to 999,40,44,"31,756","30,636",0,0.0,0,0.0,"3,688",0,"3,688",0.0,12.0,"1,450",0,"1,450",0.0,4.7,"2,238",7.3,9.4,,,
i. 1000+,28,34,"73,891","82,946",0,0.0,0,0.0,"6,507",0,"6,507",0.0,7.8,"24,617",0,"24,617",0.0,29.7,"-18,110",-21.9,15.6,,,
m. ALL,"38,579","44,109","604,530","589,385","9,379",22.0,"6,229",14.6,"147,425","70,645","76,780",12.0,25.0,"117,132","45,073","72,059",7.6,19.9,"30,293",5.1,39.8,"4,343","4,358","29,117"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"20,235","22,161","63,352","56,797","4,924",21.7,"5,678",25.0,"27,155",D,D,D,47.8,"14,044",D,"2,899",D,24.7,"13,111",23.1,49.4,"3,451","3,467","6,780"
b. 5 to 9,"8,151","9,611","71,104","67,028","1,505",15.6,"1,464",15.2,"23,141","9,785","13,356",14.6,34.5,"14,988","9,537","5,451",14.2,22.4,"8,153",12.1,44.8,826,833,"5,427"
c. 10 to 19,"4,744","5,813","89,289","83,390",763,13.2,708,12.2,"27,731","9,902","17,829",11.9,33.3,"15,932","9,322","6,610",11.2,19.1,"11,799",14.2,38.2,393,397,"5,225"
d. 20 to 49,"2,727","3,649","123,597","116,527",384,10.5,367,10.1,"33,855","11,558","22,297",9.9,29.1,"19,715","10,620","9,095",9.1,16.9,"14,140",12.2,33.8,186,186,"5,175"
e. 50 to 99,841,"1,045","76,467","73,253",113,10.9,92,8.9,"18,119","7,618","10,501",10.4,24.7,"11,690","6,308","5,382",8.6,16.0,"6,429",8.7,32.0,35,37,"2,600"
f. 100 to 249,408,523,"83,508","80,123",38,7.3,28,5.4,"17,548","5,733","11,815",7.2,21.9,"10,778","4,404","6,374",5.5,13.5,"6,770",8.4,27.0,9,10,"1,578"
g. 250 to 499,92,131,"43,622","43,344",12,9.4,7,5.5,"8,340","4,219","4,121",9.7,19.2,"7,783","2,438","5,345",5.6,18.0,557,1.2,36.0,1,1,D
h. 500 to 999,40,46,"31,054","31,561",2,4.3,3,6.5,"4,100",D,D,D,13.0,"5,114","2,007","3,107",6.4,16.2,"-1,014",-3.2,26.0,,,
i. 1000+,31,36,"75,738","78,037",0,0.0,1,2.7,"2,717",0,"2,717",0.0,3.5,"7,317",D,"6,234",D,9.4,"-4,600",-5.9,7.0,1,1,D
m. ALL,"37,269","43,015","657,731","630,060","7,741",17.8,"8,348",19.2,"162,706","59,948","102,758",9.5,25.8,"107,361","56,864","50,497",9.0,17.0,"55,345",8.8,34.0,"4,902","4,932","28,308"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
