Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"220,616","237,273","632,966","549,862","57,668",25.2,"40,039",17.5,"278,154","111,485","166,669",20.3,50.6,"111,946",D,"37,315",D,20.4,"166,208",30.2,40.8,"27,150","27,217","50,477"
b. 5 to 9,"77,489","90,745","654,174","605,588","15,750",17.9,"10,036",11.4,"222,586","102,290","120,296",16.9,36.8,"125,414","65,129","60,285",10.8,20.7,"97,172",16.1,41.4,"6,493","6,526","42,281"
c. 10 to 19,"43,847","54,717","789,051","743,030","8,314",15.6,"5,319",10.0,"235,653","109,615","126,038",14.8,31.7,"143,610","71,106","72,504",9.6,19.3,"92,043",12.4,38.6,"3,293","3,309","44,098"
d. 20 to 49,"25,558","35,706","1,156,891","1,108,194","4,367",12.4,"3,515",10.0,"304,544","129,276","175,268",11.7,27.5,"207,149","106,579","100,570",9.6,18.7,"97,395",8.8,37.4,"2,099","2,107","63,938"
e. 50 to 99,"8,165","12,033","832,869","818,232","1,337",11.2,"1,163",9.7,"185,217","89,842","95,375",11.0,22.6,"155,942","77,692","78,250",9.5,19.1,"29,275",3.5,38.2,560,562,"37,580"
f. 100 to 249,"3,689","5,703","871,851","852,737",567,10.1,417,7.4,"183,805","82,896","100,909",9.7,21.6,"145,577","60,864","84,713",7.1,17.1,"38,228",4.5,34.2,187,188,"27,157"
g. 250 to 499,"1,021","1,617","573,932","559,748",123,7.7,98,6.1,"111,464","40,270","71,194",7.2,19.9,"83,095","31,939","51,156",5.7,14.8,"28,369",5.1,29.6,33,33,"11,244"
h. 500 to 999,448,632,"420,741","410,264",44,7.2,1,0.2,"64,493","30,353","34,140",7.4,15.7,"43,539",D,"43,039",D,10.6,"20,954",5.1,21.2,,,
i. 1000+,232,347,"881,304","837,738",18,5.3,0,0.0,"153,481","83,141","70,340",9.9,18.3,"66,348",0,"66,348",0.0,7.9,"87,133",10.4,15.8,,,
m. ALL,"381,065","438,773","6,813,779","6,485,393","88,188",20.7,"60,588",14.2,"1,739,397","779,168","960,229",12.0,26.8,"1,082,620","488,440","594,180",7.5,16.7,"656,777",10.1,33.4,"39,815","39,942","276,775"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"224,244","241,283","665,374","580,503","54,231",22.9,"45,011",19.0,"288,866","103,036","185,830",17.7,49.8,"119,123","85,848","33,275",14.8,20.5,"169,743",29.3,41.0,"29,701","29,776",D
b. 5 to 9,"81,539","94,941","697,157","649,777","14,204",15.2,"11,171",12.0,"222,736","92,336","130,400",14.2,34.3,"127,975","72,265","55,710",11.1,19.7,"94,761",14.6,39.4,"6,559","6,617","42,751"
c. 10 to 19,"46,286","57,512","857,260","805,740","7,327",12.9,"5,928",10.4,"250,041","97,451","152,590",12.1,31.0,"147,001","78,777","68,224",9.8,18.2,"103,040",12.8,36.4,"3,239","3,266","42,962"
d. 20 to 49,"26,821","37,392","1,225,707","1,176,287","3,614",9.7,"3,323",8.9,"296,809","108,135","188,674",9.2,25.2,"197,969","99,628","98,341",8.5,16.8,"98,840",8.4,33.6,"1,545","1,553","45,400"
e. 50 to 99,"8,695","12,751","919,253","888,123","1,100",8.7,922,7.3,"199,720","74,658","125,062",8.4,22.5,"137,459","62,164","75,295",7.0,15.5,"62,261",7.0,31.0,348,352,"23,213"
f. 100 to 249,"3,961","6,037","942,495","920,816",456,7.6,419,7.0,"186,425","66,634","119,791",7.2,20.2,"143,066","63,324","79,742",6.9,15.5,"43,359",4.7,31.0,133,135,"20,838"
g. 250 to 499,"1,064","1,733","611,864","606,361",86,4.9,107,6.1,"103,551","28,939","74,612",4.8,17.1,"92,545","35,779","56,766",5.9,15.3,"11,006",1.8,30.6,25,25,"8,217"
h. 500 to 999,467,640,"434,932","435,445",19,3.0,19,3.0,"56,211","12,631","43,580",2.9,12.9,"57,236","12,179","45,057",2.8,13.1,"-1,025",-0.2,25.8,2,2,D
i. 1000+,252,372,"888,146","959,733",7,1.9,7,1.9,"77,654","12,516","65,138",1.3,8.1,"220,827","18,545","202,282",1.9,23.0,"-143,173",-14.9,16.2,3,3,"7,788"
m. ALL,"393,329","452,661","7,242,188","7,022,785","81,044",18.2,"66,907",15.0,"1,682,013","596,336","1,085,677",8.5,24.0,"1,243,201","528,509","714,692",7.5,17.7,"438,812",6.3,35.4,"41,555","41,729","248,035"
,,1979,,,,,,,,,,,,,,,,,,,,,,
