Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"31,298","33,540","83,675","74,112","8,613",26.8,"5,616",17.5,"34,872","16,637","18,235",22.4,47.1,"15,745","10,286","5,459",13.9,21.2,"19,127",25.9,42.4,"3,951","3,959","7,380"
b. 5 to 9,"11,092","12,449","94,368","84,471","2,294",19.2,"1,236",10.4,"36,511","14,874","21,637",17.6,43.2,"16,716","8,074","8,642",9.6,19.8,"19,795",23.4,39.6,870,873,"5,706"
c. 10 to 19,"6,181","7,153","97,836","94,711","1,083",15.5,726,10.4,"26,864","14,408","12,456",15.2,28.4,"20,614","9,678","10,936",10.2,21.8,"6,250",6.6,43.6,485,486,"6,379"
d. 20 to 49,"3,761","4,527","141,370","136,560",631,14.2,462,10.4,"38,173","18,847","19,326",13.8,28.0,"28,553","14,058","14,495",10.3,20.9,"9,620",7.1,41.8,278,279,"8,333"
e. 50 to 99,"1,214","1,516","104,672","103,470",172,11.4,150,10.0,"22,747","11,609","11,138",11.2,22.0,"20,343","10,148","10,195",9.8,19.7,"2,404",2.3,39.4,68,68,"4,536"
f. 100 to 249,556,740,"106,102","105,635",63,8.6,47,6.4,"17,950","8,962","8,988",8.5,17.0,"17,015","6,639","10,376",6.3,16.1,935,0.9,32.2,26,26,"3,592"
g. 250 to 499,133,164,"56,161","55,497",14,8.6,11,6.8,"8,663","5,036","3,627",9.1,15.6,"7,335","3,430","3,905",6.2,13.2,"1,328",2.4,26.4,4,4,"1,213"
h. 500 to 999,50,53,"33,963","33,881",4,7.8,0,0.0,"4,725","2,897","1,828",8.6,13.9,"4,561",0,"4,561",0.0,13.5,164,0.4,27.0,,,
i. 1000+,38,46,"95,919","98,146",0,0.0,0,0.0,"7,724",0,"7,724",0.0,7.9,"12,177",0,"12,177",0.0,12.4,"-4,453",-4.5,15.8,,,
m. ALL,"54,323","60,188","814,066","786,483","12,874",22.2,"8,248",14.2,"198,229","93,270","104,959",11.9,25.2,"143,059","62,313","80,746",7.9,18.2,"55,170",7.0,36.4,"5,682","5,695","37,139"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"29,719","32,162","90,416","80,000","7,153",21.9,"7,654",23.4,"39,167",D,D,D,49.0,"18,334",D,"3,903",D,22.9,"20,833",26.1,45.8,"4,822","4,825","9,030"
b. 5 to 9,"11,112","12,595","93,534","87,721","1,977",15.7,"1,870",14.9,"30,844","12,788","18,056",14.6,35.2,"19,217","12,142","7,075",13.8,21.9,"11,627",13.3,43.8,"1,133","1,140","7,421"
c. 10 to 19,"6,259","7,251","108,483","102,676",946,13.1,898,12.4,"31,712","12,480","19,232",12.2,30.9,"20,098","12,063","8,035",11.7,19.6,"11,614",11.3,39.2,454,470,"6,243"
d. 20 to 49,"3,766","4,580","150,737","144,050",523,11.4,520,11.3,"39,559","15,189","24,370",10.5,27.5,"26,184","15,161","11,023",10.5,18.2,"13,375",9.3,36.4,252,252,"7,129"
e. 50 to 99,"1,273","1,564","114,240","110,406",115,7.3,114,7.3,"24,132","7,601","16,531",6.9,21.9,"16,464","7,798","8,666",7.1,14.9,"7,668",7.0,29.8,38,38,"2,717"
f. 100 to 249,577,775,"120,977","116,787",56,7.3,46,6.0,"23,652","7,636","16,016",6.5,20.3,"15,272","6,482","8,790",5.6,13.1,"8,380",7.2,26.2,11,11,"1,574"
g. 250 to 499,140,175,"60,808","60,736",7,4.0,9,5.1,"8,543","2,100","6,443",3.5,14.1,"8,398","3,160","5,238",5.2,13.8,145,0.3,27.6,2,2,D
h. 500 to 999,49,53,"39,155","37,459",2,3.8,0,0.0,"5,620",D,D,D,15.0,"2,228",0,"2,228",0.0,5.9,"3,392",9.1,11.8,,,
i. 1000+,37,45,"98,395","103,860",0,0.0,2,4.3,"9,695",0,"9,695",0.0,9.3,"20,624",D,"16,926",D,19.9,"-10,929",-10.6,18.6,2,2,D
m. ALL,"52,932","59,200","876,745","843,695","10,779",18.1,"11,113",18.6,"212,924","73,219","139,705",8.7,25.2,"146,819","74,935","71,884",8.9,17.4,"66,105",7.8,34.8,"6,714","6,740","38,425"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
