Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"6,993","7,427","19,034","17,045","1,399",19.1,"1,152",15.7,"7,271","2,771","4,500",16.3,42.7,"3,293","2,166","1,127",12.7,19.3,"3,978",23.4,38.6,764,764,"1,430"
b. 5 to 9,"2,841","3,127","22,009","21,034",399,13.0,306,9.9,"5,978","2,578","3,400",12.3,28.4,"4,028","2,001","2,027",9.5,19.1,"1,950",9.3,38.2,179,179,"1,188"
c. 10 to 19,"1,931","2,167","30,618","29,786",231,10.8,194,9.0,"7,279","3,103","4,176",10.4,24.4,"5,614","2,675","2,939",9.0,18.8,"1,665",5.6,37.6,98,98,"1,364"
d. 20 to 49,"1,234","1,448","43,877","43,568",150,10.4,127,8.8,"9,407","4,539","4,868",10.4,21.6,"8,789","3,880","4,909",8.9,20.2,618,1.4,40.4,60,60,"1,800"
e. 50 to 99,403,460,"32,743","32,205",42,9.1,43,9.3,"6,896","2,880","4,016",8.9,21.4,"5,820","2,920","2,900",9.1,18.1,"1,076",3.3,36.2,21,21,"1,422"
f. 100 to 249,242,271,"38,097","38,995",30,11.2,26,9.7,"7,904","4,488","3,416",11.5,20.3,"9,699","3,776","5,923",9.7,24.9,"-1,795",-4.6,40.6,11,11,"1,611"
g. 250 to 499,72,80,"25,678","26,798",7,8.7,8,9.9,"5,052","2,671","2,381",10.0,18.9,"7,291","3,197","4,094",11.9,27.2,"-2,239",-8.3,37.8,3,3,"1,099"
h. 500 to 999,34,39,"24,554","24,704",2,5.3,0,0.0,"2,611",D,D,D,10.6,"2,911",0,"2,911",0.0,11.8,-300,-1.2,21.2,,,
i. 1000+,27,31,"60,540","62,230",2,6.7,0,0.0,"7,041",D,D,D,11.3,"10,420",0,"10,420",0.0,16.7,"-3,379",-5.4,22.6,,,
m. ALL,"13,777","15,050","297,150","296,365","2,262",15.2,"1,856",12.5,"59,439","27,830","31,609",9.4,20.1,"57,865","20,615","37,250",7.0,19.5,"1,574",0.6,39.0,"1,136","1,136","9,914"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"7,154","7,569","19,848","17,867","1,240",16.5,"1,159",15.4,"7,160",D,D,D,40.1,"3,197","2,164","1,033",12.1,17.9,"3,963",22.2,35.8,808,809,D
b. 5 to 9,"2,893","3,176","23,470","21,957",375,12.0,288,9.2,"6,721","2,443","4,278",11.1,30.6,"3,695","1,871","1,824",8.5,16.8,"3,026",13.8,33.6,176,176,"1,172"
c. 10 to 19,"1,929","2,172","31,633","30,320",187,8.7,160,7.4,"7,372","2,432","4,940",8.0,24.3,"4,745","2,098","2,647",6.9,15.6,"2,627",8.7,31.2,81,84,"1,080"
d. 20 to 49,"1,236","1,453","57,094","50,424",99,6.8,99,6.8,"20,508","2,958","17,550",5.9,40.7,"7,168","3,050","4,118",6.0,14.2,"13,340",26.5,28.4,47,51,"1,649"
e. 50 to 99,427,483,"34,524","33,813",35,7.3,30,6.2,"6,072","2,355","3,717",7.0,18.0,"4,650","2,042","2,608",6.0,13.8,"1,422",4.2,27.6,12,12,753
f. 100 to 249,221,255,"39,076","38,997",16,6.3,14,5.5,"6,035","2,168","3,867",5.6,15.5,"5,876","2,279","3,597",5.8,15.1,159,0.4,30.2,5,5,804
g. 250 to 499,79,88,"27,558","28,706",5,5.7,3,3.4,"2,995","1,433","1,562",5.0,10.4,"5,291","1,143","4,148",4.0,18.4,"-2,296",-8.0,20.8,,,
h. 500 to 999,30,35,"21,517","22,775",1,2.9,1,2.9,"1,725",D,D,D,7.6,"4,241",D,"3,359",D,18.6,"-2,516",-11.0,15.2,,,
i. 1000+,26,30,"62,899","62,513",0,0.0,1,3.3,"4,017",0,"4,017",0.0,6.4,"3,245",D,"2,049",D,5.2,772,1.2,10.4,1,1,D
m. ALL,"13,995","15,261","317,619","307,372","1,958",12.9,"1,755",11.6,"62,605","16,759","45,846",5.5,20.4,"42,108","16,725","25,383",5.4,13.7,"20,497",6.7,27.4,"1,130","1,138","8,149"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
