Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,704","5,976","14,900","13,551","1,241",21.4,858,14.8,"5,316","2,524","2,792",18.6,39.2,"2,617",D,"1,023",D,19.3,"2,699",19.9,38.6,563,564,"1,054"
b. 5 to 9,"2,274","2,589","17,481","16,515",388,15.6,191,7.7,"4,807","2,532","2,275",15.3,29.1,"2,875","1,216","1,659",7.4,17.4,"1,932",11.7,34.8,130,130,836
c. 10 to 19,"1,290","1,475","19,777","19,098",193,13.5,109,7.6,"4,847","2,547","2,300",13.3,25.4,"3,488","1,455","2,033",7.6,18.3,"1,359",7.1,36.6,62,62,826
d. 20 to 49,810,951,"30,231","28,959",101,10.8,65,7.0,"7,474","3,027","4,447",10.5,25.8,"4,930","1,960","2,970",6.8,17.0,"2,544",8.8,34.0,38,38,"1,101"
e. 50 to 99,217,241,"15,987","16,021",19,7.9,17,7.1,"2,998","1,208","1,790",7.5,18.7,"3,066","1,185","1,881",7.4,19.1,-68,-0.4,37.4,10,10,643
f. 100 to 249,115,142,"19,687","20,775",9,6.3,9,6.3,"2,660","1,495","1,165",7.2,12.8,"4,835","1,332","3,503",6.4,23.3,"-2,175",-10.5,25.6,6,6,957
g. 250 to 499,44,48,"15,735","16,105",3,6.4,1,2.1,"1,460",927,533,5.8,9.1,"2,200",D,"1,884",D,13.7,-740,-4.6,18.2,,,
h. 500 to 999,15,22,"15,286","14,887",0,0.0,0,0.0,"2,326",0,"2,326",0.0,15.6,"1,527",0,"1,527",0.0,10.3,799,5.3,20.6,,,
i. 1000+,13,19,"74,038","74,934",0,0.0,0,0.0,"2,931",0,"2,931",0.0,3.9,"4,723",0,"4,723",0.0,6.3,"-1,792",-2.4,7.8,,,
m. ALL,"10,482","11,463","223,122","220,845","1,954",17.6,"1,250",11.2,"34,819","14,260","20,559",6.5,15.8,"30,261","9,058","21,203",4.1,13.7,"4,558",2.1,27.4,809,810,"5,417"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"5,604","5,905","15,493","14,313","1,011",17.0,"1,097",18.5,"5,585",D,D,D,39.0,"3,225","2,327",898,16.3,22.5,"2,360",16.5,45.0,844,844,"1,827"
b. 5 to 9,"2,211","2,529","18,272","17,717",231,9.0,302,11.8,"4,490","1,486","3,004",8.4,25.3,"3,379","1,949","1,430",11.0,19.1,"1,111",6.2,38.2,244,244,"1,567"
c. 10 to 19,"1,265","1,440","46,418","32,896",130,9.0,136,9.4,"30,540","1,700","28,840",5.2,92.8,"3,496","1,820","1,676",5.5,10.6,"27,044",82.2,21.2,93,93,"1,247"
d. 20 to 49,792,935,"30,012","29,281",65,6.9,76,8.1,"6,034","1,934","4,100",6.6,20.6,"4,571","2,205","2,366",7.5,15.6,"1,463",5.0,31.2,40,41,"1,117"
e. 50 to 99,221,262,"18,088","17,699",17,6.6,10,3.9,"3,418","1,146","2,272",6.5,19.3,"2,640",672,"1,968",3.8,14.9,778,4.4,29.8,7,7,458
f. 100 to 249,108,137,"20,166","20,497",5,3.6,8,5.8,"2,266",708,"1,558",3.5,11.1,"2,928","1,198","1,730",5.8,14.3,-662,-3.2,22.2,2,2,D
g. 250 to 499,37,43,"13,423","14,274",1,2.3,2,4.6,"1,226",D,D,D,8.6,"2,927",D,"2,346",D,20.5,"-1,701",-11.9,17.2,,,
h. 500 to 999,19,23,"15,778","15,473",0,0.0,0,0.0,"1,680",0,"1,680",0.0,10.9,"1,069",0,"1,069",0.0,6.9,611,4.0,13.8,,,
i. 1000+,13,18,"45,231","60,830",0,0.0,2,10.5,"3,685",0,"3,685",0.0,6.1,"34,883",D,"4,797",D,57.3,"-31,198",-51.2,12.2,1,1,D
m. ALL,"10,270","11,292","222,881","222,980","1,460",12.8,"1,633",14.4,"58,924","9,321","49,603",4.2,26.4,"59,118","40,838","18,280",18.3,26.5,-194,-0.1,52.8,"1,231","1,232","34,224"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
