Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"92,585","100,505","261,047","232,992","24,575",25.1,"18,632",19.0,"107,726","48,517","59,209",20.8,46.2,"51,616","35,034","16,582",15.0,22.2,"56,110",24.0,44.4,"13,565","13,599","25,484"
b. 5 to 9,"33,568","38,938","264,448","251,568","6,602",17.5,"4,197",11.1,"80,836","42,707","38,129",17.0,32.1,"55,076","27,193","27,883",10.8,21.9,"25,760",10.2,43.8,"2,899","2,906","18,827"
c. 10 to 19,"17,717","21,574","293,477","286,047","3,094",14.6,"2,285",10.8,"77,392","40,670","36,722",14.2,27.1,"62,531","30,765","31,766",10.8,21.9,"14,861",5.2,43.8,"1,551","1,556","21,127"
d. 20 to 49,"9,822","13,525","418,476","408,559","1,743",13.1,"1,372",10.3,"103,513","52,584","50,929",12.9,25.3,"83,678","40,988","42,690",10.0,20.5,"19,835",4.8,41.0,864,867,"25,583"
e. 50 to 99,"3,206","4,616","317,738","312,723",523,11.5,390,8.6,"68,632","35,185","33,447",11.3,21.9,"58,602","26,595","32,007",8.5,18.7,"10,030",3.2,37.4,236,237,"16,228"
f. 100 to 249,"1,495","2,092","304,716","299,171",217,10.6,135,6.6,"63,592","32,820","30,772",11.0,21.3,"52,502","19,658","32,844",6.6,17.5,"11,090",3.8,35.0,55,55,"7,864"
g. 250 to 499,368,541,"186,016","182,371",41,7.6,36,6.7,"35,010","13,739","21,271",7.5,19.2,"27,720","11,757","15,963",6.4,15.2,"7,290",4.0,30.4,17,17,"5,663"
h. 500 to 999,155,193,"134,636","125,724",15,8.1,0,0.0,"28,353","10,384","17,969",8.3,22.6,"10,528",0,"10,528",0.0,8.4,"17,825",14.2,16.8,,,
i. 1000+,89,104,"237,859","217,049",8,8.0,0,0.0,"57,768","43,387","14,381",20.0,26.6,"16,147",0,"16,147",0.0,7.4,"41,621",19.2,14.8,,,
m. ALL,"159,005","182,088","2,418,413","2,316,204","36,818",20.7,"27,047",15.2,"622,822","319,993","302,829",13.8,26.9,"418,400","191,990","226,410",8.3,18.1,"204,422",8.8,36.2,"19,187","19,237","120,776"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"96,774","104,993","291,678","254,445","23,949",23.4,"18,528",18.1,"123,595",D,D,D,48.6,"49,128","34,754","14,374",13.7,19.3,"74,467",29.3,38.6,"13,810","13,877","25,727"
b. 5 to 9,"35,327","40,758","295,328","274,560","5,997",15.1,"4,124",10.4,"92,416","38,923","53,493",14.2,33.7,"50,880","26,598","24,282",9.7,18.5,"41,536",15.2,37.0,"2,928","2,935","18,882"
c. 10 to 19,"18,861","23,154","334,208","315,873","2,978",13.1,"2,089",9.2,"93,681","39,328","54,353",12.5,29.7,"57,011","28,007","29,004",8.9,18.0,"36,670",11.7,36.0,"1,366","1,373","18,269"
d. 20 to 49,"10,267","13,935","455,865","431,871","1,469",10.7,"1,041",7.6,"114,017","43,444","70,573",10.1,26.4,"66,028","30,946","35,082",7.2,15.3,"47,989",11.1,30.6,589,592,"17,265"
e. 50 to 99,"3,391","4,876","352,075","339,390",468,9.7,372,7.7,"77,771","32,117","45,654",9.5,22.9,"52,401","25,321","27,080",7.5,15.4,"25,370",7.5,30.8,168,169,"11,049"
f. 100 to 249,"1,533","2,195","332,571","325,296",150,6.9,127,5.8,"62,358","21,840","40,518",6.7,19.2,"47,808","18,040","29,768",5.5,14.7,"14,550",4.5,29.4,56,56,"7,838"
g. 250 to 499,388,554,"187,757","188,537",36,6.5,33,6.0,"28,686","12,587","16,099",6.7,15.2,"30,245","11,282","18,963",6.0,16.0,"-1,559",-0.8,30.4,12,12,"3,683"
h. 500 to 999,159,192,"128,234","129,792",6,3.1,7,3.6,"14,167","4,046","10,121",3.1,10.9,"17,282","4,427","12,855",3.4,13.3,"-3,115",-2.4,21.8,2,2,D
i. 1000+,87,113,"185,139","230,600",1,0.9,6,5.2,"12,593",D,D,D,5.5,"103,515","11,477","92,038",5.0,44.9,"-90,922",-39.4,11.0,2,2,D
m. ALL,"166,787","190,770","2,562,855","2,490,364","35,054",18.8,"26,327",14.1,"619,284","240,445","378,839",9.7,24.9,"474,298","190,852","283,446",7.7,19.0,"144,986",5.9,38.0,"18,933","19,018","110,782"
,,1979,,,,,,,,,,,,,,,,,,,,,,
