Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"46,898","51,520","138,133","121,966","11,671",23.2,"9,123",18.1,"58,255","22,959","35,296",18.8,47.8,"25,920","17,306","8,614",14.2,21.3,"32,335",26.5,42.6,"6,366","6,375","12,009"
b. 5 to 9,"17,442","20,522","139,057","133,168","3,232",16.2,"2,140",10.7,"39,455","20,970","18,485",15.7,29.6,"27,677","13,853","13,824",10.4,20.8,"11,778",8.8,41.6,"1,421","1,427","9,205"
c. 10 to 19,"9,599","11,787","162,281","156,933","1,489",12.9,993,8.6,"40,123","19,541","20,582",12.5,25.6,"29,427","13,272","16,155",8.5,18.8,"10,696",6.8,37.6,602,605,"8,057"
d. 20 to 49,"5,507","7,463","228,278","223,274",761,10.3,588,8.0,"49,713","22,620","27,093",10.1,22.3,"39,704","17,256","22,448",7.7,17.8,"10,009",4.5,35.6,336,337,"9,845"
e. 50 to 99,"1,939","2,529","177,756","173,730",272,10.9,207,8.3,"40,197","18,801","21,396",10.8,23.1,"32,144","14,178","17,966",8.2,18.5,"8,053",4.6,37.0,114,114,"7,774"
f. 100 to 249,"1,025","1,362","209,741","206,812",110,8.1,95,7.0,"37,801","16,858","20,943",8.2,18.3,"31,942","14,313","17,629",6.9,15.4,"5,859",2.9,30.8,46,46,"6,664"
g. 250 to 499,353,459,"156,696","156,990",22,4.8,20,4.4,"19,541","7,280","12,261",4.6,12.4,"20,129","7,161","12,968",4.6,12.8,-588,-0.4,24.8,8,8,"3,095"
h. 500 to 999,141,181,"113,942","113,243",11,6.3,0,0.0,"12,075","6,363","5,712",5.6,10.7,"10,677",0,"10,677",0.0,9.4,"1,398",1.3,18.8,,,
i. 1000+,75,87,"166,772","166,105",5,5.9,0,0.0,"22,765","11,370","11,395",6.8,13.7,"21,432",0,"21,432",0.0,12.9,"1,333",0.8,25.8,,,
m. ALL,"82,979","95,910","1,492,656","1,452,221","17,573",18.7,"13,166",14.0,"319,925","146,762","173,163",10.1,22.0,"239,052","97,339","141,713",6.7,16.5,"80,873",5.5,33.0,"8,893","8,912","56,649"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"48,165","52,830","149,943","130,379","10,539",20.3,"8,844",17.0,"62,686","20,458","42,228",15.7,48.1,"23,557",D,"7,074",D,18.1,"39,129",30.0,36.2,"6,492","6,495",D
b. 5 to 9,"18,024","21,160","154,892","144,601","2,635",12.6,"2,007",9.6,"45,527","17,104","28,423",11.8,31.5,"24,945","13,029","11,916",9.0,17.3,"20,582",14.2,34.6,"1,352","1,357","8,793"
c. 10 to 19,"9,996","12,389","180,122","170,302","1,363",11.2,954,7.8,"46,357","18,111","28,246",10.6,27.2,"26,716","12,618","14,098",7.4,15.7,"19,641",11.5,31.4,575,577,"7,624"
d. 20 to 49,"5,736","7,731","256,547","241,148",689,9.0,468,6.1,"62,104","20,586","41,518",8.5,25.8,"31,306","13,658","17,648",5.7,13.0,"30,798",12.8,26.0,227,229,"6,682"
e. 50 to 99,"1,993","2,598","190,020","182,993",205,8.0,157,6.1,"39,065","14,033","25,032",7.7,21.3,"25,011","10,840","14,171",5.9,13.7,"14,054",7.6,27.4,60,61,"4,164"
f. 100 to 249,"1,042","1,424","229,372","222,084",96,6.8,77,5.4,"42,136","14,533","27,603",6.5,19.0,"27,559","11,327","16,232",5.1,12.4,"14,577",6.6,24.8,20,21,"2,911"
g. 250 to 499,369,469,"160,173","160,401",16,3.4,17,3.6,"18,195","5,698","12,497",3.6,11.3,"18,651","5,690","12,961",3.5,11.6,-456,-0.3,22.6,4,4,"1,447"
h. 500 to 999,160,212,"142,780","140,314",8,3.8,2,1.0,"15,983","4,867","11,116",3.5,11.4,"11,051",D,"9,782",D,7.9,"4,932",3.5,15.8,1,1,D
i. 1000+,63,79,"150,908","161,597",0,0.0,3,3.7,"7,736",0,"7,736",0.0,4.8,"29,115","8,138","20,977",5.0,18.0,"-21,379",-13.2,9.6,3,3,"8,138"
m. ALL,"85,548","98,892","1,614,757","1,553,819","15,551",16.0,"12,529",12.9,"339,789","115,390","224,399",7.4,21.9,"217,911","93,052","124,859",6.0,14.0,"121,878",7.9,28.0,"8,734","8,748","52,225"
,,1979,,,,,,,,,,,,,,,,,,,,,,
