Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,803","10,461","26,795","23,648","2,605",25.9,"1,768",17.6,"11,228","5,079","6,149",21.5,47.5,"4,934","3,230","1,704",13.7,20.9,"6,294",26.6,41.8,"1,232","1,236","2,325"
b. 5 to 9,"3,615","4,057","33,489","29,403",575,14.5,386,9.7,"13,492","3,736","9,756",12.7,45.9,"5,320","2,531","2,789",8.6,18.1,"8,172",27.8,36.2,284,286,"1,871"
c. 10 to 19,"2,020","2,320","60,121","44,747",311,13.8,189,8.4,"36,273","4,149","32,124",9.3,81.1,"5,525","2,560","2,965",5.7,12.3,"30,748",68.8,24.6,127,127,"1,720"
d. 20 to 49,"1,083","1,369","41,635","40,412",180,13.4,119,8.9,"10,897","5,243","5,654",13.0,27.0,"8,450","3,636","4,814",9.0,20.9,"2,447",6.1,41.8,81,81,"2,449"
e. 50 to 99,291,368,"26,339","25,465",41,11.4,26,7.2,"5,796","2,628","3,168",10.3,22.8,"4,048","1,721","2,327",6.8,15.9,"1,748",6.9,31.8,16,16,989
f. 100 to 249,107,138,"20,838","20,574",12,8.7,12,8.7,"4,443","1,928","2,515",9.4,21.6,"3,914","1,700","2,214",8.3,19.0,529,2.6,38.0,3,3,434
g. 250 to 499,36,47,"16,572","15,521",5,11.2,0,0.0,"2,949","1,596","1,353",10.3,19.0,846,0,846,0.0,5.5,"2,103",13.5,11.0,,,
h. 500 to 999,19,21,"18,852","16,290",0,0.0,0,0.0,"6,456",0,"6,456",0.0,39.6,"1,332",0,"1,332",0.0,8.2,"5,124",31.4,16.4,,,
i. 1000+,7,7,"14,469","15,350",0,0.0,0,0.0,578,0,578,0.0,3.8,"2,340",0,"2,340",0.0,15.2,"-1,762",-11.4,7.6,,,
m. ALL,"16,981","18,788","259,110","231,410","3,729",20.5,"2,500",13.7,"92,112","24,359","67,753",10.5,39.8,"36,709","15,378","21,331",6.6,15.9,"55,403",23.9,31.8,"1,743","1,749","9,788"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,282","9,977","27,554","24,621","2,090",20.6,"2,259",22.3,"11,363","4,014","7,349",16.3,46.2,"5,496","4,307","1,189",17.5,22.3,"5,867",23.9,44.6,"1,361","1,364",D
b. 5 to 9,"3,591","4,009","29,279","27,888",571,14.1,575,14.2,"8,692","3,732","4,960",13.4,31.2,"5,909","3,680","2,229",13.2,21.2,"2,783",10.0,42.4,331,331,"2,089"
c. 10 to 19,"2,047","2,380","34,131","33,198",239,9.9,273,11.4,"8,305","3,203","5,102",9.6,25.0,"6,438","3,539","2,899",10.7,19.4,"1,867",5.6,38.8,148,149,"1,937"
d. 20 to 49,"1,100","1,346","42,220","41,087",126,9.3,135,10.0,"9,509","3,861","5,648",9.4,23.1,"7,243","3,825","3,418",9.3,17.6,"2,266",5.5,35.2,62,63,"1,694"
e. 50 to 99,300,374,"27,087","26,427",24,6.4,29,7.7,"5,915","1,633","4,282",6.2,22.4,"4,595","2,010","2,585",7.6,17.4,"1,320",5.0,34.8,9,9,610
f. 100 to 249,124,160,"23,719","24,179",5,3.1,12,7.3,"2,677",588,"2,089",2.4,11.1,"3,597","1,588","2,009",6.6,14.9,-920,-3.8,22.2,3,3,466
g. 250 to 499,32,42,"14,170","14,550",3,7.0,5,11.6,"2,732","1,143","1,589",7.9,18.8,"3,492","1,820","1,672",12.5,24.0,-760,-5.2,37.6,2,2,D
h. 500 to 999,20,24,"16,664","15,763",2,8.7,0,0.0,"2,739",D,D,D,17.4,936,0,936,0.0,5.9,"1,803",11.5,11.8,,,
i. 1000+,12,16,"15,056","36,221",2,13.3,0,0.0,"3,242",D,D,D,9.0,"45,572",0,"45,572",0.0,125.8,"-42,330",-116.8,18.0,,,
m. ALL,"16,508","18,328","229,880","243,934","3,062",16.5,"3,288",17.7,"55,174","21,740","33,434",8.9,22.6,"83,278","20,769","62,509",8.5,34.1,"-28,104",-11.5,45.2,"1,916","1,921","9,996"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
