Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"100,914","106,701","258,935","237,914","19,619",18.5,"17,303",16.4,"90,627","37,719","52,908",15.9,38.1,"48,584","31,306","17,278",13.2,20.4,"42,043",17.7,40.8,"11,882","11,946","21,608"
b. 5 to 9,"36,706","41,493","315,931","289,772","5,471",13.4,"3,876",9.5,"105,421","35,805","69,616",12.4,36.4,"53,102","25,310","27,792",8.7,18.3,"52,319",18.1,36.6,"2,515","2,529","16,452"
c. 10 to 19,"23,401","26,764","373,091","361,830","3,030",11.5,"2,287",8.7,"88,475","40,285","48,190",11.1,24.5,"65,952","30,625","35,327",8.5,18.2,"22,523",6.3,36.4,"1,414","1,418","19,010"
d. 20 to 49,"14,458","17,861","562,835","548,749","1,738",9.8,"1,400",7.9,"119,995","52,840","67,155",9.6,21.9,"91,822","42,295","49,527",7.7,16.7,"28,173",5.2,33.4,696,700,"20,915"
e. 50 to 99,"5,139","6,610","469,679","455,108",595,9.1,415,6.4,"94,206","40,317","53,889",8.9,20.7,"65,063","28,074","36,989",6.2,14.3,"29,143",6.4,28.6,183,183,"12,187"
f. 100 to 249,"2,642","3,629","551,881","545,601",237,6.6,199,5.5,"86,948","34,824","52,124",6.4,15.9,"74,388","28,770","45,618",5.3,13.6,"12,560",2.3,27.2,77,78,"10,872"
g. 250 to 499,795,"1,075","373,919","370,847",57,5.3,48,4.5,"54,010","19,214","34,796",5.2,14.6,"47,866","15,681","32,185",4.2,12.9,"6,144",1.7,25.8,18,18,"6,189"
h. 500 to 999,397,512,"352,700","341,738",23,4.6,0,0.0,"50,283","14,824","35,459",4.3,14.7,"28,359",0,"28,359",0.0,8.3,"21,924",6.4,16.6,,,
i. 1000+,224,298,"659,803","659,790",10,3.4,0,0.0,"55,883","17,184","38,699",2.6,8.5,"55,857",0,"55,857",0.0,8.5,26,0.0,17.0,,,
m. ALL,"184,676","204,943","3,918,774","3,811,349","30,780",15.2,"25,528",12.6,"745,848","293,012","452,836",7.7,19.6,"530,993","202,061","328,932",5.3,13.9,"214,855",5.7,27.8,"16,785","16,872","107,233"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"101,720","107,699","294,893","258,121","18,374",17.2,"16,558",15.5,"118,228",D,D,D,45.8,"44,684","30,235","14,449",11.7,17.3,"73,544",28.5,34.6,"12,081","12,127",D
b. 5 to 9,"37,690","42,613","308,265","291,462","4,647",11.0,"3,644",8.7,"82,545","30,471","52,074",10.5,28.3,"48,939","23,834","25,105",8.2,16.8,"33,606",11.5,33.6,"2,391","2,418","15,703"
c. 10 to 19,"23,925","27,346","391,295","377,155","2,415",8.9,"2,010",7.4,"87,697","31,928","55,769",8.5,23.3,"59,417","26,808","32,609",7.1,15.8,"28,280",7.5,31.6,"1,182","1,191","15,876"
d. 20 to 49,"14,899","18,373","590,396","571,382","1,383",7.6,"1,144",6.3,"117,509","41,510","75,999",7.3,20.6,"79,481","33,888","45,593",5.9,13.9,"38,028",6.7,27.8,556,565,"16,517"
e. 50 to 99,"5,190","6,773","480,334","471,259",409,6.1,370,5.5,"83,103","28,314","54,789",6.0,17.6,"64,953","25,371","39,582",5.4,13.8,"18,150",3.8,27.6,138,145,"9,939"
f. 100 to 249,"2,737","3,772","584,103","576,619",178,4.7,204,5.4,"89,299","26,930","62,369",4.7,15.5,"74,331","30,322","44,009",5.3,12.9,"14,968",2.6,25.8,65,65,"9,400"
g. 250 to 499,802,"1,072","377,252","374,124",40,3.7,44,4.1,"54,673","13,681","40,992",3.7,14.6,"48,416","14,784","33,632",4.0,12.9,"6,257",1.7,25.8,13,13,"4,243"
h. 500 to 999,389,507,"337,176","342,121",13,2.6,18,3.5,"31,613","9,004","22,609",2.6,9.2,"41,503","11,985","29,518",3.5,12.1,"-9,890",-2.9,18.4,3,3,"1,977"
i. 1000+,243,329,"714,010","735,515",2,0.6,3,0.9,"48,379",D,D,D,6.6,"91,388","4,219","87,169",0.6,12.4,"-43,009",-5.8,13.2,2,2,D
m. ALL,"187,595","208,484","4,077,724","3,997,758","27,461",13.3,"23,995",11.6,"713,046","220,222","492,824",5.5,17.8,"553,112","201,446","351,666",5.0,13.8,"159,934",4.0,27.6,"16,431","16,529","98,519"
,,1979,,,,,,,,,,,,,,,,,,,,,,
