Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"46,619","50,100","124,873","114,938","9,334",18.9,"7,851",15.9,"43,267",D,D,D,37.6,"23,397","14,691","8,706",12.8,20.4,"19,870",17.2,40.8,"5,174","5,196","9,792"
b. 5 to 9,"17,199","20,379","140,909","135,016","2,536",12.7,"1,821",9.1,"37,091","16,491","20,600",12.2,27.5,"25,304","11,762","13,542",8.7,18.7,"11,787",8.8,37.4,"1,185","1,197","7,798"
c. 10 to 19,"10,075","12,084","167,579","162,234","1,380",11.6,970,8.2,"39,142","18,545","20,597",11.4,24.1,"28,451","13,054","15,397",8.0,17.5,"10,691",6.6,35.0,636,637,"8,599"
d. 20 to 49,"6,126","7,801","245,251","236,093",822,10.7,572,7.5,"56,257","24,429","31,828",10.3,23.8,"37,941","17,165","20,776",7.3,16.1,"18,316",7.7,32.2,331,331,"9,859"
e. 50 to 99,"2,066","2,627","184,411","180,488",230,8.9,164,6.3,"33,654","15,390","18,264",8.5,18.6,"25,808","11,229","14,579",6.2,14.3,"7,846",4.3,28.6,97,97,"6,732"
f. 100 to 249,"1,107","1,458","227,213","222,604",94,6.5,63,4.4,"35,178","13,201","21,977",5.9,15.8,"25,960","8,996","16,964",4.0,11.7,"9,218",4.1,23.4,40,40,"5,685"
g. 250 to 499,320,420,"150,152","146,610",20,4.8,12,2.9,"20,827","7,141","13,686",4.9,14.2,"13,742","4,304","9,438",2.9,9.4,"7,085",4.8,18.8,5,5,"1,869"
h. 500 to 999,153,176,"123,926","119,448",7,4.1,0,0.0,"16,047","5,039","11,008",4.2,13.4,"7,091",0,"7,091",0.0,5.9,"8,956",7.5,11.8,,,
i. 1000+,105,139,"344,140","351,995",2,1.4,0,0.0,"17,310",D,D,D,4.9,"33,020",0,"33,020",0.0,9.4,"-15,710",-4.5,9.8,,,
m. ALL,"83,770","95,184","1,708,454","1,669,426","14,425",15.4,"11,453",12.2,"298,773","122,017","176,756",7.3,17.9,"220,714","81,201","139,513",4.9,13.2,"78,059",4.7,26.4,"7,468","7,503","50,334"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"47,468","51,108","161,952","134,751","8,958",17.8,"7,592",15.1,"75,480",D,D,D,56.0,"21,077","14,052","7,025",10.4,15.6,"54,403",40.4,31.2,"5,463","5,472","9,918"
b. 5 to 9,"17,665","20,784","149,570","141,417","2,166",10.5,"1,676",8.2,"38,724","14,040","24,684",9.9,27.4,"22,417","10,807","11,610",7.6,15.9,"16,307",11.5,31.8,"1,106","1,112","7,150"
c. 10 to 19,"10,320","12,447","184,651","173,954","1,112",9.0,822,6.7,"45,796","14,849","30,947",8.5,26.3,"24,401","11,074","13,327",6.4,14.0,"21,395",12.3,28.0,489,490,"6,601"
d. 20 to 49,"6,397","8,127","261,173","251,060",589,7.3,441,5.5,"52,939","17,685","35,254",7.0,21.1,"32,713","13,072","19,641",5.2,13.0,"20,226",8.1,26.0,210,211,"6,105"
e. 50 to 99,"2,150","2,695","194,825","187,445",184,6.9,116,4.4,"35,889","12,111","23,778",6.5,19.1,"21,129","7,799","13,330",4.2,11.3,"14,760",7.8,22.6,43,45,"2,973"
f. 100 to 249,"1,156","1,549","239,760","236,833",67,4.3,65,4.2,"33,545","9,591","23,954",4.0,14.2,"27,690","9,550","18,140",4.0,11.7,"5,855",2.5,23.4,24,24,"3,547"
g. 250 to 499,337,435,"152,330","151,948",9,2.1,9,2.1,"17,366","3,426","13,940",2.3,11.4,"16,601","2,988","13,613",2.0,10.9,765,0.5,21.8,4,4,"1,409"
h. 500 to 999,160,193,"129,145","131,575",2,1.0,4,2.1,"10,108",D,D,D,7.7,"14,968","2,766","12,202",2.1,11.4,"-4,860",-3.7,15.4,1,1,D
i. 1000+,104,140,"355,941","359,711",0,0.0,4,2.8,"18,287",0,"18,287",0.0,5.1,"25,827","5,393","20,434",1.5,7.2,"-7,540",-2.1,10.2,2,2,D
m. ALL,"85,757","97,478","1,829,347","1,768,694","13,087",13.6,"10,729",11.1,"328,134","90,055","238,079",5.1,18.6,"206,823","77,501","129,322",4.4,11.7,"121,311",6.9,23.4,"7,342","7,361","40,910"
,,1979,,,,,,,,,,,,,,,,,,,,,,
