Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"26,829","28,750","71,426","65,384","5,633",19.8,"4,828",17.0,"25,943","10,934","15,009",16.7,39.7,"13,859","8,879","4,980",13.6,21.2,"12,084",18.5,42.4,"3,319","3,331",D
b. 5 to 9,"9,663","10,834","73,874","71,296","1,494",14.0,"1,140",10.7,"19,938","9,694","10,244",13.6,28.0,"14,781","7,438","7,343",10.4,20.7,"5,157",7.3,41.4,797,800,"5,179"
c. 10 to 19,"5,509","6,325","85,813","83,925",796,12.8,582,9.4,"19,871","10,766","9,105",12.8,23.7,"16,094","7,734","8,360",9.2,19.2,"3,777",4.5,38.4,378,381,"5,046"
d. 20 to 49,"3,243","3,932","117,647","115,539",438,11.3,288,7.5,"24,364","13,040","11,324",11.3,21.1,"20,147","8,667","11,480",7.5,17.4,"4,217",3.7,34.8,162,162,"4,862"
e. 50 to 99,919,"1,160","80,009","78,083",114,10.0,67,5.9,"15,344","7,357","7,987",9.4,19.7,"11,492","4,457","7,035",5.7,14.7,"3,852",5.0,29.4,42,42,"2,834"
f. 100 to 249,451,555,"83,244","81,279",45,8.2,30,5.5,"15,164","6,622","8,542",8.1,18.7,"11,234","4,545","6,689",5.6,13.8,"3,930",4.9,27.6,15,15,"2,165"
g. 250 to 499,117,135,"44,933","44,617",10,7.5,9,6.7,"6,909","3,336","3,573",7.5,15.5,"6,276","3,051","3,225",6.8,14.1,633,1.4,28.2,2,2,D
h. 500 to 999,56,63,"41,168","41,501",1,1.6,0,0.0,"3,681",D,D,D,8.9,"4,347",0,"4,347",0.0,10.5,-666,-1.6,17.8,,,
i. 1000+,25,28,"85,720","73,944",3,11.3,0,0.0,"28,701",D,D,D,38.8,"5,148",0,"5,148",0.0,7.0,"23,553",31.8,14.0,,,
m. ALL,"46,812","51,782","683,834","655,568","8,534",16.7,"6,944",13.6,"159,915","86,834","73,081",13.2,24.4,"103,378","44,771","58,607",6.8,15.8,"56,537",8.6,31.6,"4,715","4,733","26,898"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"27,515","29,523","76,458","68,697","5,424",18.7,"4,381",15.1,"28,311","10,186","18,125",14.8,41.2,"12,788","8,263","4,525",12.0,18.6,"15,523",22.6,37.2,"3,190","3,191","5,988"
b. 5 to 9,"9,959","11,210","77,896","74,653","1,356",12.3,"1,031",9.3,"20,248","8,714","11,534",11.7,27.1,"13,761","6,643","7,118",8.9,18.4,"6,487",8.7,36.8,727,728,"4,678"
c. 10 to 19,"5,726","6,544","91,997","89,272",633,9.8,515,7.9,"20,699","8,535","12,164",9.6,23.2,"15,249","6,832","8,417",7.7,17.1,"5,450",6.1,34.2,351,353,"4,651"
d. 20 to 49,"3,335","4,076","127,283","123,414",344,8.5,242,6.0,"25,232","10,279","14,953",8.3,20.4,"17,494","7,152","10,342",5.8,14.2,"7,738",6.2,28.4,124,125,"3,697"
e. 50 to 99,933,"1,177","82,065","80,002",72,6.2,52,4.5,"13,812","4,717","9,095",5.9,17.3,"9,686","3,448","6,238",4.3,12.1,"4,126",5.2,24.2,19,19,"1,225"
f. 100 to 249,470,577,"86,909","86,611",25,4.3,30,5.2,"12,326","3,613","8,713",4.2,14.2,"11,730","4,210","7,520",4.9,13.5,596,0.7,27.0,9,9,"1,218"
g. 250 to 499,115,136,"44,800","46,842",6,4.3,13,9.3,"5,497","1,928","3,569",4.1,11.7,"9,580","5,018","4,562",10.7,20.5,"-4,083",-8.8,23.4,6,6,"2,418"
h. 500 to 999,57,63,"43,622","43,121",1,1.6,0,0.0,"3,973",D,D,D,9.2,"2,970",0,"2,970",0.0,6.9,"1,003",2.3,13.8,,,
i. 1000+,29,32,"70,273","79,426",2,6.5,0,0.0,"10,211",D,D,D,12.9,"28,516",0,"28,516",0.0,35.9,"-18,305",-23.0,25.8,,,
m. ALL,"48,139","53,338","701,303","692,038","7,863",15.0,"6,264",11.9,"140,309","51,557","88,752",7.5,20.3,"121,774","41,566","80,208",6.0,17.6,"18,535",2.7,35.2,"4,426","4,431","23,875"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
