Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"30,010","32,057","92,719","79,704","6,377",20.1,"5,413",17.1,"41,568","12,436","29,132",15.6,52.2,"15,538","10,062","5,476",12.6,19.5,"26,030",32.7,39.0,"3,780","3,784","7,056"
b. 5 to 9,"10,751","12,234","83,604","79,888","1,766",14.8,"1,186",9.9,"23,420","11,393","12,027",14.3,29.3,"15,988","7,622","8,366",9.5,20.0,"7,432",9.3,40.0,800,801,"5,150"
c. 10 to 19,"6,074","7,066","95,164","93,210",876,12.6,631,9.1,"22,246","11,542","10,704",12.4,23.9,"18,337","8,246","10,091",8.8,19.7,"3,909",4.2,39.4,390,390,"5,043"
d. 20 to 49,"3,630","4,487","134,635","131,544",497,11.3,316,7.2,"28,971","14,340","14,631",10.9,22.0,"22,788","9,373","13,415",7.1,17.3,"6,183",4.7,34.6,175,175,"5,128"
e. 50 to 99,"1,226","1,484","104,740","101,662",126,8.6,94,6.4,"22,969","8,524","14,445",8.4,22.6,"16,813","6,180","10,633",6.1,16.5,"6,156",6.1,33.0,49,49,"3,320"
f. 100 to 249,647,812,"122,922","122,676",55,6.8,44,5.5,"19,183","8,227","10,956",6.7,15.6,"18,690","6,488","12,202",5.3,15.2,493,0.4,30.4,25,25,"3,788"
g. 250 to 499,218,281,"98,693","98,035",13,4.6,13,4.6,"13,223","4,852","8,371",4.9,13.5,"11,906","4,030","7,876",4.1,12.1,"1,317",1.4,24.2,5,5,"1,610"
h. 500 to 999,94,113,"73,726","74,113",4,3.6,0,0.0,"6,610","2,393","4,217",3.2,8.9,"7,384",0,"7,384",0.0,10.0,-774,-1.1,17.8,,,
i. 1000+,34,43,"111,752","105,611",0,0.0,0,0.0,"15,547",0,"15,547",0.0,14.7,"3,264",0,"3,264",0.0,3.1,"12,283",11.6,6.2,,,
m. ALL,"52,684","58,577","917,955","886,443","9,714",16.8,"7,697",13.3,"193,737","73,707","120,030",8.3,21.9,"130,708","52,001","78,707",5.9,14.7,"63,029",7.2,29.4,"5,224","5,229","31,095"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"30,593","32,797","89,333","79,105","6,179",19.1,"5,314",16.4,"35,187",D,D,D,44.5,"14,731","9,919","4,812",12.5,18.6,"20,456",25.9,37.2,"3,914","3,918",D
b. 5 to 9,"10,936","12,546","90,153","85,136","1,515",12.2,"1,208",9.7,"25,179","9,870","15,309",11.6,29.6,"15,145","7,815","7,330",9.2,17.8,"10,034",11.8,35.6,829,830,"5,371"
c. 10 to 19,"6,358","7,369","105,379","100,009",802,11.1,514,7.1,"26,599","10,653","15,946",10.7,26.6,"15,859","6,878","8,981",6.9,15.9,"10,740",10.7,31.8,326,326,"4,328"
d. 20 to 49,"3,820","4,747","150,953","143,407",454,9.8,262,5.6,"35,270","13,545","21,725",9.4,24.6,"20,177","7,757","12,420",5.4,14.1,"15,093",10.5,28.2,131,133,"3,947"
e. 50 to 99,"1,231","1,459","103,479","100,915",95,6.6,68,4.7,"18,763","6,460","12,303",6.4,18.6,"13,634","4,788","8,846",4.7,13.5,"5,129",5.1,27.0,25,25,"1,782"
f. 100 to 249,653,824,"130,494","127,344",35,4.3,28,3.4,"20,265","4,866","15,399",3.8,15.9,"13,964","4,171","9,793",3.3,11.0,"6,301",4.9,22.0,11,11,"1,669"
g. 250 to 499,221,282,"95,661","97,695",7,2.5,11,3.9,"11,480","2,670","8,810",2.7,11.8,"15,548","3,998","11,550",4.1,15.9,"-4,068",-4.1,23.6,2,2,D
h. 500 to 999,104,123,"77,598","79,800",1,0.8,2,1.6,"5,059",D,D,D,6.3,"9,462",D,"8,199",D,11.9,"-4,403",-5.6,12.6,,,
i. 1000+,39,48,"115,246","124,553",0,0.0,1,2.1,"6,667",0,"6,667",0.0,5.4,"25,280",D,"11,758",D,20.3,"-18,613",-14.9,10.8,,,
m. ALL,"53,955","60,195","958,296","937,964","9,088",15.3,"7,408",12.5,"184,469","60,557","123,912",6.5,19.7,"143,800","60,111","83,689",6.4,15.3,"40,669",4.4,30.6,"5,238","5,245","25,056"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
