Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"34,693","37,237","94,065","84,590","7,711",21.3,"5,587",15.4,"35,308",D,D,D,41.7,"16,357","10,300","6,057",12.2,19.3,"18,951",22.4,38.6,"4,034","4,054","7,516"
b. 5 to 9,"12,787","14,752","103,633","97,747","2,151",15.0,"1,325",9.2,"30,536","13,932","16,604",14.3,31.2,"18,763","8,580","10,183",8.8,19.2,"11,773",12.0,38.4,971,976,"6,283"
c. 10 to 19,"7,518","8,874","121,930","118,348","1,033",11.9,700,8.0,"29,335","13,557","15,778",11.5,24.8,"22,170","9,418","12,752",8.0,18.7,"7,165",6.1,37.4,474,474,"6,389"
d. 20 to 49,"4,666","5,938","189,856","182,226",612,10.5,418,7.2,"45,102","18,151","26,951",10.0,24.8,"29,842","12,060","17,782",6.6,16.4,"15,260",8.4,32.8,258,258,"7,486"
e. 50 to 99,"1,496","1,806","122,944","120,403",191,10.8,120,6.8,"25,914","12,546","13,368",10.4,21.5,"20,832","8,079","12,753",6.7,17.3,"5,082",4.2,34.6,62,62,"4,106"
f. 100 to 249,764,972,"147,663","146,093",84,8.8,54,5.7,"27,521","12,267","15,254",8.4,18.8,"24,381","8,718","15,663",6.0,16.7,"3,140",2.1,33.4,24,24,"3,814"
g. 250 to 499,230,299,"97,846","99,105",17,5.7,14,4.7,"14,521","5,654","8,867",5.7,14.7,"17,038","4,609","12,429",4.7,17.2,"-2,517",-2.5,29.4,7,7,"2,155"
h. 500 to 999,85,101,"65,247","65,033",3,3.0,0,0.0,"6,370","2,500","3,870",3.8,9.8,"5,941",0,"5,941",0.0,9.1,429,0.7,18.2,,,
i. 1000+,43,48,"78,825","78,766",2,4.3,0,0.0,"8,716",D,D,D,11.1,"8,598",0,"8,598",0.0,10.9,118,0.2,21.8,,,
m. ALL,"62,282","70,027","1,022,009","992,311","11,804",17.3,"8,218",12.0,"223,323","96,410","126,913",9.7,22.5,"163,922","61,764","102,158",6.2,16.5,"59,401",6.0,33.0,"5,830","5,855","37,749"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"32,283","34,997","99,505","88,968","6,078",16.9,"7,427",20.7,"39,565",D,D,D,44.5,"18,490",D,"4,513",D,20.8,"21,075",23.7,41.6,"4,595","4,598","8,565"
b. 5 to 9,"12,627","14,579","109,414","102,849","1,762",12.0,"1,802",12.3,"32,498","11,453","21,045",11.1,31.6,"19,368","11,648","7,720",11.3,18.8,"13,130",12.8,37.6,"1,013","1,013","6,510"
c. 10 to 19,"7,705","9,117","139,032","129,950",939,10.3,837,9.2,"38,845","12,536","26,309",9.6,29.9,"20,680","11,130","9,550",8.6,15.9,"18,165",14.0,31.8,467,472,"6,220"
d. 20 to 49,"4,673","5,917","199,919","189,353",470,7.9,441,7.5,"47,898","13,869","34,029",7.3,25.3,"26,766","12,877","13,889",6.8,14.1,"21,132",11.2,28.2,213,214,"6,132"
e. 50 to 99,"1,557","1,966","141,179","135,699",146,7.5,114,5.8,"30,606","9,884","20,722",7.3,22.6,"19,645","8,093","11,552",6.0,14.5,"10,961",8.1,29.0,51,52,"3,694"
f. 100 to 249,804,"1,025","162,720","159,367",51,5.0,52,5.1,"31,245","7,654","23,591",4.8,19.6,"24,538","8,172","16,366",5.1,15.4,"6,707",4.2,30.8,14,14,"2,161"
g. 250 to 499,214,285,"97,100","97,357",11,3.8,16,5.6,"15,264","3,778","11,486",3.9,15.7,"15,778","5,536","10,242",5.7,16.2,-514,-0.5,31.4,8,8,"2,967"
h. 500 to 999,103,116,"78,673","77,650",5,4.3,2,1.7,"9,296","2,702","6,594",3.5,12.0,"7,250",D,"5,496",D,9.3,"2,046",2.7,18.6,,,
i. 1000+,41,46,"81,107","81,802",1,2.2,0,0.0,"8,557",D,D,D,10.5,"9,946",0,"9,946",0.0,12.2,"-1,389",-1.7,21.0,,,
m. ALL,"60,007","68,048","1,108,649","1,062,995","9,463",13.7,"10,691",15.5,"253,774","74,923","178,851",7.0,23.9,"162,461","73,187","89,274",6.9,15.3,"91,313",8.6,30.6,"6,361","6,371","36,249"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
