Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"55,679","58,742","151,932","135,227","9,731",16.7,"8,457",14.5,"56,561","18,320","38,241",13.5,41.8,"23,150","14,849","8,301",11.0,17.1,"33,411",24.7,34.2,"5,737","5,745","10,000"
b. 5 to 9,"19,548","22,301","159,284","150,240","2,502",11.5,"1,577",7.2,"42,181","16,162","26,019",10.8,28.1,"24,092","10,245","13,847",6.8,16.0,"18,089",12.1,32.0,"1,014","1,016","6,585"
c. 10 to 19,"11,499","13,106","187,004","179,959","1,219",9.4,960,7.4,"43,034","16,079","26,955",8.9,23.9,"28,943","13,025","15,918",7.2,16.1,"14,091",7.8,32.2,570,572,"7,750"
d. 20 to 49,"6,916","8,480","274,340","265,146",776,9.2,643,7.6,"60,413","23,541","36,872",8.9,22.8,"42,024","19,788","22,236",7.5,15.8,"18,389",7.0,31.6,335,335,"10,382"
e. 50 to 99,"2,639","3,356","238,862","235,271",269,8.0,247,7.4,"44,471","18,619","25,852",7.9,18.9,"37,289","16,925","20,364",7.2,15.8,"7,182",3.1,31.6,118,118,"7,931"
f. 100 to 249,"1,372","1,853","280,774","276,641",143,7.8,127,6.9,"50,333","20,602","29,731",7.4,18.2,"42,067","19,621","22,446",7.1,15.2,"8,266",3.0,30.4,51,52,"8,114"
g. 250 to 499,418,514,"176,892","175,708",36,7.1,29,5.7,"27,033","12,938","14,095",7.4,15.4,"24,664","9,907","14,757",5.6,14.0,"2,369",1.4,28.0,13,13,"4,639"
h. 500 to 999,179,222,"155,307","151,963",6,2.7,0,0.0,"14,595","4,610","9,985",3.0,9.6,"7,906",0,"7,906",0.0,5.2,"6,689",4.4,10.4,,,
i. 1000+,116,144,"326,379","311,887",8,5.7,0,0.0,"50,675","25,623","25,052",8.2,16.2,"21,690",0,"21,690",0.0,7.0,"28,985",9.2,14.0,,,
m. ALL,"98,366","108,718","1,950,774","1,882,042","14,690",13.7,"12,040",11.2,"389,296","156,494","232,802",8.3,20.7,"251,825","104,360","147,465",5.5,13.4,"137,471",7.3,26.8,"7,838","7,851","55,401"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"55,607","58,515","153,778","137,633","9,114",15.7,"7,960",13.7,"54,533","16,614","37,919",12.1,39.6,"22,242",D,"7,784",D,16.2,"32,291",23.4,32.4,"5,697","5,700",D
b. 5 to 9,"20,027","23,065","173,965","161,075","2,099",9.2,"1,616",7.1,"48,711","13,606","35,105",8.4,30.2,"22,931","10,448","12,483",6.5,14.2,"25,780",16.0,28.4,"1,023","1,033","6,614"
c. 10 to 19,"11,993","13,557","198,238","188,951","1,061",7.9,904,6.7,"45,207","14,096","31,111",7.5,23.9,"26,632","12,124","14,508",6.4,14.1,"18,575",9.8,28.2,515,528,"7,049"
d. 20 to 49,"7,496","9,091","303,660","291,020",594,6.5,606,6.7,"64,707","17,722","46,985",6.1,22.2,"39,427","18,347","21,080",6.3,13.5,"25,280",8.7,27.0,280,283,"8,482"
e. 50 to 99,"2,704","3,456","254,912","247,209",202,5.8,195,5.6,"46,005","13,972","32,033",5.7,18.6,"30,598","13,275","17,323",5.4,12.4,"15,407",6.2,24.8,73,74,"4,775"
f. 100 to 249,"1,440","1,899","290,203","286,881",115,6.0,127,6.7,"46,337","16,328","30,009",5.7,16.2,"39,692","18,717","20,975",6.5,13.8,"6,645",2.4,27.6,40,43,"6,237"
g. 250 to 499,413,527,"185,231","183,961",25,4.7,29,5.5,"26,380","8,261","18,119",4.5,14.3,"23,840","10,303","13,537",5.6,13.0,"2,540",1.3,26.0,9,9,"3,388"
h. 500 to 999,201,250,"179,079","175,490",8,3.2,8,3.2,"19,958","5,272","14,686",3.0,11.4,"12,779","5,762","7,017",3.3,7.3,"7,179",4.1,14.6,2,2,D
i. 1000+,122,151,"357,644","351,333",5,3.3,4,2.7,"47,561","9,851","37,710",2.8,13.5,"34,938",D,"27,640",D,9.9,"12,623",3.6,19.8,,,
m. ALL,"100,003","110,511","2,096,710","2,023,553","13,223",12.1,"11,449",10.4,"399,399","115,722","283,677",5.7,19.7,"253,079","110,732","142,347",5.5,12.5,"146,320",7.2,25.0,"7,639","7,672","48,507"
,,1979,,,,,,,,,,,,,,,,,,,,,,
