Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"31,925","33,965","97,538","83,675","7,002",21.1,"5,250",15.8,"43,350","13,851","29,499",16.6,51.8,"15,623","10,076","5,547",12.0,18.7,"27,727",33.1,37.4,"3,530","3,535","6,753"
b. 5 to 9,"13,291","15,579","107,927","103,009","2,140",14.1,"1,412",9.3,"29,393","13,861","15,532",13.5,28.5,"19,556","9,128","10,428",8.9,19.0,"9,837",9.5,38.0,914,917,"5,911"
c. 10 to 19,"8,127","9,475","133,675","128,475","1,054",11.3,777,8.3,"33,371","13,971","19,400",10.9,26.0,"22,970","10,273","12,697",8.0,17.9,"10,401",8.1,35.8,475,475,"6,267"
d. 20 to 49,"4,784","6,243","194,932","190,550",557,9.0,451,7.3,"41,347","16,711","24,636",8.8,21.7,"32,583","13,340","19,243",7.0,17.1,"8,764",4.6,34.2,207,208,"6,100"
e. 50 to 99,"1,464","1,934","131,780","131,051",165,8.6,136,7.1,"24,082","11,059","13,023",8.4,18.4,"22,623","9,203","13,420",7.0,17.3,"1,459",1.1,34.6,62,62,"4,017"
f. 100 to 249,795,"1,028","145,371","147,313",72,7.0,67,6.5,"21,730","10,057","11,673",6.8,14.8,"25,614","9,648","15,966",6.5,17.4,"-3,884",-2.6,29.6,24,24,"3,345"
g. 250 to 499,203,256,"85,713","86,345",13,5.1,11,4.3,"11,836","4,250","7,586",4.9,13.7,"13,099","4,103","8,996",4.8,15.2,"-1,263",-1.5,27.4,4,4,"1,519"
h. 500 to 999,95,116,"77,481","77,943",2,1.7,0,0.0,"7,447",D,D,D,9.6,"8,373",0,"8,373",0.0,10.7,-926,-1.1,19.2,,,
i. 1000+,57,67,"151,804","164,134",2,3.0,0,0.0,"10,150",D,D,D,6.2,"34,811",0,"34,811",0.0,21.2,"-24,661",-15.0,12.4,,,
m. ALL,"60,741","68,663","1,126,221","1,112,495","11,007",16.4,"8,104",12.0,"222,706","87,380","135,326",7.9,20.0,"195,252","65,771","129,481",5.9,17.6,"27,454",2.4,35.2,"5,216","5,225","33,912"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"32,820","34,961","95,011","84,135","6,568",19.1,"5,405",15.7,"37,080",D,D,D,44.1,"15,328",D,"4,916",D,18.2,"21,752",25.9,36.4,"3,801","3,802","7,238"
b. 5 to 9,"13,582","15,990","118,510","110,765","1,690",10.7,"1,279",8.1,"32,850","10,965","21,885",9.9,29.7,"17,359","8,306","9,053",7.5,15.7,"15,491",14.0,31.4,844,845,"5,457"
c. 10 to 19,"8,236","9,643","139,131","133,662",759,7.9,654,6.8,"31,159","10,097","21,062",7.6,23.3,"20,220","8,690","11,530",6.5,15.1,"10,939",8.2,30.2,375,375,"4,944"
d. 20 to 49,"4,893","6,353","207,095","198,955",406,6.4,349,5.5,"43,760","11,991","31,769",6.0,22.0,"27,479","10,501","16,978",5.3,13.8,"16,281",8.2,27.6,161,167,"4,932"
e. 50 to 99,"1,491","1,972","137,820","135,721",115,5.8,111,5.6,"23,592","7,741","15,851",5.7,17.4,"19,393","7,581","11,812",5.6,14.3,"4,199",3.1,28.6,36,36,"2,464"
f. 100 to 249,812,"1,051","156,055","156,135",49,4.6,62,5.9,"23,779","7,096","16,683",4.5,15.2,"23,938","8,868","15,070",5.7,15.3,-159,-0.1,30.4,15,16,"2,205"
g. 250 to 499,201,254,"87,110","86,463",16,6.4,8,3.2,"13,244","5,534","7,710",6.4,15.3,"11,950","2,674","9,276",3.1,13.8,"1,294",1.5,27.6,2,2,D
h. 500 to 999,95,118,"80,401","79,822",3,2.6,1,0.9,"7,653","2,153","5,500",2.7,9.6,"6,495",D,"5,698",D,8.1,"1,158",1.5,16.2,,,
i. 1000+,58,68,"153,786","164,519",1,1.4,4,5.8,"8,235",D,D,D,5.0,"29,700","5,159","24,541",3.1,18.1,"-21,465",-13.1,10.0,1,1,D
m. ALL,"62,188","70,410","1,174,919","1,150,177","9,607",13.8,"7,873",11.3,"221,352","69,208","152,144",6.0,19.2,"171,862","62,988","108,874",5.5,14.9,"49,490",4.3,29.8,"5,235","5,244","29,272"
,,1979,,,,,,,,,,,,,,,,,,,,,,
