Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"12,225","12,872","30,451","27,869","2,504",19.8,"2,044",16.2,"10,658",D,D,D,38.2,"5,493",D,"1,987",D,19.7,"5,165",18.5,39.4,"1,301","1,304","2,330"
b. 5 to 9,"3,741","4,235","28,560","27,767",496,11.9,364,8.7,"6,863","3,241","3,622",11.7,24.7,"5,277","2,335","2,942",8.4,19.0,"1,586",5.7,38.0,250,250,"1,597"
c. 10 to 19,"2,021","2,330","33,381","31,841",252,11.0,181,7.9,"8,331","3,481","4,850",10.9,26.2,"5,250","2,459","2,791",7.7,16.5,"3,081",9.7,33.0,127,127,"1,740"
d. 20 to 49,"1,090","1,364","43,333","42,144",123,9.1,104,7.7,"9,044","3,660","5,384",8.7,21.5,"6,666","3,258","3,408",7.7,15.8,"2,378",5.7,31.6,60,60,"1,795"
e. 50 to 99,378,462,"33,427","32,651",40,8.7,36,7.8,"6,766","2,607","4,159",8.0,20.7,"5,213","2,569","2,644",7.9,16.0,"1,553",4.7,32.0,13,13,944
f. 100 to 249,225,274,"42,347","42,258",19,6.9,19,6.9,"6,698","2,924","3,774",6.9,15.9,"6,519","2,508","4,011",5.9,15.4,179,0.5,30.8,8,8,"1,051"
g. 250 to 499,77,87,"32,111","31,198",3,3.5,1,1.2,"4,080","1,126","2,954",3.6,13.1,"2,253",D,"1,932",D,7.2,"1,827",5.9,14.4,,,
h. 500 to 999,36,37,"22,670","22,349",2,5.6,0,0.0,"2,499",D,D,D,11.2,"1,857",0,"1,857",0.0,8.3,642,2.9,16.6,,,
i. 1000+,13,13,"26,283","25,812",3,26.1,0,0.0,"4,950","3,913","1,037",15.2,19.2,"4,008",0,"4,008",0.0,15.5,942,3.7,31.0,,,
m. ALL,"19,806","21,674","292,563","283,889","3,442",16.2,"2,749",12.9,"59,889","27,029","32,860",9.5,21.1,"42,536","16,956","25,580",6.0,15.0,"17,353",6.1,30.0,"1,759","1,762","9,457"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"12,669","13,355","34,632","30,536","2,588",19.8,"1,916",14.7,"13,443",D,D,D,44.0,"5,250","3,412","1,838",11.2,17.2,"8,193",26.8,34.4,"1,405","1,405","2,484"
b. 5 to 9,"3,861","4,352","34,944","31,309",473,11.0,349,8.1,"12,122","3,047","9,075",9.7,38.7,"4,852","2,287","2,565",7.3,15.5,"7,270",23.2,31.0,245,247,"1,607"
c. 10 to 19,"2,059","2,363","33,079","32,046",196,8.4,154,6.6,"6,801","2,672","4,129",8.3,21.2,"4,734","2,042","2,692",6.4,14.8,"2,067",6.4,29.6,99,99,"1,296"
d. 20 to 49,"1,201","1,485","46,512","45,268",98,6.6,81,5.5,"8,615","2,870","5,745",6.3,19.0,"6,126","2,356","3,770",5.2,13.5,"2,489",5.5,27.0,46,47,"1,340"
e. 50 to 99,414,509,"36,204","34,601",44,8.9,15,3.0,"7,112","3,109","4,003",9.0,20.6,"3,905","1,035","2,870",3.0,11.3,"3,207",9.3,22.6,8,8,517
f. 100 to 249,233,284,"43,864","43,465",15,5.3,14,4.9,"6,457","2,158","4,299",5.0,14.9,"5,659","2,308","3,351",5.3,13.0,798,1.9,26.0,6,6,"1,085"
g. 250 to 499,89,103,"37,023","36,604",2,2.0,1,1.0,"4,940",D,D,D,13.5,"4,102",D,"3,604",D,11.2,838,2.3,22.4,,,
h. 500 to 999,36,38,"23,659","24,027",0,0.0,1,2.6,"1,314",0,"1,314",0.0,5.5,"2,050",D,"1,527",D,8.5,-736,-3.0,11.0,,,
i. 1000+,12,12,"19,476","19,288",0,0.0,0,0.0,"1,363",0,"1,363",0.0,7.1,986,0,986,0.0,5.1,377,2.0,10.2,,,
m. ALL,"20,574","22,501","309,393","297,144","3,416",15.5,"2,531",11.5,"62,167","19,092","43,075",6.4,20.9,"37,664","14,461","23,203",4.9,12.7,"24,503",8.2,25.4,"1,809","1,812","8,329"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
