Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"37,298","39,813","115,442","98,458","7,931",20.4,"6,021",15.5,"51,680","15,116","36,564",15.4,52.5,"17,711","11,197","6,514",11.4,18.0,"33,969",34.5,36.0,"3,946","3,950","7,503"
b. 5 to 9,"14,770","16,824","126,322","116,097","2,269",13.8,"1,467",8.9,"40,550","14,718","25,832",12.7,34.9,"20,100","9,566","10,534",8.2,17.3,"20,450",17.6,34.6,945,969,"6,286"
c. 10 to 19,"8,840","10,035","151,373","140,651","1,116",11.3,777,7.9,"44,801","14,875","29,926",10.6,31.9,"23,357","10,430","12,927",7.4,16.6,"21,444",15.3,33.2,496,497,"6,675"
d. 20 to 49,"5,281","6,375","196,720","193,458",598,9.5,478,7.6,"38,666","17,983","20,683",9.3,20.0,"32,141","14,348","17,793",7.4,16.6,"6,525",3.4,33.2,284,286,"8,763"
e. 50 to 99,"1,737","2,207","152,661","149,341",195,9.0,129,5.9,"28,352","13,310","15,042",8.9,19.0,"21,711","8,652","13,059",5.8,14.5,"6,641",4.5,29.0,74,74,"4,915"
f. 100 to 249,904,"1,196","189,087","184,699",96,8.1,87,7.3,"38,098","14,164","23,934",7.7,20.6,"29,322","13,391","15,931",7.3,15.9,"8,776",4.7,31.8,52,52,"7,752"
g. 250 to 499,251,314,"105,696","105,964",20,6.4,17,5.4,"14,647","6,409","8,238",6.0,13.8,"15,182","5,612","9,570",5.3,14.3,-535,-0.5,27.6,5,5,"1,700"
h. 500 to 999,98,117,"80,079","80,019",3,2.6,0,0.0,"6,552","1,685","4,867",2.1,8.2,"6,431",0,"6,431",0.0,8.0,121,0.2,16.0,,,
i. 1000+,67,83,"165,333","162,142",8,10.1,0,0.0,"19,110","10,338","8,772",6.4,11.8,"12,727",0,"12,727",0.0,7.8,"6,383",4.0,15.6,,,
m. ALL,"69,246","76,964","1,282,713","1,230,829","12,236",16.2,"8,976",11.9,"282,456","108,598","173,858",8.8,22.9,"178,682","73,196","105,486",5.9,14.5,"103,774",8.4,29.0,"5,802","5,833","43,594"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"38,328","40,875","114,950","99,480","7,465",18.6,"5,760",14.4,"46,736",D,D,D,47.0,"15,796",D,"4,889",D,15.9,"30,940",31.1,31.8,"4,196","4,201",D
b. 5 to 9,"15,385","17,565","134,265","123,479","1,964",11.4,"1,425",8.2,"39,689","12,757","26,932",10.3,32.1,"18,117","9,282","8,835",7.5,14.7,"21,572",17.4,29.4,975,978,"6,368"
c. 10 to 19,"9,210","10,502","154,837","145,804",983,9.5,703,6.8,"38,033","12,845","25,188",8.8,26.1,"19,966","9,272","10,694",6.4,13.7,"18,067",12.4,27.4,436,437,"5,772"
d. 20 to 49,"5,383","6,523","214,952","205,428",450,6.9,403,6.2,"45,386","13,523","31,863",6.6,22.1,"26,337","12,336","14,001",6.0,12.8,"19,049",9.3,25.6,211,219,"6,656"
e. 50 to 99,"1,828","2,320","170,178","162,823",162,7.0,124,5.4,"33,814","11,031","22,783",6.8,20.8,"19,103","8,199","10,904",5.0,11.7,"14,711",9.1,23.4,47,47,"3,073"
f. 100 to 249,924,"1,227","197,842","190,759",65,5.3,57,4.7,"34,355","9,516","24,839",5.0,18.0,"20,189","8,055","12,134",4.2,10.6,"14,166",7.4,21.2,13,13,"2,000"
g. 250 to 499,253,313,"108,446","107,478",12,3.8,18,5.7,"17,012","4,126","12,886",3.8,15.8,"15,076","6,205","8,871",5.8,14.0,"1,936",1.8,28.0,6,6,"2,071"
h. 500 to 999,116,133,"88,520","88,971",3,2.2,4,3.0,"9,675","1,807","7,868",2.0,10.9,"10,577","2,369","8,208",2.7,11.9,-902,-1.0,21.8,1,1,D
i. 1000+,73,97,"189,022","203,575",2,2.1,1,1.0,"20,891",D,D,D,10.3,"49,997",D,"48,926",D,24.6,"-29,106",-14.3,20.6,,,
m. ALL,"71,500","79,555","1,373,012","1,327,797","11,106",14.2,"8,495",10.9,"285,591","83,787","201,804",6.3,21.5,"195,158","67,696","127,462",5.1,14.7,"90,433",6.8,29.4,"5,885","5,902","34,322"
,,1979,,,,,,,,,,,,,,,,,,,,,,
