Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"48,286","51,999","138,292","121,932","10,265",20.0,"8,714",17.0,"57,299",D,D,D,47.0,"24,579","15,932","8,647",13.1,20.2,"32,720",26.8,40.4,"6,011","6,022","11,075"
b. 5 to 9,"16,629","19,086","138,302","129,731","2,504",13.3,"1,849",9.9,"41,872","16,231","25,641",12.5,32.3,"24,729","11,926","12,803",9.2,19.1,"17,143",13.2,38.2,"1,266","1,277","8,224"
c. 10 to 19,"10,048","11,691","168,820","161,383","1,263",10.9,990,8.6,"43,825","16,653","27,172",10.3,27.2,"28,950","13,249","15,701",8.2,17.9,"14,875",9.3,35.8,600,601,"7,933"
d. 20 to 49,"5,934","7,457","227,989","224,995",734,9.9,637,8.6,"46,219","22,036","24,183",9.8,20.5,"40,231","19,035","21,196",8.5,17.9,"5,988",2.6,35.8,317,317,"9,343"
e. 50 to 99,"1,980","2,524","176,340","172,980",208,8.3,167,6.7,"32,983","14,396","18,587",8.3,19.1,"26,263","11,251","15,012",6.5,15.2,"6,720",3.9,30.4,71,71,"4,781"
f. 100 to 249,"1,004","1,346","205,000","202,839",98,7.3,84,6.3,"34,223","14,019","20,204",6.9,16.9,"29,900","12,467","17,433",6.1,14.7,"4,323",2.2,29.4,29,29,"4,354"
g. 250 to 499,312,412,"137,127","139,369",16,3.9,17,4.1,"13,983","5,042","8,941",3.6,10.0,"18,467","5,785","12,682",4.2,13.3,"-4,484",-3.3,20.0,6,6,"1,870"
h. 500 to 999,133,170,"110,108","110,889",5,3.0,0,0.0,"9,497","3,558","5,939",3.2,8.6,"11,059",0,"11,059",0.0,10.0,"-1,562",-1.4,17.2,,,
i. 1000+,72,90,"207,533","204,949",2,2.2,0,0.0,"17,936",D,D,D,8.8,"12,767",0,"12,767",0.0,6.2,"5,169",2.6,12.4,,,
m. ALL,"84,398","94,775","1,509,511","1,469,067","15,095",16.1,"12,458",13.3,"297,837","114,468","183,369",7.8,20.3,"216,945","89,645","127,300",6.1,14.8,"80,892",5.5,29.6,"8,300","8,323","47,580"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"48,716","52,714","137,388","122,812","9,753",18.7,"8,558",16.4,"51,857",D,D,D,42.2,"22,704",D,"7,005",D,18.5,"29,153",23.7,37.0,"6,221","6,226","11,341"
b. 5 to 9,"17,200","19,680","142,000","134,133","2,294",11.8,"1,818",9.3,"38,631","14,765","23,866",11.0,28.8,"22,896","11,790","11,106",8.8,17.1,"15,735",11.7,34.2,"1,212","1,219","7,871"
c. 10 to 19,"10,343","12,008","173,693","166,260","1,118",9.4,923,7.7,"40,513","14,875","25,638",8.9,24.4,"25,646","12,276","13,370",7.4,15.4,"14,867",9.0,30.8,540,542,"7,093"
d. 20 to 49,"6,097","7,626","247,451","237,386",609,8.0,499,6.6,"53,086","17,845","35,241",7.5,22.4,"32,955","14,559","18,396",6.1,13.9,"20,131",8.5,27.8,232,232,"6,578"
e. 50 to 99,"2,030","2,608","186,181","180,956",179,6.9,133,5.1,"32,710","12,065","20,645",6.7,18.1,"22,259","8,718","13,541",4.8,12.3,"10,451",5.8,24.6,53,53,"3,333"
f. 100 to 249,"1,024","1,380","219,102","213,993",76,5.5,67,4.9,"37,473","11,270","26,203",5.3,17.5,"27,254","10,346","16,908",4.8,12.7,"10,219",4.8,25.4,22,22,"3,189"
g. 250 to 499,333,437,"149,981","149,660",16,3.7,15,3.4,"20,548","5,644","14,904",3.8,13.7,"19,906","5,274","14,632",3.5,13.3,642,0.4,26.6,5,5,"1,505"
h. 500 to 999,139,166,"116,058","115,113",5,3.0,4,2.4,"13,786","3,144","10,642",2.7,12.0,"11,896","3,050","8,846",2.6,10.3,"1,890",1.7,20.6,,,
i. 1000+,72,93,"221,075","230,808",1,1.1,1,1.1,"21,165",D,D,D,9.2,"40,630",D,"28,985",D,17.6,"-19,465",-8.4,18.4,,,
m. ALL,"85,954","96,712","1,592,929","1,551,121","14,051",14.7,"12,018",12.6,"309,769","99,011","210,758",6.4,20.0,"226,146","93,357","132,789",6.0,14.6,"83,623",5.4,29.2,"8,285","8,299","40,910"
,,1979,,,,,,,,,,,,,,,,,,,,,,
