Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,326","11,013","33,641","27,519","2,550",24.0,"1,709",16.1,"17,246","4,803","12,443",17.5,62.7,"5,001","3,133","1,868",11.4,18.2,"12,245",44.5,36.4,"1,161","1,162","2,233"
b. 5 to 9,"3,564","3,972","26,893","25,518",662,17.3,360,9.4,"7,876","4,293","3,583",16.8,30.9,"5,125","2,350","2,775",9.2,20.1,"2,751",10.8,40.2,281,281,"1,836"
c. 10 to 19,"2,040","2,257","32,302","30,710",282,12.7,195,8.8,"8,577","3,754","4,823",12.2,27.9,"5,393","2,550","2,843",8.3,17.6,"3,184",10.3,35.2,138,138,"1,811"
d. 20 to 49,"1,037","1,211","36,494","35,779",139,11.6,109,9.1,"8,168","4,086","4,082",11.4,22.8,"6,737","3,133","3,604",8.8,18.8,"1,431",4.0,37.6,76,76,"2,223"
e. 50 to 99,247,296,"19,652","19,491",25,8.5,17,5.8,"3,630","1,754","1,876",9.0,18.6,"3,308","1,144","2,164",5.9,17.0,322,1.6,34.0,11,11,784
f. 100 to 249,113,136,"19,019","19,207",8,5.9,7,5.2,"2,486","1,111","1,375",5.8,12.9,"2,861","1,012","1,849",5.3,14.9,-375,-2.0,25.8,7,7,"1,012"
g. 250 to 499,24,26,"10,143","9,069",1,3.9,0,0.0,"2,646",D,D,D,29.2,497,0,497,0.0,5.5,"2,149",23.7,11.0,,,
h. 500 to 999,8,8,"5,858","5,399",1,13.3,0,0.0,972,D,D,D,18.0,53,0,53,0.0,1.0,919,17.0,2.0,,,
i. 1000+,3,5,"7,008","5,904",2,50.0,0,0.0,"2,209",D,D,D,37.4,0,0,0,0.0,0.0,"2,209",37.4,0.0,,,
m. ALL,"17,362","18,924","191,010","178,596","3,670",20.0,"2,397",13.1,"53,810","23,011","30,799",12.9,30.1,"28,975","13,322","15,653",7.5,16.2,"24,835",13.9,32.4,"1,674","1,675","9,899"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"9,595","10,385","27,524","24,985","1,992",18.7,"2,301",21.7,"10,844",D,D,D,43.4,"5,765","4,353","1,412",17.4,23.1,"5,079",20.3,46.2,"1,371","1,371","2,616"
b. 5 to 9,"3,489","3,861","27,997","26,803",518,13.3,566,14.5,"8,180","3,373","4,807",12.6,30.5,"5,791","3,628","2,163",13.5,21.6,"2,389",8.9,43.2,326,326,"2,084"
c. 10 to 19,"2,147","2,387","34,931","33,587",253,10.6,264,11.0,"8,996","3,353","5,643",10.0,26.8,"6,308","3,561","2,747",10.6,18.8,"2,688",8.0,37.6,147,147,"1,986"
d. 20 to 49,"1,015","1,199","39,144","37,629",97,8.0,107,8.8,"8,703","2,881","5,822",7.7,23.1,"5,672","3,067","2,605",8.2,15.1,"3,031",8.0,30.2,63,63,"1,875"
e. 50 to 99,260,311,"21,579","20,995",23,7.5,14,4.6,"3,639","1,469","2,170",7.0,17.3,"2,470",964,"1,506",4.6,11.8,"1,169",5.5,23.6,8,8,566
f. 100 to 249,118,141,"22,734","22,147",7,4.9,13,9.0,"4,475",884,"3,591",4.0,20.2,"3,301","1,844","1,457",8.3,14.9,"1,174",5.3,29.8,5,5,633
g. 250 to 499,23,26,"8,639","8,799",1,3.8,1,3.8,986,D,D,D,11.2,"1,306",D,"1,006",D,14.8,-320,-3.6,22.4,,,
h. 500 to 999,7,7,"4,886","4,832",0,0.0,0,0.0,240,0,240,0.0,5.0,131,0,131,0.0,2.7,109,2.3,5.4,,,
i. 1000+,5,8,"9,490","13,663",0,0.0,1,11.8,701,0,701,0.0,5.1,"9,046",D,"7,139",D,66.2,"-8,345",-61.1,10.2,,,
m. ALL,"16,659","18,325","196,924","193,440","2,891",15.5,"3,267",17.5,"46,764","16,067","30,697",8.3,24.2,"39,790","19,624","20,166",10.1,20.6,"6,974",3.6,41.2,"1,920","1,920","9,760"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,162","10,881","28,793","25,106","2,200",21.3,"1,200",11.6,"11,453","4,343","7,110",17.3,45.6,"4,079","2,242","1,837",8.9,16.2,"7,374",29.4,32.4,13,13,20
