Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"50,788","54,889","135,124","123,827","11,258",20.9,"8,772",16.3,"48,146",D,D,D,38.9,"25,551","16,060","9,491",13.0,20.6,"22,595",18.3,41.2,"6,077","6,082","11,212"
b. 5 to 9,"18,579","22,122","155,079","146,583","2,932",13.6,"1,878",8.7,"44,212","18,989","25,223",13.0,30.2,"27,219","12,131","15,088",8.3,18.6,"16,993",11.6,37.2,"1,282","1,284","8,284"
c. 10 to 19,"10,196","12,454","170,235","165,884","1,378",11.3,951,7.8,"37,139","18,188","18,951",11.0,22.4,"28,437","12,602","15,835",7.6,17.1,"8,702",5.3,34.2,606,608,"8,024"
d. 20 to 49,"5,865","7,902","239,329","233,866",799,10.3,499,6.4,"48,389","23,683","24,706",10.1,20.7,"37,463","14,741","22,722",6.3,16.0,"10,926",4.7,32.0,290,293,"8,481"
e. 50 to 99,"1,913","2,504","175,248","172,325",211,8.5,185,7.4,"33,575","14,405","19,170",8.4,19.5,"27,729","12,513","15,216",7.3,16.1,"5,846",3.4,32.2,99,100,"6,723"
f. 100 to 249,"1,196","1,638","252,770","249,772",117,7.2,78,4.8,"38,240","17,284","20,956",6.9,15.3,"32,244","11,846","20,398",4.7,12.9,"5,996",2.4,25.8,40,41,"6,072"
g. 250 to 499,453,653,"220,686","222,354",31,4.8,24,3.7,"23,527","10,530","12,997",4.7,10.6,"26,862","8,189","18,673",3.7,12.1,"-3,335",-1.5,21.2,9,9,"3,078"
h. 500 to 999,167,226,"153,036","151,479",6,2.7,0,0.0,"13,803","3,774","10,029",2.5,9.1,"10,691",0,"10,691",0.0,7.1,"3,112",2.0,14.2,,,
i. 1000+,96,130,"248,989","253,075",2,1.6,0,0.0,"19,579",D,D,D,7.7,"27,751",0,"27,751",0.0,11.0,"-8,172",-3.3,15.4,,,
m. ALL,"89,253","102,518","1,750,496","1,719,165","16,734",16.7,"12,387",12.3,"306,610","132,512","174,098",7.7,17.8,"243,947","88,082","155,865",5.1,14.2,"62,663",3.6,28.4,"8,403","8,417","51,874"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"52,790","57,059","148,968","133,480","10,993",19.6,"8,777",15.7,"54,826",D,D,D,41.1,"23,849",D,"7,607",D,17.9,"30,977",23.2,35.8,"6,450","6,463","11,819"
b. 5 to 9,"19,100","22,705","162,127","152,677","2,606",11.7,"1,797",8.1,"43,051","16,903","26,148",11.1,28.2,"24,151","11,618","12,533",7.6,15.8,"18,900",12.4,31.6,"1,288","1,291","8,325"
c. 10 to 19,"10,561","12,945","187,224","178,409","1,225",9.6,879,6.9,"43,191","16,476","26,715",9.2,24.2,"25,560","11,758","13,802",6.6,14.3,"17,631",9.9,28.6,531,532,"7,021"
d. 20 to 49,"6,003","8,111","258,568","247,962",653,8.2,452,5.6,"52,274","19,300","32,974",7.8,21.1,"31,062","13,339","17,723",5.4,12.5,"21,212",8.6,25.0,204,204,"5,960"
e. 50 to 99,"1,941","2,572","184,940","179,795",152,5.9,125,4.9,"32,220","10,328","21,892",5.7,17.9,"21,930","8,737","13,193",4.9,12.2,"10,290",5.7,24.4,42,42,"2,814"
f. 100 to 249,"1,228","1,682","271,547","265,133",80,4.8,70,4.2,"41,262","11,761","29,501",4.4,15.6,"28,433","9,982","18,451",3.8,10.7,"12,829",4.9,21.4,20,20,"2,702"
g. 250 to 499,452,653,"228,463","227,962",22,3.4,24,3.7,"24,383","7,427","16,956",3.3,10.7,"23,380","8,075","15,305",3.5,10.3,"1,003",0.4,20.6,7,7,"2,495"
h. 500 to 999,179,237,"162,112","162,025",5,2.1,6,2.5,"15,686","3,211","12,475",2.0,9.7,"15,513","3,919","11,594",2.4,9.6,173,0.1,19.2,2,2,D
i. 1000+,87,122,"250,141","252,168",2,1.6,2,1.6,"18,753",D,D,D,7.4,"22,808",D,"14,930",D,9.0,"-4,055",-1.6,14.8,1,1,D
m. ALL,"92,341","106,086","1,854,090","1,799,611","15,738",15.1,"12,132",11.6,"325,646","108,458","217,188",6.0,18.1,"216,686","91,548","125,138",5.1,12.0,"108,960",6.1,24.0,"8,545","8,562","43,859"
,,1979,,,,,,,,,,,,,,,,,,,,,,
