Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"19,011","20,172","51,898","46,063","3,941",19.9,"3,047",15.4,"20,331",D,D,D,44.1,"8,661",D,"3,187",D,18.8,"11,670",25.3,37.6,"2,104","2,109","3,897"
b. 5 to 9,"6,775","7,574","75,611","61,618",995,13.4,693,9.3,"37,308","6,430","30,878",10.4,60.5,"9,322","4,447","4,875",7.2,15.1,"27,986",45.4,30.2,463,465,"2,962"
c. 10 to 19,"3,882","4,320","58,379","57,257",481,11.3,339,8.0,"12,378","6,365","6,013",11.1,21.6,"10,133","4,500","5,633",7.9,17.7,"2,245",3.9,35.4,220,220,"2,904"
d. 20 to 49,"2,263","2,662","83,509","81,527",232,8.7,218,8.2,"18,242","6,997","11,245",8.6,22.4,"14,278","6,406","7,872",7.9,17.5,"3,964",4.9,35.0,145,145,"4,283"
e. 50 to 99,674,810,"54,959","54,689",62,7.7,52,6.5,"8,636","4,219","4,417",7.7,15.8,"8,095","3,563","4,532",6.5,14.8,541,1.0,29.6,31,31,"2,234"
f. 100 to 249,334,393,"57,840","56,996",29,7.5,19,4.9,"9,606","4,384","5,222",7.7,16.9,"7,918","2,931","4,987",5.1,13.9,"1,688",3.0,27.8,14,14,"1,960"
g. 250 to 499,86,100,"33,605","34,040",3,3.0,4,4.0,"3,916","1,155","2,761",3.4,11.5,"4,786","1,434","3,352",4.2,14.1,-870,-2.6,23.0,4,4,"1,434"
h. 500 to 999,39,45,"29,783","30,276",0,0.0,1,2.2,"2,323",0,"2,323",0.0,7.7,"3,309",D,"2,809",D,10.9,-986,-3.2,15.4,,,
i. 1000+,17,19,"27,902","29,153",1,5.4,0,0.0,"3,295",D,D,D,11.3,"5,796",0,"5,796",0.0,19.9,"-2,501",-8.6,22.6,,,
m. ALL,"33,081","36,095","473,486","451,619","5,744",16.2,"4,373",12.3,"116,035","38,508","77,527",8.5,25.7,"72,298","29,255","43,043",6.5,16.0,"43,737",9.7,32.0,"2,981","2,988","19,674"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"19,221","20,385","51,363","46,721","3,458",17.1,"2,992",14.8,"17,857",D,D,D,38.2,"8,573","5,542","3,031",11.9,18.3,"9,284",19.9,36.6,"2,187","2,189",D
b. 5 to 9,"6,998","7,865","66,294","58,104",874,11.3,646,8.3,"25,276","5,641","19,635",9.7,43.5,"8,895","4,113","4,782",7.1,15.3,"16,381",28.2,30.6,452,457,"2,891"
c. 10 to 19,"3,985","4,502","62,842","61,152",410,9.2,327,7.3,"13,354","5,357","7,997",8.8,21.8,"9,973","4,284","5,689",7.0,16.3,"3,381",5.5,32.6,224,224,"2,959"
d. 20 to 49,"2,324","2,736","86,489","83,398",196,7.2,134,5.0,"16,869","5,731","11,138",6.9,20.2,"10,687","4,109","6,578",4.9,12.8,"6,182",7.4,25.6,76,76,"2,244"
e. 50 to 99,709,837,"58,325","57,514",37,4.4,32,3.8,"8,131","2,512","5,619",4.4,14.1,"6,509","2,139","4,370",3.7,11.3,"1,622",2.8,22.6,17,20,"1,316"
f. 100 to 249,336,394,"58,505","58,115",16,4.0,19,4.8,"8,791","2,321","6,470",4.0,15.1,"8,010","3,020","4,990",5.2,13.8,781,1.3,27.6,8,8,"1,284"
g. 250 to 499,89,103,"34,984","35,341",4,3.9,4,3.9,"3,860","1,553","2,307",4.4,10.9,"4,573","1,429","3,144",4.0,12.9,-713,-2.0,21.8,1,1,D
h. 500 to 999,42,46,"29,624","30,871",1,2.2,2,4.3,"1,987",D,D,D,6.4,"4,480",D,"2,910",D,14.5,"-2,493",-8.1,12.8,,,
i. 1000+,19,22,"32,960","46,100",0,0.0,1,4.4,"2,205",0,"2,205",0.0,4.8,"28,485",D,"21,455",D,61.8,"-26,280",-57.0,9.6,,,
m. ALL,"33,723","36,890","481,386","477,316","4,996",13.7,"4,157",11.4,"98,330","30,201","68,129",6.3,20.6,"90,185","33,236","56,949",7.0,18.9,"8,145",1.7,37.8,"2,965","2,975","15,148"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
