Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,188","10,707","26,632","23,590","2,299",22.3,"1,485",14.4,"10,142",D,D,D,43.0,"4,058","2,621","1,437",11.1,17.2,"6,084",25.8,34.4,"1,007","1,011",D
b. 5 to 9,"3,275","3,580","24,618","23,402",488,14.0,287,8.2,"6,462","3,147","3,315",13.4,27.6,"4,030","1,898","2,132",8.1,17.2,"2,432",10.4,34.4,216,216,"1,440"
c. 10 to 19,"1,920","2,035","29,020","27,904",227,11.3,163,8.1,"6,892","2,942","3,950",10.5,24.7,"4,660","2,252","2,408",8.1,16.7,"2,232",8.0,33.4,108,108,"1,477"
d. 20 to 49,"1,129","1,301","41,695","39,799",135,10.6,75,5.9,"9,050","4,036","5,014",10.1,22.7,"5,258","2,208","3,050",5.5,13.2,"3,792",9.5,26.4,51,51,"1,482"
e. 50 to 99,383,444,"32,407","31,635",42,9.5,35,7.9,"6,482","2,775","3,707",8.8,20.5,"4,938","2,481","2,457",7.8,15.6,"1,544",4.9,31.2,15,16,"1,128"
f. 100 to 249,226,254,"39,396","39,037",9,3.5,15,5.8,"5,727","1,430","4,297",3.7,14.7,"5,008","2,179","2,829",5.6,12.8,719,1.9,25.6,4,4,701
g. 250 to 499,77,88,"29,883","29,782",3,3.4,3,3.4,"3,438",987,"2,451",3.3,11.5,"3,235",960,"2,275",3.2,10.9,203,0.6,21.8,2,2,D
h. 500 to 999,31,34,"23,376","22,874",1,3.0,0,0.0,"2,638",D,D,D,11.5,"1,633",0,"1,633",0.0,7.1,"1,005",4.4,14.2,,,
i. 1000+,9,9,"15,162","15,816",0,0.0,0,0.0,372,0,372,0.0,2.4,"1,679",0,"1,679",0.0,10.6,"-1,307",-8.2,4.8,,,
m. ALL,"17,238","18,452","262,189","253,839","3,204",17.9,"2,063",11.5,"51,203","20,146","31,057",7.9,20.2,"34,499","14,599","19,900",5.8,13.6,"16,704",6.6,27.2,"1,403","1,408","8,624"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,504","11,025","31,282","26,646","2,260",21.1,"1,571",14.7,"13,469",D,D,D,50.5,"4,197",D,"1,373",D,15.8,"9,272",34.7,31.6,"1,162","1,162",D
b. 5 to 9,"3,561","3,896","28,892","26,681",463,12.1,313,8.2,"8,414","2,973","5,441",11.1,31.5,"3,991","1,998","1,993",7.5,15.0,"4,423",16.5,30.0,222,226,"1,437"
c. 10 to 19,"2,024","2,178","32,439","30,224",228,10.7,143,6.7,"8,491","3,008","5,483",10.0,28.1,"4,061","1,884","2,177",6.2,13.4,"4,430",14.7,26.8,90,90,"1,186"
d. 20 to 49,"1,252","1,432","46,855","44,409",119,8.4,76,5.4,"10,035","3,517","6,518",7.9,22.6,"5,142","2,190","2,952",4.9,11.6,"4,893",11.0,23.2,44,45,"1,258"
e. 50 to 99,419,491,"35,922","34,258",45,9.3,26,5.4,"7,272","3,281","3,991",9.6,21.2,"3,944","1,806","2,138",5.3,11.5,"3,328",9.7,23.0,7,7,455
f. 100 to 249,249,270,"42,908","41,748",14,5.2,11,4.1,"6,391","2,019","4,372",4.8,15.3,"4,070","1,624","2,446",3.9,9.7,"2,321",5.6,19.4,3,3,400
g. 250 to 499,84,96,"32,220","31,924",7,7.5,2,2.1,"4,054","2,006","2,048",6.3,12.7,"3,462",D,"2,624",D,10.8,592,1.9,21.6,1,1,D
h. 500 to 999,36,38,"26,666","25,764",3,8.2,0,0.0,"4,432","2,306","2,126",9.0,17.2,"2,627",0,"2,627",0.0,10.2,"1,805",7.0,20.4,,,
i. 1000+,10,11,"18,470","17,154",2,20.0,0,0.0,"3,128",D,D,D,18.2,495,0,495,0.0,2.9,"2,633",15.3,5.8,,,
m. ALL,"18,139","19,437","295,654","278,808","3,141",16.6,"2,142",11.3,"65,686","25,473","40,213",9.1,23.6,"31,989","13,164","18,825",4.7,11.5,"33,697",12.1,23.0,"1,529","1,534","7,214"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
