Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"12,373","13,120","33,551","29,960","3,180",25.0,"2,311",18.2,"13,864","6,162","7,702",20.6,46.3,"6,682",D,"2,356",D,22.3,"7,182",24.0,44.6,"1,643","1,647","3,168"
b. 5 to 9,"4,697","5,347","36,730","34,839",940,18.1,619,11.9,"11,663","6,141","5,522",17.6,33.5,"7,881","4,054","3,827",11.6,22.6,"3,782",10.9,45.2,447,447,"2,936"
c. 10 to 19,"2,719","3,135","42,372","41,139",465,15.2,315,10.3,"11,636","6,149","5,487",14.9,28.3,"9,170","4,208","4,962",10.2,22.3,"2,466",6.0,44.6,219,219,"2,901"
d. 20 to 49,"1,456","1,800","53,157","52,647",224,12.6,164,9.3,"12,648","6,436","6,212",12.2,24.0,"11,627","4,806","6,821",9.1,22.1,"1,021",1.9,44.2,95,95,"2,798"
e. 50 to 99,420,500,"32,287","32,198",62,12.7,37,7.6,"6,408","4,083","2,325",12.7,19.9,"6,230","2,497","3,733",7.8,19.3,178,0.6,38.6,19,19,"1,255"
f. 100 to 249,176,194,"28,393","28,232",13,6.7,12,6.2,"5,005","1,732","3,273",6.1,17.7,"4,683","1,872","2,811",6.6,16.6,322,1.1,33.2,3,3,577
g. 250 to 499,48,51,"18,830","18,024",3,6.0,1,2.0,"3,080",952,"2,128",5.3,17.1,"1,468",D,"1,094",D,8.1,"1,612",9.0,16.2,,,
h. 500 to 999,16,17,"10,018","10,343",1,6.1,0,0.0,"1,143",D,D,D,11.1,"1,792",0,"1,792",0.0,17.3,-649,-6.2,22.2,,,
i. 1000+,10,11,"18,876","19,031",1,9.5,0,0.0,"1,654",D,D,D,8.7,"1,964",0,"1,964",0.0,10.3,-310,-1.6,17.4,,,
m. ALL,"21,915","24,175","274,214","266,413","4,889",20.8,"3,459",14.7,"67,101","33,274","33,827",12.5,25.2,"51,497","22,137","29,360",8.3,19.3,"15,604",5.9,38.6,"2,426","2,430","13,635"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"11,354","12,236","34,709","31,068","2,447",19.4,"2,931",23.3,"14,424",D,D,D,46.4,"7,141","5,447","1,694",17.5,23.0,"7,283",23.4,46.0,"1,860","1,860",D
b. 5 to 9,"4,672","5,264","39,880","37,566",758,14.2,858,16.1,"13,278","4,932","8,346",13.1,35.3,"8,649","5,581","3,068",14.9,23.0,"4,629",12.3,46.0,522,523,"3,405"
c. 10 to 19,"2,691","3,155","46,776","44,390",373,11.8,366,11.6,"13,266","4,960","8,306",11.2,29.9,"8,493","4,818","3,675",10.9,19.1,"4,773",10.8,38.2,202,203,"2,666"
d. 20 to 49,"1,447","1,781","56,840","55,472",180,10.0,205,11.4,"13,725","5,270","8,455",9.5,24.7,"10,989","6,026","4,963",10.9,19.8,"2,736",4.9,39.6,106,106,"3,039"
e. 50 to 99,440,537,"38,349","37,009",53,9.9,45,8.4,"9,134","3,440","5,694",9.3,24.7,"6,453","3,015","3,438",8.1,17.4,"2,681",7.3,34.8,21,21,"1,477"
f. 100 to 249,171,190,"29,174","28,531",9,4.7,12,6.3,"4,825","1,595","3,230",5.6,16.9,"3,538","1,761","1,777",6.2,12.4,"1,287",4.5,24.8,5,5,753
g. 250 to 499,46,50,"17,366","17,143",2,4.0,1,2.0,"2,266",D,D,D,13.2,"1,819",D,"1,470",D,10.6,447,2.6,21.2,,,
h. 500 to 999,23,24,"16,601","16,376",0,0.0,0,0.0,"2,102",0,"2,102",0.0,12.8,"1,651",0,"1,651",0.0,10.1,451,2.7,20.2,,,
i. 1000+,6,7,"13,895","15,495",0,0.0,1,13.3,688,0,688,0.0,4.4,"3,887",D,"1,104",D,25.1,"-3,199",-20.7,8.8,1,1,D
m. ALL,"20,850","23,244","293,590","283,050","3,822",16.1,"4,419",18.6,"73,708","25,671","48,037",9.1,26.0,"52,620","29,780","22,840",10.5,18.6,"21,088",7.4,37.2,"2,717","2,719","17,516"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
