Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"31,062","33,132","80,459","73,354","7,126",22.0,"5,611",17.3,"30,298","13,742","16,556",18.7,41.3,"16,088","10,313","5,775",14.1,21.9,"14,210",19.4,43.8,"4,140","4,152","7,730"
b. 5 to 9,"10,363","11,632","79,243","75,703","1,715",15.1,"1,121",9.9,"22,709","11,031","11,678",14.6,30.0,"15,629","7,258","8,371",9.6,20.6,"7,080",9.4,41.2,808,811,"5,238"
c. 10 to 19,"5,860","7,020","97,229","93,901",932,13.6,615,9.0,"24,400","12,536","11,864",13.4,26.0,"17,743","8,104","9,639",8.6,18.9,"6,657",7.1,37.8,400,401,"5,270"
d. 20 to 49,"3,593","4,415","133,674","130,403",541,12.5,337,7.8,"30,222","16,191","14,031",12.4,23.2,"23,679","9,854","13,825",7.6,18.2,"6,543",5.0,36.4,213,214,"6,280"
e. 50 to 99,"1,140","1,368","92,270","90,184",141,10.5,79,5.9,"18,362","9,728","8,634",10.8,20.4,"14,190","5,016","9,174",5.6,15.7,"4,172",4.7,31.4,44,44,"2,761"
f. 100 to 249,520,636,"92,240","92,650",57,9.1,47,7.5,"16,353","7,961","8,392",8.6,17.7,"17,173","7,254","9,919",7.8,18.5,-820,-0.8,35.4,28,28,"4,223"
g. 250 to 499,143,169,"59,196","58,158",11,6.6,7,4.2,"9,231","3,825","5,406",6.6,15.9,"7,155","2,547","4,608",4.4,12.3,"2,076",3.6,24.6,3,3,"1,014"
h. 500 to 999,62,72,"49,347","47,716",5,7.2,0,0.0,"6,679","3,324","3,355",7.0,14.0,"3,416",0,"3,416",0.0,7.2,"3,263",6.8,14.4,,,
i. 1000+,28,29,"62,862","59,606",0,0.0,0,0.0,"6,774",0,"6,774",0.0,11.4,262,0,262,0.0,0.4,"6,512",11.0,0.8,,,
m. ALL,"52,771","58,473","746,520","721,675","10,528",18.4,"7,817",13.7,"165,028","78,338","86,690",10.9,22.9,"115,335","50,346","64,989",7.0,16.0,"49,693",6.9,32.0,"5,636","5,653","32,516"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"28,575","30,841","80,559","74,692","5,874",18.4,"7,598",23.8,"30,210",D,D,D,40.4,"18,475","14,114","4,361",18.9,24.7,"11,735",15.7,49.4,"4,780","4,783","8,827"
b. 5 to 9,"10,041","11,284","82,023","78,388","1,480",13.0,"1,583",13.9,"23,958","9,512","14,446",12.1,30.6,"16,688","10,256","6,432",13.1,21.3,"7,270",9.3,42.6,925,928,"6,001"
c. 10 to 19,"5,859","7,075","103,676","99,398",819,11.6,788,11.1,"26,944","10,919","16,025",11.0,27.1,"18,387","10,472","7,915",10.5,18.5,"8,557",8.6,37.0,406,411,"5,450"
d. 20 to 49,"3,653","4,483","143,139","138,629",443,9.9,413,9.2,"31,859","12,643","19,216",9.1,23.0,"22,838","12,216","10,622",8.8,16.5,"9,021",6.5,33.0,185,185,"5,383"
e. 50 to 99,"1,122","1,379","98,703","97,006",87,6.3,102,7.3,"17,807","6,018","11,789",6.2,18.4,"14,412","6,756","7,656",7.0,14.9,"3,395",3.5,29.8,34,34,"2,213"
f. 100 to 249,521,653,"100,506","99,560",40,6.1,45,6.9,"17,072","6,242","10,830",6.3,17.1,"15,180","6,369","8,811",6.4,15.2,"1,892",1.9,30.4,15,15,"1,960"
g. 250 to 499,139,166,"55,526","56,130",7,4.2,8,4.8,"6,948","2,425","4,523",4.3,12.4,"8,155","2,885","5,270",5.1,14.5,"-1,207",-2.1,24.8,2,2,D
h. 500 to 999,65,74,"48,221","50,010",1,1.3,3,4.0,"4,450",D,D,D,8.9,"8,028","2,259","5,769",4.5,16.1,"-3,578",-7.2,17.8,2,2,D
i. 1000+,29,31,"63,121","65,630",0,0.0,3,9.2,"3,886",0,"3,886",0.0,5.9,"8,905","6,023","2,882",9.2,13.6,"-5,019",-7.7,11.8,2,2,D
m. ALL,"50,004","55,986","775,474","759,443","8,751",15.3,"10,543",18.4,"163,134","59,590","103,544",7.8,21.5,"131,068","71,350","59,718",9.4,17.3,"32,066",4.2,34.6,"6,351","6,362","36,628"
,,1979,,,,,,,,,,,,,,,,,,,,,,
