Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"28,194","29,961","75,838","67,440","7,532",26.1,"5,160",17.9,"31,300","14,482","16,818",21.5,46.4,"14,503","9,703","4,800",14.4,21.5,"16,797",24.9,43.0,"3,493","3,500","6,628"
b. 5 to 9,"10,000","11,185","77,269","73,221","1,863",17.1,"1,241",11.4,"23,628","12,117","11,511",16.5,32.3,"15,531","8,063","7,468",11.0,21.2,"8,097",11.1,42.4,820,824,"5,371"
c. 10 to 19,"5,744","6,629","94,307","89,698",927,14.3,610,9.4,"25,754","12,234","13,520",13.6,28.7,"16,535","8,063","8,472",9.0,18.4,"9,219",10.3,36.8,404,406,"5,316"
d. 20 to 49,"3,310","4,073","128,046","123,260",480,12.0,351,8.8,"30,962","14,548","16,414",11.8,25.1,"21,390","10,592","10,798",8.6,17.4,"9,572",7.7,34.8,196,200,"6,060"
e. 50 to 99,"1,000","1,235","85,896","84,129",115,9.4,85,7.0,"16,596","7,832","8,764",9.3,19.7,"13,062","5,784","7,278",6.9,15.5,"3,534",4.2,31.0,49,49,"3,345"
f. 100 to 249,503,664,"101,927","100,211",44,6.7,34,5.2,"15,580","6,550","9,030",6.5,15.5,"12,147","4,743","7,404",4.7,12.1,"3,433",3.4,24.2,12,12,"1,605"
g. 250 to 499,137,168,"55,891","57,115",6,3.5,11,6.5,"5,644",D,D,D,9.9,"8,092","3,517","4,575",6.2,14.2,"-2,448",-4.3,19.8,6,6,"2,000"
h. 500 to 999,48,60,"40,254","40,699",0,0.0,0,0.0,"2,210",0,"2,210",0.0,5.4,"3,100",0,"3,100",0.0,7.6,-890,-2.2,10.8,,,
i. 1000+,20,21,"36,160","36,152",1,4.9,0,0.0,"3,914",D,D,D,10.8,"3,897",0,"3,897",0.0,10.8,17,0.0,21.6,,,
m. ALL,"48,956","53,996","695,588","671,925","10,968",20.9,"7,492",14.3,"155,588","71,761","83,827",10.7,23.2,"108,257","50,465","57,792",7.5,16.1,"47,331",7.1,32.2,"4,980","4,997","30,325"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"29,297","31,196","92,820","77,697","7,380",24.4,"5,446",18.0,"44,412","14,221","30,191",18.3,57.2,"14,166","10,459","3,707",13.5,18.2,"30,246",39.0,36.4,"3,840","3,844","7,289"
b. 5 to 9,"10,742","11,880","88,786","81,480","1,883",16.3,"1,306",11.3,"29,586","12,334","17,252",15.1,36.3,"14,973","8,488","6,485",10.4,18.4,"14,613",17.9,36.8,874,877,"5,677"
c. 10 to 19,"6,161","7,152","106,246","99,545",897,12.8,637,9.1,"29,269","11,826","17,443",11.9,29.4,"15,867","8,530","7,337",8.6,15.9,"13,402",13.5,31.8,381,382,"5,072"
d. 20 to 49,"3,605","4,374","146,292","136,661",467,10.9,309,7.2,"38,193","13,862","24,331",10.1,27.9,"18,931","9,028","9,903",6.6,13.9,"19,262",14.0,27.8,146,147,"4,228"
e. 50 to 99,"1,045","1,331","97,912","94,437",82,6.2,81,6.1,"19,307","5,676","13,631",6.0,20.4,"12,356","5,570","6,786",5.9,13.1,"6,951",7.3,26.2,38,38,"2,584"
f. 100 to 249,512,679,"112,387","107,331",38,5.6,36,5.3,"22,431","5,673","16,758",5.3,20.9,"12,318","5,388","6,930",5.0,11.5,"10,113",9.4,23.0,10,10,"1,310"
g. 250 to 499,147,191,"67,884","67,043",8,4.1,12,6.2,"9,612","2,749","6,863",4.1,14.3,"7,929","4,516","3,413",6.7,11.8,"1,683",2.5,23.6,4,4,"1,695"
h. 500 to 999,46,62,"44,185","42,572",4,6.7,0,0.0,"6,050","2,753","3,297",6.5,14.2,"2,823",0,"2,823",0.0,6.6,"3,227",7.6,13.2,,,
i. 1000+,20,21,"42,381","40,250",0,0.0,0,0.0,"5,853",0,"5,853",0.0,14.5,"1,591",0,"1,591",0.0,4.0,"4,262",10.5,8.0,,,
m. ALL,"51,575","56,886","798,893","747,016","10,759",19.4,"7,827",14.1,"204,713","69,094","135,619",9.2,27.4,"100,954","51,979","48,975",7.0,13.5,"103,759",13.9,27.0,"5,293","5,302","27,855"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
