Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"105,467","112,562","274,756","252,562","18,728",16.8,"15,616",14.0,"91,422","35,529","55,893",14.1,36.2,"47,033","28,490","18,543",11.3,18.6,"44,389",17.6,37.2,"10,436","10,465","18,874"
b. 5 to 9,"35,664","42,615","299,721","284,557","4,916",11.8,"3,355",8.0,"80,618","31,788","48,830",11.2,28.3,"50,290","21,629","28,661",7.6,17.7,"30,328",10.6,35.4,"2,059","2,072","13,376"
c. 10 to 19,"20,826","25,487","372,037","353,376","2,597",10.3,"1,877",7.5,"96,284","34,530","61,754",9.8,27.2,"58,962","25,301","33,661",7.2,16.7,"37,322",10.5,33.4,"1,096","1,100","14,784"
d. 20 to 49,"13,080","16,666","547,104","523,216","1,419",8.6,"1,204",7.3,"133,015","43,926","89,089",8.4,25.4,"85,239","36,285","48,954",6.9,16.3,"47,776",9.1,32.6,621,625,"18,558"
e. 50 to 99,"4,670","5,989","429,428","416,296",531,9.0,387,6.5,"89,636","36,295","53,341",8.7,21.5,"63,372","26,513","36,859",6.4,15.2,"26,264",6.3,30.4,165,166,"11,212"
f. 100 to 249,"2,545","3,424","516,157","514,959",211,6.2,207,6.1,"75,353","30,415","44,938",5.9,14.6,"72,957","30,040","42,917",5.8,14.2,"2,396",0.4,28.4,83,83,"11,918"
g. 250 to 499,836,"1,137","382,751","385,595",52,4.6,44,3.9,"43,575","17,940","25,635",4.7,11.3,"49,262","15,393","33,869",4.0,12.8,"-5,687",-1.5,22.6,16,16,"5,646"
h. 500 to 999,392,518,"344,087","340,692",22,4.3,0,0.0,"38,289","14,794","23,495",4.3,11.2,"31,498",0,"31,498",0.0,9.2,"6,791",2.0,18.4,,,
i. 1000+,222,305,"684,211","676,133",9,3.0,0,0.0,"61,912","29,004","32,908",4.3,9.2,"45,758",0,"45,758",0.0,6.8,"16,154",2.4,13.6,,,
m. ALL,"183,702","208,703","3,850,252","3,747,386","28,485",13.8,"22,690",11.0,"710,104","274,221","435,883",7.3,18.9,"504,371","183,651","320,720",4.9,13.5,"205,733",5.4,27.0,"14,476","14,527","94,368"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"106,933","114,435","303,938","270,797","17,627",15.5,"15,722",13.9,"111,399","31,629","79,770",11.7,41.1,"45,116","28,396","16,720",10.5,16.7,"66,283",24.4,33.4,"11,172","11,193","19,891"
b. 5 to 9,"36,166","43,025","336,526","307,526","3,862",9.0,"3,252",7.6,"104,471","25,011","79,460",8.1,34.0,"46,471","21,002","25,469",6.8,15.1,"58,000",18.9,30.2,"2,038","2,041","13,286"
c. 10 to 19,"21,200","25,891","371,629","357,175","2,094",8.2,"1,677",6.5,"80,267","27,637","52,630",7.7,22.5,"51,359","22,535","28,824",6.3,14.4,"28,908",8.1,28.8,929,930,"12,419"
d. 20 to 49,"13,171","16,692","538,959","522,962","1,115",6.7,"1,053",6.3,"105,666","33,478","72,188",6.4,20.2,"73,671","32,200","41,471",6.2,14.1,"31,995",6.1,28.2,484,495,"14,645"
e. 50 to 99,"4,708","6,110","431,350","424,622",402,6.6,376,6.2,"76,398","27,266","49,132",6.4,18.0,"62,942","25,513","37,429",6.0,14.8,"13,456",3.2,29.6,126,130,"8,610"
f. 100 to 249,"2,580","3,514","541,302","537,928",167,4.7,200,5.7,"78,377","24,714","53,663",4.6,14.6,"71,628","29,510","42,118",5.5,13.3,"6,749",1.3,26.6,49,49,"7,046"
g. 250 to 499,826,"1,125","389,365","390,119",34,3.0,46,4.1,"45,620","11,394","34,226",2.9,11.7,"47,128","15,117","32,011",3.9,12.1,"-1,508",-0.4,23.4,11,11,"3,623"
h. 500 to 999,393,509,"344,481","348,234",9,1.8,17,3.3,"34,160","6,345","27,815",1.8,9.8,"41,666","10,875","30,791",3.1,12.0,"-7,506",-2.2,19.6,4,4,"2,502"
i. 1000+,227,314,"661,370","720,261",3,0.9,14,4.4,"58,360","11,595","46,765",1.6,8.1,"176,143","50,604","125,539",7.0,24.5,"-117,783",-16.4,16.2,8,8,"37,032"
m. ALL,"186,204","211,615","3,918,920","3,879,624","25,313",12.0,"22,357",10.6,"694,718","199,069","495,649",5.1,17.9,"616,124","235,752","380,372",6.1,15.9,"78,594",2.0,31.8,"14,821","14,861","119,054"
,,1979,,,,,,,,,,,,,,,,,,,,,,
