Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,516","10,948","65,031","43,443","1,972",18.2,"1,641",15.1,"47,720","3,621","44,099",8.3,109.8,"4,544",D,"1,617",D,10.5,"43,176",99.3,21.0,"1,104","1,113","1,982"
b. 5 to 9,"3,459","3,801","26,488","25,373",409,10.9,291,7.8,"6,739","2,626","4,113",10.3,26.6,"4,509","1,874","2,635",7.4,17.8,"2,230",8.8,35.6,201,201,"1,302"
c. 10 to 19,"2,082","2,281","31,774","30,762",221,9.8,148,6.6,"7,162","2,973","4,189",9.7,23.3,"5,138","1,988","3,150",6.5,16.7,"2,024",6.6,33.4,90,90,"1,174"
d. 20 to 49,"1,303","1,454","45,723","44,598",115,8.0,94,6.5,"8,821","3,349","5,472",7.5,19.8,"6,571","2,681","3,890",6.0,14.7,"2,250",5.1,29.4,43,43,"1,190"
e. 50 to 99,478,552,"39,777","39,087",32,5.8,34,6.1,"6,405","2,119","4,286",5.4,16.4,"5,024","2,366","2,658",6.1,12.9,"1,381",3.5,25.8,9,9,538
f. 100 to 249,235,271,"40,933","40,876",18,6.7,18,6.7,"6,059","2,437","3,622",6.0,14.8,"5,945","2,752","3,193",6.7,14.5,114,0.3,29.0,6,6,920
g. 250 to 499,84,90,"32,445","32,270",3,3.4,1,1.1,"4,308","1,161","3,147",3.6,13.3,"3,957",D,"3,697",D,12.3,351,1.0,24.6,,,
h. 500 to 999,39,41,"26,508","26,973",0,0.0,0,0.0,"1,663",0,"1,663",0.0,6.2,"2,593",0,"2,593",0.0,9.6,-930,-3.4,12.4,,,
i. 1000+,19,21,"49,347","41,036",0,0.0,0,0.0,"17,435",0,"17,435",0.0,42.5,813,0,813,0.0,2.0,"16,622",40.5,4.0,,,
m. ALL,"18,215","19,459","358,026","324,418","2,770",14.4,"2,227",11.6,"106,312","18,286","88,026",5.6,32.8,"39,094","14,848","24,246",4.6,12.1,"67,218",20.7,24.2,"1,453","1,462","7,106"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,623","11,008","33,797","28,069","1,797",16.5,"1,523",14.0,"15,669","3,278","12,391",11.7,55.8,"4,212","2,664","1,548",9.5,15.0,"11,457",40.8,30.0,"1,089","1,089",D
b. 5 to 9,"3,537","3,962","27,855","26,525",364,9.3,275,7.0,"6,650","2,313","4,337",8.7,25.1,"3,990","1,779","2,211",6.7,15.0,"2,660",10.1,30.0,187,187,"1,200"
c. 10 to 19,"2,140","2,341","34,076","32,602",188,8.1,146,6.3,"7,410","2,463","4,947",7.6,22.7,"4,462","1,997","2,465",6.1,13.7,"2,948",9.0,27.4,91,92,"1,256"
d. 20 to 49,"1,336","1,488","48,572","46,796",95,6.4,88,5.9,"9,478","2,834","6,644",6.1,20.3,"5,926","2,565","3,361",5.5,12.7,"3,552",7.6,25.4,55,55,"1,585"
e. 50 to 99,504,587,"42,069","41,396",25,4.2,33,5.6,"6,370","1,666","4,704",4.0,15.4,"5,023","2,316","2,707",5.6,12.1,"1,347",3.3,24.2,11,11,699
f. 100 to 249,254,290,"44,002","43,050",18,6.2,16,5.5,"7,914","2,849","5,065",6.6,18.4,"6,009","2,572","3,437",6.0,14.0,"1,905",4.4,28.0,5,5,710
g. 250 to 499,91,95,"36,125","34,678",7,7.4,5,5.3,"7,187","2,422","4,765",7.0,20.7,"4,293","1,696","2,597",4.9,12.4,"2,894",8.3,24.8,,,
h. 500 to 999,40,43,"30,446","29,407",2,4.7,1,2.4,"3,783",D,D,D,12.9,"1,705",D,"1,074",D,5.8,"2,078",7.1,11.6,1,1,D
i. 1000+,21,27,"36,607","63,180",1,3.7,1,3.7,"3,152",D,D,D,5.0,"56,297",D,"54,033",D,89.1,"-53,145",-84.1,10.0,,,
m. ALL,"18,546","19,841","333,549","345,703","2,497",12.7,"2,088",10.6,"67,613","20,692","46,921",6.0,19.6,"91,917","18,484","73,433",5.3,26.6,"-24,304",-7.0,39.2,"1,439","1,440","7,988"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
