Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"8,583","9,032","25,010","21,485","1,735",19.4,"1,487",16.6,"11,085","3,221","7,864",15.0,51.6,"4,034",D,"1,480",D,18.8,"7,051",32.8,37.6,901,901,"1,634"
b. 5 to 9,"2,907","3,151","20,896","20,419",419,13.6,289,9.4,"5,094","2,741","2,353",13.4,24.9,"4,140","1,908","2,232",9.3,20.3,954,4.6,40.6,203,203,"1,350"
c. 10 to 19,"1,671","1,859","26,965","25,389",220,12.1,141,7.7,"7,484","2,933","4,551",11.6,29.5,"4,332","1,839","2,493",7.2,17.1,"3,152",12.4,34.2,93,93,"1,234"
d. 20 to 49,958,"1,106","57,660","45,058",95,8.7,75,6.8,"30,813","2,869","27,944",6.4,68.4,"5,609","2,151","3,458",4.8,12.4,"25,204",56.0,24.8,46,46,"1,327"
e. 50 to 99,270,306,"20,029","20,173",24,7.9,17,5.6,"2,761","1,662","1,099",8.2,13.7,"3,049","1,115","1,934",5.5,15.1,-288,-1.4,27.4,10,10,634
f. 100 to 249,107,114,"15,796","16,104",4,3.5,3,2.7,"1,534",520,"1,014",3.2,9.5,"2,150",364,"1,786",2.3,13.4,-616,-3.9,19.0,1,1,D
g. 250 to 499,23,23,"7,626","7,346",3,13.3,2,8.9,"1,809",D,D,D,24.6,"1,249",D,629,D,17.0,560,7.6,34.0,1,1,D
h. 500 to 999,6,7,"4,465","4,636",0,0.0,0,0.0,165,0,165,0.0,3.6,507,0,507,0.0,10.9,-342,-7.3,7.2,,,
i. 1000+,4,4,"16,851","11,360",1,28.6,0,0.0,"11,040",D,D,D,97.2,58,0,58,0.0,0.5,"10,982",96.7,1.0,,,
m. ALL,"14,529","15,602","195,298","171,970","2,501",16.2,"2,014",13.1,"71,785","25,862","45,923",15.0,41.7,"25,128","10,551","14,577",6.1,14.6,"46,657",27.1,29.2,"1,255","1,255","6,637"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"8,931","9,405","24,005","21,344","1,758",19.0,"1,391",15.1,"9,065",D,D,D,42.5,"3,742","2,528","1,214",11.8,17.5,"5,323",25.0,35.0,998,998,D
b. 5 to 9,"2,985","3,251","23,283","21,968",367,11.5,254,7.9,"6,005","2,408","3,597",11.0,27.3,"3,374","1,642","1,732",7.5,15.4,"2,631",11.9,30.8,169,169,"1,079"
c. 10 to 19,"1,731","1,905","27,759","26,320",188,10.0,138,7.3,"6,549","2,502","4,047",9.5,24.9,"3,671","1,824","1,847",6.9,13.9,"2,878",11.0,27.8,97,97,"1,263"
d. 20 to 49,933,"1,084","34,175","33,157",78,7.2,67,6.2,"6,117","2,238","3,879",6.7,18.4,"4,081","1,906","2,175",5.7,12.3,"2,036",6.1,24.6,34,34,886
e. 50 to 99,281,327,"23,817","22,757",20,6.2,13,4.0,"4,510","1,383","3,127",6.1,19.8,"2,389",773,"1,616",3.4,10.5,"2,121",9.3,21.0,6,6,333
f. 100 to 249,111,117,"17,269","16,796",6,5.2,3,2.6,"2,645",816,"1,829",4.9,15.7,"1,699",437,"1,262",2.6,10.1,946,5.6,20.2,2,2,D
g. 250 to 499,24,24,"8,598","7,978",1,4.2,0,0.0,"1,629",D,D,D,20.4,388,0,388,0.0,4.9,"1,241",15.5,9.8,,,
h. 500 to 999,7,8,"6,112","5,750",0,0.0,0,0.0,724,0,724,0.0,12.6,0,0,0,0.0,0.0,724,12.6,0.0,,,
i. 1000+,5,7,"6,192","26,959",0,0.0,0,0.0,193,0,193,0.0,0.7,"41,727",0,"41,727",0.0,154.8,"-41,534",-154.1,1.4,,,
m. ALL,"15,008","16,128","171,210","183,029","2,418",15.2,"1,866",11.8,"37,437","12,897","24,540",7.0,20.5,"61,071","9,110","51,961",5.0,33.4,"-23,634",-12.9,41.0,"1,306","1,306","5,665"
,,1979,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"8,543","9,010","22,811","20,754","1,515",16.9,"1,355",15.1,"8,120","2,871","5,249",13.8,39.1,"4,006","2,505","1,501",12.1,19.3,"4,114",19.8,38.6,978,978,"1,828"
