Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"130,521","142,952","366,734","326,014","32,132",23.2,"22,897",16.5,"147,481","63,137","84,344",19.4,45.2,"66,040","42,372","23,668",13.0,20.3,"81,441",24.9,40.6,"16,331","16,401","30,449"
b. 5 to 9,"44,930","53,580","370,721","349,890","8,802",17.0,"5,383",10.4,"115,138","57,407","57,731",16.4,32.9,"73,475","35,075","38,400",10.0,21.0,"41,663",11.9,42.0,"3,730","3,754","24,403"
c. 10 to 19,"26,060","33,046","469,580","445,902","4,929",15.3,"3,098",9.6,"135,914","65,529","70,385",14.7,30.5,"88,558","41,939","46,619",9.4,19.9,"47,356",10.6,39.8,"2,014","2,030","27,348"
d. 20 to 49,"15,872","21,675","670,609","650,490","2,770",13.0,"1,923",9.0,"165,779","83,136","82,643",12.8,25.5,"125,541","57,425","68,116",8.8,19.3,"40,238",6.2,38.6,"1,159","1,163","34,670"
e. 50 to 99,"5,182","7,214","501,765","489,362",727,10.2,517,7.3,"109,720","48,695","61,025",10.0,22.4,"84,914","34,857","50,057",7.1,17.4,"24,806",5.0,34.8,284,285,"19,489"
f. 100 to 249,"2,574","3,721","574,737","557,427",344,9.4,224,6.1,"118,990","53,387","65,603",9.6,21.3,"84,369","32,490","51,879",5.8,15.1,"34,621",6.2,30.2,99,100,"14,608"
g. 250 to 499,677,950,"323,690","323,970",66,7.0,57,6.0,"54,329","22,883","31,446",7.1,16.8,"54,888","19,879","35,009",6.1,16.9,-559,-0.1,33.6,21,21,"6,914"
h. 500 to 999,311,407,"276,917","269,015",21,5.3,0,0.0,"39,937","13,939","25,998",5.2,14.8,"24,134",0,"24,134",0.0,9.0,"15,803",5.8,18.0,,,
i. 1000+,167,210,"435,061","433,397",10,4.9,0,0.0,"53,342","25,988","27,354",6.0,12.3,"50,013",0,"50,013",0.0,11.5,"3,329",0.8,23.0,,,
m. ALL,"226,294","263,755","3,989,814","3,845,467","49,801",19.4,"34,099",13.3,"940,630","434,101","506,529",11.3,24.5,"651,932","264,037","387,895",6.9,17.0,"288,698",7.5,34.0,"23,638","23,754","157,881"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"120,035","133,190","368,720","334,318","25,767",18.8,"31,452",22.9,"147,382","50,864","96,518",15.2,44.1,"78,578","60,180","18,398",18.0,23.5,"68,804",20.6,47.0,"18,836","18,870","35,323"
b. 5 to 9,"44,255","52,802","389,188","368,678","7,573",14.2,"7,958",14.9,"123,089","49,497","73,592",13.4,33.4,"82,069","51,787","30,282",14.0,22.3,"41,020",11.1,44.6,"4,389","4,416","28,687"
c. 10 to 19,"26,329","33,393","494,017","470,847","4,124",12.3,"3,977",11.9,"138,014","54,695","83,319",11.6,29.3,"91,674","52,853","38,821",11.2,19.5,"46,340",9.8,39.0,"2,037","2,049","27,226"
d. 20 to 49,"16,129","22,273","735,002","702,867","2,175",9.8,"2,077",9.3,"180,606","64,433","116,173",9.2,25.7,"116,336","61,994","54,342",8.8,16.6,"64,270",9.1,33.2,982,988,"29,058"
e. 50 to 99,"5,237","7,287","526,501","510,996",619,8.5,591,8.1,"111,322","41,504","69,818",8.1,21.8,"80,312","40,272","40,040",7.9,15.7,"31,010",6.1,31.4,236,239,"16,168"
f. 100 to 249,"2,585","3,814","601,500","592,091",238,6.2,289,7.5,"113,320","34,860","78,460",5.9,19.1,"94,501","43,207","51,294",7.3,16.0,"18,819",3.1,32.0,107,107,"15,448"
g. 250 to 499,722,"1,000","355,237","352,533",42,4.2,60,5.9,"56,204","15,611","40,593",4.4,15.9,"50,795","19,840","30,955",5.6,14.4,"5,409",1.5,28.8,24,24,"7,619"
h. 500 to 999,306,427,"298,147","294,716",15,3.5,18,4.2,"40,521","9,581","30,940",3.3,13.7,"33,658","11,683","21,975",4.0,11.4,"6,863",2.3,22.8,6,6,"4,233"
i. 1000+,178,222,"441,271","462,296",4,1.8,7,3.1,"46,652","5,402","41,250",1.2,10.1,"88,701","15,678","73,023",3.4,19.2,"-42,049",-9.1,20.2,3,3,"10,669"
m. ALL,"215,776","254,408","4,209,583","4,089,342","40,557",15.7,"46,429",17.9,"957,110","326,447","630,663",8.0,23.4,"716,624","357,494","359,130",8.7,17.5,"240,486",5.9,35.0,"26,620","26,702","174,431"
,,1979,,,,,,,,,,,,,,,,,,,,,,
