Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"42,294","45,808","116,538","105,782","9,141",20.3,"7,181",16.0,"42,790","17,920","24,870",16.9,40.5,"21,277","13,628","7,649",12.9,20.1,"21,513",20.4,40.2,"4,848","4,867","9,261"
b. 5 to 9,"16,362","19,261","132,235","126,357","2,708",14.4,"1,780",9.5,"36,196","17,498","18,698",13.8,28.6,"24,439","11,566","12,873",9.2,19.3,"11,757",9.3,38.6,"1,166","1,170","7,590"
c. 10 to 19,"9,645","11,601","157,276","153,851","1,427",12.5,980,8.6,"36,151","18,943","17,208",12.3,23.5,"29,300","13,064","16,236",8.5,19.0,"6,851",4.5,38.0,603,607,"8,025"
d. 20 to 49,"5,346","7,404","237,382","225,543",807,11.1,555,7.6,"62,013","24,470","37,543",10.8,27.5,"38,334","16,350","21,984",7.2,17.0,"23,679",10.5,34.0,291,291,"8,474"
e. 50 to 99,"1,657","2,181","147,727","147,396",195,9.0,154,7.1,"26,122","13,215","12,907",9.0,17.7,"25,459","10,733","14,726",7.3,17.3,663,0.4,34.6,68,68,"4,695"
f. 100 to 249,915,"1,267","190,157","187,644",93,7.5,56,4.5,"30,978","13,744","17,234",7.3,16.5,"25,952","8,746","17,206",4.7,13.8,"5,026",2.7,27.6,25,25,"3,642"
g. 250 to 499,304,392,"135,629","134,289",26,6.7,16,4.1,"20,137","8,777","11,360",6.5,15.0,"17,456","5,363","12,093",4.0,13.0,"2,681",2.0,26.0,4,4,"1,350"
h. 500 to 999,119,147,"101,892","98,459",9,6.3,0,0.0,"14,063","6,104","7,959",6.2,14.3,"7,198",0,"7,198",0.0,7.3,"6,865",7.0,14.6,,,
i. 1000+,65,80,"172,270","180,996",4,5.2,0,0.0,"14,313","6,598","7,715",3.6,7.9,"31,765",0,"31,765",0.0,17.6,"-17,452",-9.7,15.8,,,
m. ALL,"76,707","88,141","1,391,106","1,360,317","14,410",16.7,"10,722",12.4,"282,763","127,269","155,494",9.4,20.8,"221,180","79,450","141,730",5.8,16.3,"61,583",4.5,32.6,"7,005","7,032","43,037"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"44,121","47,726","130,650","114,563","9,255",19.9,"6,952",14.9,"51,810","17,416","34,394",15.2,45.2,"19,635","13,062","6,573",11.4,17.1,"32,175",28.1,34.2,"5,007","5,009","9,250"
b. 5 to 9,"17,026","20,181","145,226","136,337","2,362",11.9,"1,614",8.1,"39,625","15,287","24,338",11.2,29.1,"21,847","10,443","11,404",7.7,16.0,"17,778",13.1,32.0,"1,116","1,118","7,218"
c. 10 to 19,"9,967","12,012","170,888","163,901","1,195",10.1,852,7.2,"39,890","15,774","24,116",9.6,24.3,"25,916","11,375","14,541",6.9,15.8,"13,974",8.5,31.6,508,509,"6,739"
d. 20 to 49,"5,524","7,579","238,097","229,885",602,8.0,427,5.7,"49,597","18,253","31,344",7.9,21.6,"33,172","12,700","20,472",5.5,14.4,"16,425",7.2,28.8,200,204,"5,930"
e. 50 to 99,"1,717","2,288","162,847","159,362",139,6.1,124,5.4,"29,765","9,325","20,440",5.9,18.7,"22,795","8,586","14,209",5.4,14.3,"6,970",4.4,28.6,39,41,"2,699"
f. 100 to 249,902,"1,261","194,646","192,401",69,5.5,68,5.4,"30,165","9,526","20,639",5.0,15.7,"25,675","10,582","15,093",5.5,13.3,"4,490",2.4,26.6,17,17,D
g. 250 to 499,289,383,"133,900","132,652",14,3.6,16,4.2,"17,323",D,D,D,13.1,"14,826","5,127","9,699",3.9,11.2,"2,497",1.9,22.4,4,4,"1,224"
h. 500 to 999,140,167,"113,781","112,803",4,2.4,4,2.4,"10,347","2,401","7,946",2.1,9.2,"8,390","2,782","5,608",2.5,7.4,"1,957",1.8,14.8,1,1,D
i. 1000+,68,85,"186,332","191,404",1,1.2,4,4.6,"17,358",D,D,D,9.1,"27,502","7,628","19,874",4.0,14.4,"-10,144",-5.3,18.2,3,3,"5,782"
m. ALL,"79,754","91,682","1,476,367","1,433,308","13,641",15.2,"10,061",11.2,"285,880","93,949","191,931",6.6,19.9,"199,758","82,285","117,473",5.7,13.9,"86,122",6.0,27.8,"6,895","6,906","42,338"
,,1979,,,,,,,,,,,,,,,,,,,,,,
