Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"40,904","43,764","111,998","98,380","10,560",25.1,"7,021",16.7,"47,046","19,819","27,227",20.1,47.8,"19,809","13,006","6,803",13.2,20.1,"27,237",27.7,40.2,"4,619","4,632","8,681"
b. 5 to 9,"14,331","16,263","113,424","106,488","2,643",16.8,"1,554",9.9,"34,720","17,189","17,531",16.1,32.6,"20,848","10,074","10,774",9.5,19.6,"13,872",13.0,39.2,"1,009","1,011","6,533"
c. 10 to 19,"7,700","9,113","128,333","121,973","1,372",15.5,838,9.5,"36,140","18,136","18,004",14.9,29.6,"23,419","11,394","12,025",9.3,19.2,"12,721",10.4,38.4,549,552,"7,435"
d. 20 to 49,"4,540","5,777","181,207","175,089",703,12.4,529,9.3,"43,280","20,985","22,295",12.0,24.7,"31,043","15,328","15,715",8.8,17.7,"12,237",7.0,35.4,325,325,"9,390"
e. 50 to 99,"1,367","1,775","129,447","122,901",198,11.4,130,7.5,"31,906","13,176","18,730",10.7,26.0,"18,814","8,516","10,298",6.9,15.3,"13,092",10.7,30.6,56,56,"3,712"
f. 100 to 249,638,810,"118,628","117,404",75,9.4,41,5.2,"20,902","10,696","10,206",9.1,17.8,"18,453","5,852","12,601",5.0,15.7,"2,449",2.1,31.4,18,18,"2,823"
g. 250 to 499,168,207,"70,371","69,454",12,5.9,4,2.0,"9,243",D,D,D,13.3,"7,408","1,238","6,170",1.8,10.7,"1,835",2.6,21.4,3,3,986
h. 500 to 999,76,94,"61,728","61,500",2,2.2,0,0.0,"4,910",D,D,D,8.0,"4,454",0,"4,454",0.0,7.2,456,0.8,14.4,,,
i. 1000+,35,49,"112,488","109,001",5,10.8,0,0.0,"14,550","7,111","7,439",6.5,13.3,"7,575",0,"7,575",0.0,6.9,"6,975",6.4,13.8,,,
m. ALL,"69,759","77,852","1,027,624","982,190","15,570",20.7,"10,117",13.4,"242,697","112,328","130,369",11.4,24.7,"151,823","65,408","86,415",6.7,15.5,"90,874",9.2,31.0,"6,579","6,597","39,560"
,,1978,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"42,433","45,281","134,716","112,456","10,559",24.0,"7,949",18.1,"65,082","19,710","45,372",17.5,57.9,"20,561","14,943","5,618",13.3,18.3,"44,521",39.6,36.6,"5,225","5,227","9,768"
b. 5 to 9,"15,127","17,319","153,286","130,799","2,516",14.9,"1,739",10.3,"65,721","16,435","49,286",12.6,50.2,"20,746","11,224","9,522",8.6,15.9,"44,975",34.3,31.8,"1,081","1,084","6,955"
c. 10 to 19,"8,317","9,791","149,269","138,058","1,143",11.9,829,8.6,"44,180","15,187","28,993",11.0,32.0,"21,757","11,049","10,708",8.0,15.8,"22,423",16.2,31.6,453,456,"6,039"
d. 20 to 49,"4,802","6,071","204,068","192,340",563,9.4,431,7.2,"51,485","16,706","34,779",8.7,26.8,"28,028","12,901","15,127",6.7,14.6,"23,457",12.2,29.2,222,223,"6,528"
e. 50 to 99,"1,522","1,951","141,865","134,843",182,9.4,129,6.7,"32,657","12,516","20,141",9.3,24.2,"18,613","8,695","9,918",6.4,13.8,"14,044",10.4,27.6,49,49,"3,294"
f. 100 to 249,668,870,"132,212","130,827",35,4.0,51,5.8,"21,316","5,006","16,310",3.8,16.3,"18,546","7,288","11,258",5.6,14.2,"2,770",2.1,28.4,14,14,"2,051"
g. 250 to 499,181,229,"82,504","79,454",10,4.4,6,2.6,"13,081","3,173","9,908",4.0,16.5,"6,981","1,693","5,288",2.1,8.8,"6,100",7.7,17.6,1,1,D
h. 500 to 999,81,102,"68,852","67,871",4,4.0,2,2.0,"9,859","2,827","7,032",4.2,14.5,"7,897",D,"6,266",D,11.6,"1,962",2.9,23.2,2,2,D
i. 1000+,42,55,"132,392","126,314",8,15.4,2,3.8,"25,950","12,999","12,951",10.3,20.5,"13,794",D,"9,613",D,10.9,"12,156",9.6,21.8,2,2,D
m. ALL,"73,173","81,669","1,199,164","1,112,962","15,020",18.8,"11,138",14.0,"329,331","104,559","224,772",9.4,29.6,"156,923","73,605","83,318",6.6,14.1,"172,408",15.5,28.2,"7,049","7,058","40,740"
,,1979,,,,,,,,,,,,,,,,,,,,,,
