state,year,sname,ent015ua,n1,,,,,,,
,,,,,,,,,,,
63,1996,Alabama,0.003096169,7536,,,,,,,
94,1996,Alaska,0.006203658,6213,,,,,,,
86,1996,Arizona,0.003741329,7721,,,,,,,
71,1996,Arkansas,0.002487556,7371,,,,,,,
93,1996,California,0.003541162,43644,,,,,,,
84,1996,Colorado,0.005428526,7377,,,,,,,
16,1996,Connecticut,0.003519562,5462,,,,,,,
51,1996,Delaware,0.002884509,5608,,,,,,,
53,1996,District of Co,0.002585564,5308,,,,,,,
59,1996,Florida,0.003806263,23225,,,,,,,
58,1996,Georgia,0.003948291,9457,,,,,,,
95,1996,Hawaii,0.001961422,5563,,,,,,,
82,1996,Idaho,0.003973299,7289,,,,,,,
33,1996,Illinois,0.002864141,22935,,,,,,,
32,1996,Indiana,0.002692306,7381,,,,,,,
42,1996,Iowa,0.005577304,6794,,,,,,,
47,1996,Kansas,0.004112301,6734,,,,,,,
61,1996,Kentucky,0.003435997,7284,,,,,,,
72,1996,Louisiana,0.002981217,7378,,,,,,,
11,1996,Maine,0.003661489,5872,,,,,,,
52,1996,Maryland,0.002559134,6482,,,,,,,
14,1996,Massachusetts,0.00220867,12822,,,,,,,
34,1996,Michigan,0.0020262,19371,,,,,,,
41,1996,Minnesota,0.002355378,7578,,,,,,,
64,1996,Mississippi,0.002202684,6840,,,,,,,
43,1996,Missouri,0.003447981,6601,,,,,,,
81,1996,Montana,0.004603926,6980,,,,,,,
46,1996,Nebraska,0.002223651,6650,,,,,,,
88,1996,Nevada,0.003502102,6418,,,,,,,
12,1996,New Hampshire,0.003255356,5299,,,,,,,
22,1996,New Jersey,0.001508432,16292,,,,,,,
85,1996,New Mexico,0.004641632,7399,,,,,,,
21,1996,New York,0.002798856,34213,,,,,,,
56,1996,North Carolina,0.003082403,14227,,,,,,,
44,1996,North Dakota,0.005538276,6354,,,,,,,
31,1996,Ohio,0.002419277,21042,,,,,,,
73,1996,Oklahoma,0.004420679,7871,,,,,,,
92,1996,Oregon,0.004923143,6211,,,,,,,
23,1996,Pennsylvania,0.001961463,23579,,,,,,,
15,1996,Rhode Island,0.001787845,5590,,,,,,,
57,1996,South Carolina,0.003344005,6038,,,,,,,
45,1996,South Dakota,0.003066327,6830,,,,,,,
62,1996,Tennessee,0.004923983,7123,,,,,,,
74,1996,Texas,0.003470998,25937,,,,,,,
87,1996,Utah,0.003074873,7369,,,,,,,
13,1996,Vermont,0.004044399,5357,,,,,,,
54,1996,Virginia,0.002553028,8593,,,,,,,
91,1996,Washington,0.003152101,6973,,,,,,,
55,1996,West Virginia,0.00184833,8137,,,,,,,
35,1996,Wisconsin,0.001873159,8132,,,,,,,
83,1996,Wyoming,0.00353519,6547,,,,,,,
,1997,Alabama,0.00272443,7499,,,,,,,
,1997,Alaska,0.006106132,6168,,,,,,,
,1997,Arizona,0.004299466,7745,,,,,,,
,1997,Arkansas,0.004494554,7128,,,,,,,
,1997,California,0.003432149,44032,,,,,,,
,1997,Colorado,0.002963438,7916,,,,,,,
,1997,Connecticut,0.001458458,5476,,,,,,,
,1997,Delaware,0.002365828,5392,,,,,,,
,1997,District of Co,0.00277543,5130,,,,,,,
,1997,Florida,0.003242124,23228,,,,,,,
,1997,Georgia,0.002223458,9726,,,,,,,
,1997,Hawaii,0.002112941,5447,,,,,,,
,1997,Idaho,0.004240229,7609,,,,,,,
,1997,Illinois,0.002105604,22657,,,,,,,
,1997,Indiana,0.001854816,7638,,,,,,,
,1997,Iowa,0.00314343,6767,,,,,,,
,1997,Kansas,0.002581735,6696,,,,,,,
,1997,Kentucky,0.002839849,7242,,,,,,,
,1997,Louisiana,0.003537419,7428,,,,,,,
,1997,Maine,0.002973678,5803,,,,,,,
,1997,Maryland,0.002396085,6156,,,,,,,
,1997,Massachusetts,0.001722718,13109,,,,,,,
,1997,Michigan,0.002767025,19337,,,,,,,
,1997,Minnesota,0.003100504,7569,,,,,,,
,1997,Mississippi,0.00234374,6933,,,,,,,
,1997,Missouri,0.002044698,6511,,,,,,,
,1997,Montana,0.005371888,6902,,,,,,,
,1997,Nebraska,0.005565171,6793,,,,,,,
,1997,Nevada,0.003456593,6743,,,,,,,
,1997,New Hampshire,0.001234588,5325,,,,,,,
,1997,New Jersey,0.002225093,16329,,,,,,,
,1997,New Mexico,0.005520117,7601,,,,,,,
,1997,New York,0.002588502,34417,,,,,,,
,1997,North Carolina,0.002403529,14695,,,,,,,
,1997,North Dakota,0.0049703,6362,,,,,,,
,1997,Ohio,0.002757334,20674,,,,,,,
,1997,Oklahoma,0.003259354,7899,,,,,,,
,1997,Oregon,0.003295334,6352,,,,,,,
,1997,Pennsylvania,0.001519699,22592,,,,,,,
,1997,Rhode Island,0.0014077,5573,,,,,,,
,1997,South Carolina,0.00260034,6339,,,,,,,
,1997,South Dakota,0.004565955,6656,,,,,,,
,1997,Tennessee,0.002570981,7078,,,,,,,
,1997,Texas,0.003112008,26056,,,,,,,
,1997,Utah,0.003479303,7534,,,,,,,
,1997,Vermont,0.004282636,5195,,,,,,,
,1997,Virginia,0.002960181,8488,,,,,,,
,1997,Washington,0.003008447,7091,,,,,,,
,1997,West Virginia,0.001310267,7860,,,,,,,
,1997,Wisconsin,0.002259815,7943,,,,,,,
,1997,Wyoming,0.003265456,6290,,,,,,,
,1998,Alabama,0.001234641,7473,,,,,,,
,1998,Alaska,0.005348941,5934,,,,,,,
,1998,Arizona,0.004051499,7812,,,,,,,
,1998,Arkansas,0.002388409,6996,,,,,,,
,1998,California,0.003367884,44147,,,,,,,
,1998,Colorado,0.004780105,8038,,,,,,,
,1998,Connecticut,0.00132367,5638,,,,,,,
,1998,Delaware,0.001646618,5571,,,,,,,
,1998,District of Co,0.002949269,4884,,,,,,,
,1998,Florida,0.003020958,24096,,,,,,,
,1998,Georgia,0.003225163,9720,,,,,,,
,1998,Hawaii,0.00217718,5282,,,,,,,
,1998,Idaho,0.003448231,7804,,,,,,,
,1998,Illinois,0.002454653,22495,,,,,,,
,1998,Indiana,0.00275144,7661,,,,,,,
,1998,Iowa,0.002783836,6875,,,,,,,
,1998,Kansas,0.003219334,6924,,,,,,,
,1998,Kentucky,0.002199618,7440,,,,,,,
,1998,Louisiana,0.003053438,7183,,,,,,,
,1998,Maine,0.004759985,5891,,,,,,,
,1998,Maryland,0.002605659,6037,,,,,,,
,1998,Massachusetts,0.002083066,13102,,,,,,,
,1998,Michigan,0.0025717,19448,,,,,,,
,1998,Minnesota,0.003768105,7880,,,,,,,
,1998,Mississippi,0.003416572,6746,,,,,,,
,1998,Missouri,0.003177289,6209,,,,,,,
,1998,Montana,0.005649282,6978,,,,,,,
,1998,Nebraska,0.00295495,6773,,,,,,,
,1998,Nevada,0.003724852,6999,,,,,,,
,1998,New Hampshire,0.003052093,5812,,,,,,,
,1998,New Jersey,0.002646758,16316,,,,,,,
,1998,New Mexico,0.006938742,7522,,,,,,,
,1998,New York,0.002879533,33698,,,,,,,
,1998,North Carolina,0.002974641,14273,,,,,,,
,1998,North Dakota,0.003233735,6484,,,,,,,
,1998,Ohio,0.002429741,20464,,,,,,,
,1998,Oklahoma,0.003709843,8069,,,,,,,
,1998,Oregon,0.004660049,6548,,,,,,,
,1998,Pennsylvania,0.001538586,22938,,,,,,,
,1998,Rhode Island,0.001849264,5619,,,,,,,
,1998,South Carolina,0.003113749,6284,,,,,,,
,1998,South Dakota,0.005056184,6468,,,,,,,
,1998,Tennessee,0.002888718,6988,,,,,,,
,1998,Texas,0.002519153,26280,,,,,,,
,1998,Utah,0.003011552,7278,,,,,,,
,1998,Vermont,0.003584352,5232,,,,,,,
,1998,Virginia,0.002323793,8650,,,,,,,
,1998,Washington,0.002544719,7295,,,,,,,
,1998,West Virginia,0.002510493,7500,,,,,,,
,1998,Wisconsin,0.002663145,7730,,,,,,,
,1998,Wyoming,0.004291834,6812,,,,,,,
,1999,Alabama,0.001958608,7824,,,,,,,
,1999,Alaska,0.004073136,6168,,,,,,,
,1999,Arizona,0.001785511,8228,,,,,,,
,1999,Arkansas,0.003163994,6992,,,,,,,
,1999,California,0.003580701,44424,,,,,,,
,1999,Colorado,0.004207286,8188,,,,,,,
,1999,Connecticut,0.003015378,5668,,,,,,,
,1999,Delaware,0.001281921,5364,,,,,,,
,1999,District of Co,0.001446481,4873,,,,,,,
,1999,Florida,0.002974823,24123,,,,,,,
,1999,Georgia,0.002573151,9326,,,,,,,
,1999,Hawaii,0.003007949,5164,,,,,,,
,1999,Idaho,0.004085902,7709,,,,,,,
,1999,Illinois,0.002190679,22465,,,,,,,
,1999,Indiana,0.003774993,7256,,,,,,,
,1999,Iowa,0.002462964,6714,,,,,,,
,1999,Kansas,0.002422745,6737,,,,,,,
,1999,Kentucky,0.001823333,7460,,,,,,,
,1999,Louisiana,0.003174531,7294,,,,,,,
,1999,Maine,0.002756041,5836,,,,,,,
,1999,Maryland,0.003319925,5933,,,,,,,
,1999,Massachusetts,0.001207108,13229,,,,,,,
,1999,Michigan,0.002154947,19219,,,,,,,
,1999,Minnesota,0.002442422,7859,,,,,,,
,1999,Mississippi,0.003760256,6321,,,,,,,
,1999,Missouri,0.001958481,6403,,,,,,,
,1999,Montana,0.004122701,7393,,,,,,,
,1999,Nebraska,0.002093704,6830,,,,,,,
,1999,Nevada,0.002035862,7591,,,,,,,
,1999,New Hampshire,0.002462101,5775,,,,,,,
,1999,New Jersey,0.002017932,16233,,,,,,,
,1999,New Mexico,0.004175996,7281,,,,,,,
,1999,New York,0.002876214,32471,,,,,,,
,1999,North Carolina,0.003212528,14051,,,,,,,
,1999,North Dakota,0.00395685,6545,,,,,,,
,1999,Ohio,0.002808184,20985,,,,,,,
,1999,Oklahoma,0.002867698,7868,,,,,,,
,1999,Oregon,0.004491315,6712,,,,,,,
,1999,Pennsylvania,0.001420402,22638,,,,,,,
,1999,Rhode Island,0.001355311,5800,,,,,,,
,1999,South Carolina,0.002212975,6081,,,,,,,
,1999,South Dakota,0.003365885,6719,,,,,,,
,1999,Tennessee,0.001996021,7521,,,,,,,
,1999,Texas,0.002839979,27103,,,,,,,
,1999,Utah,0.002755436,7622,,,,,,,
,1999,Vermont,0.003594727,5154,,,,,,,
,1999,Virginia,0.001677281,8654,,,,,,,
,1999,Washington,0.002936841,7276,,,,,,,
,1999,West Virginia,0.001957681,7628,,,,,,,
,1999,Wisconsin,0.001462691,7640,,,,,,,
,1999,Wyoming,0.005131672,6642,,,,,,,
,2000,Alabama,0.002276244,7975,,,,,,,
,2000,Alaska,0.006578865,6293,,,,,,,
,2000,Arizona,0.003985403,8465,,,,,,,
,2000,Arkansas,0.003396615,7149,,,,,,,
,2000,California,0.002842759,44651,,,,,,,
,2000,Colorado,0.003445108,7737,,,,,,,
,2000,Connecticut,0.001835139,5567,,,,,,,
,2000,Delaware,0.002475307,5396,,,,,,,
,2000,District of Co,0.004091029,5117,,,,,,,
,2000,Florida,0.003127132,24669,,,,,,,
,2000,Georgia,0.002693759,8931,,,,,,,
,2000,Hawaii,0.002430724,5308,,,,,,,
,2000,Idaho,0.004412287,7549,,,,,,,
,2000,Illinois,0.002372617,22898,,,,,,,
,2000,Indiana,0.00296011,7445,,,,,,,
,2000,Iowa,0.003941032,6873,,,,,,,
