MAUI COUNTY,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force ,,,
,,,,,Percent of
,Annual,Total,Employed,Unemployed,Labor Force
,1990,"57,300","54,900","2,400",4.2
,1991,"60,350","57,100","3,250",5.4
,1992,"64,800","59,600","5,200",8.0
,1993,"65,500","62,000","3,500",5.4
,1994,"66,350","62,500","3,850",5.8
,1995,"67,250","62,600","4,600",6.9
,1996,"68,350","63,750","4,600",6.7
,1997,"69,950","65,200","4,750",6.8
,1998,"71,100","66,700","4,350",6.2
,1999,"73,050","69,350","3,700",5.1
,2000,"71,300","68,700","2,600",3.7
,2001,"73,200","70,300","2,950",4.0
,2002,"72,300","69,500","2,800",3.9
,2003,"72,850","70,100","2,700",3.7
,2004,"74,250","72,000","2,300",3.1
,2005,"75,000","73,050","1,950",2.6
,2006,"76,600","74,800","1,800",2.4
,2007,"78,300","76,100","2,200",2.8
,2008,"78,700","75,050","3,600",4.6
,2009(c),"76,600","69,900","6,700",8.7
,2010(b),"76,750","70,200","6,550",8.5
,2011(b),"78,150","72,150","6,000",7.7
,2012(b),"77,500","72,700","4,800",6.2
,2013(b),"77,500","73,550","4,000",5.1
,2014,,,,
,,,,,
,Monthly,,,,
,,,,,
,Jan-1990,"55,750","53,500","2,250",4.0
,Feb-1990,"55,600","53,550","2,050",3.7
,Mar-1990,"56,000","53,850","2,150",3.8
,Apr-1990,"56,900","54,750","2,150",3.8
,May-1990,"56,950","54,600","2,350",4.1
,June-1990,"59,150","55,800","3,300",5.6
,July-1990,"59,650","56,950","2,750",4.6
,Aug-1990,"58,950","56,550","2,450",4.1
,Sep-1990,"57,700","54,800","2,950",5.1
,Oct-1990,"57,300","54,950","2,350",4.1
,Nov-1990,"57,000","54,650","2,350",4.1
,Dec-1990,"56,550","54,700","1,900",3.3
,Jan-1991,"57,550","55,200","2,400",4.1
,Feb-1991,"57,900","55,250","2,600",4.5
,Mar-1991,"58,250","55,700","2,550",4.4
,Apr-1991,"58,950","56,450","2,450",4.2
,May-1991,"58,800","55,950","2,850",4.8
,June-1991,"61,150","57,000","4,150",6.8
,July-1991,"61,800","58,050","3,700",6.0
,Aug-1991,"62,300","58,800","3,500",5.6
,Sep-1991,"62,150","58,050","4,150",6.6
,Oct-1991,"61,550","58,100","3,450",5.6
,Nov-1991,"62,250","58,500","3,800",6.1
,Dec-1991,"61,800","58,200","3,600",5.8
,Jan-1992,"63,050","58,900","4,150",6.6
,Feb-1992,"62,800","58,400","4,450",7.1
,Mar-1992,"63,100","58,500","4,600",7.3
,Apr-1992,"63,750","59,300","4,400",6.9
,May-1992,"64,200","59,000","5,200",8.1
,June-1992,"66,250","59,750","6,450",9.8
,July-1992,"67,500","61,450","6,050",9.0
,Aug-1992,"66,600","60,800","5,800",8.7
,Sep-1992,"65,100","59,150","5,950",9.1
,Oct-1992,"64,600","59,650","5,000",7.7
,Nov-1992,"65,550","60,000","5,550",8.5
,Dec-1992,"65,350","60,450","4,900",7.5
,Jan-1993,"64,850","60,850","4,000",6.2
,Feb-1993,"64,750","60,900","3,850",5.9
,Mar-1993,"65,150","61,350","3,800",5.8
,Apr-1993,"65,150","61,800","3,350",5.1
,May-1993,"65,300","62,050","3,250",5.0
,June-1993,"66,800","62,900","3,850",5.8
,July-1993,"67,650","63,950","3,700",5.5
,Aug-1993,"66,900","63,500","3,450",5.1
,Sep-1993,"65,300","61,850","3,450",5.3
,Oct-1993,"64,500","61,300","3,250",5.0
,Nov-1993,"65,400","62,150","3,250",5.0
,Dec-1993,"64,550","61,550","3,000",4.6
,Jan-1994,"66,100","62,150","4,000",6.0
,Feb-1994,"65,400","61,750","3,600",5.5
,Mar-1994,"65,400","61,650","3,750",5.7
,Apr-1994,"65,800","62,100","3,700",5.6
,May-1994,"65,650","62,100","3,550",5.4
,June-1994,"66,350","62,100","4,250",6.4
,July-1994,"68,400","64,150","4,250",6.2
,Aug-1994,"67,600","63,650","3,950",5.9
,Sep-1994,"66,350","62,300","4,050",6.1
,Oct-1994,"66,100","62,350","3,750",5.7
,Nov-1994,"66,650","62,950","3,700",5.6
,Dec-1994,"66,300","62,800","3,500",5.3
,Jan-1995,"67,650","63,250","4,400",6.5
,Feb-1995,"66,300","62,350","3,950",6.0
,Mar-1995,"66,450","62,350","4,050",6.1
,Apr-1995,"67,300","62,850","4,450",6.6
,May-1995,"66,650","62,100","4,600",6.9
,June-1995,"67,800","62,400","5,400",8.0
,July-1995,"69,250","64,100","5,150",7.4
,Aug-1995,"68,250","63,350","4,900",7.2
,Sep-1995,"67,100","62,050","5,050",7.6
,Oct-1995,"66,550","61,950","4,600",6.9
,Nov-1995,"66,700","62,250","4,450",6.7
,Dec-1995,"66,800","62,500","4,250",6.4
,Jan-1996,"67,750","62,800","4,950",7.3
,Feb-1996,"66,900","62,450","4,450",6.7
,Mar-1996,"67,600","63,000","4,600",6.8
,Apr-1996,"68,050","63,500","4,550",6.7
,May-1996,"67,350","63,050","4,300",6.4
,June-1996,"68,050","63,300","4,750",7.0
,July-1996,"70,400","65,650","4,750",6.8
,Aug-1996,"69,400","64,950","4,450",6.4
,Sep-1996,"68,450","63,700","4,750",6.9
,Oct-1996,"68,300","63,900","4,400",6.4
,Nov-1996,"68,750","64,050","4,700",6.8
,Dec-1996,"69,150","64,500","4,600",6.7
,Jan-1997,"69,800","64,800","5,000",7.2
,Feb-1997,"69,600","65,000","4,600",6.6
,Mar-1997,"70,100","65,500","4,600",6.6
,Apr-1997,"70,350","65,350","5,000",7.1
,May-1997,"69,350","64,600","4,750",6.8
,June-1997,"70,150","64,650","5,500",7.8
,July-1997,"71,850","66,700","5,150",7.2
,Aug-1997,"70,850","66,250","4,600",6.5
,Sep-1997,"69,950","64,950","4,950",7.1
,Oct-1997,"69,050","64,750","4,300",6.2
,Nov-1997,"69,200","65,000","4,150",6.0
,Dec-1997,"69,200","64,950","4,250",6.2
,Jan-1998,"69,850","65,550","4,350",6.2
,Feb-1998,"69,600","65,300","4,300",6.2
,Mar-1998,"70,350","65,850","4,500",6.4
,Apr-1998,"70,600","66,600","4,000",5.7
,May-1998,"70,650","66,400","4,250",6.0
,June-1998,"72,000","66,900","5,100",7.1
,July-1998,"73,850","69,000","4,850",6.6
,Aug-1998,"72,600","68,100","4,500",6.2
,Sep-1998,"71,050","66,250","4,750",6.7
,Oct-1998,"70,550","66,350","4,200",6.0
,Nov-1998,"70,700","66,800","3,900",5.5
,Dec-1998,"71,200","67,400","3,800",5.3
,Jan-1999,"73,000","69,000","4,000",5.5
,Feb-1999,"72,550","68,650","3,900",5.4
,Mar-1999,"73,000","69,050","3,950",5.4
,Apr-1999,"72,350","68,750","3,550",4.9
,May-1999,"72,200","68,650","3,550",4.9
,June-1999,"72,900","68,700","4,200",5.8
,July-1999,"74,550","70,700","3,850",5.2
,Aug-1999,"73,600","69,900","3,700",5.0
,Sep-1999,"73,250","69,150","4,050",5.6
,Oct-1999,"72,650","69,200","3,450",4.7
,Nov-1999,"73,100","69,850","3,300",4.5
,Dec-1999,"73,400","70,350","3,050",4.2
,Jan-2000,"71,500","68,650","2,850",4.0
,Feb-2000,"70,950","68,200","2,700",3.8
,Mar-2000,"71,850","69,200","2,700",3.7
,Apr-2000,"71,700","69,200","2,550",3.5
,May-2000,"70,650","68,050","2,600",3.7
,June-2000,"71,200","68,200","3,000",4.2
,July-2000,"72,150","69,400","2,750",3.8
