MAUI ISLAND,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force,,,
,,,,,Percent of
,Annual,Total,Employed,Unemployed,Labor Force
,1990,"53,200","51,300","1,900",3.6
,1991,"56,250","53,350","2,900",5.2
,1992,"60,250","55,600","4,650",7.7
,1993,"61,150","58,000","3,150",5.1
,1994,"61,950","58,450","3,500",5.6
,1995,"62,550","58,350","4,200",6.7
,1996,"63,550","59,500","4,050",6.4
,1997,"65,400","61,100","4,250",6.5
,1998,"66,400","62,500","3,900",5.9
,1999,"68,250","65,000","3,250",4.8
,2000,"66,650","64,450","2,200",3.3
,2001,"68,750","66,250","2,550",3.7
,2002,"68,100","65,550","2,550",3.8
,2003,"68,700","66,250","2,400",3.5
,2004,"70,050","68,100","1,950",2.8
,2005,"70,850","69,100","1,700",2.4
,2006,"72,350","70,750","1,600",2.2
,2007,"73,750","71,750","2,000",2.7
,2008,"74,000","70,750","3,250",4.4
,2009,"71,850","65,700","6,150",8.6
,2010,"73,050","66,850","6,200",8.5
,2011,"74,600","68,850","5,750",7.7
,2012,"73,550","69,050","4,500",6.1
,2013(b),"73,550","69,050","3,700",5.0
,2014,,,,
,,,,,
,Monthly,,,,
,,,,,
,,,,,
,Jan-1990,"51,650","50,000","1,650",3.2
,Feb-1990,"51,650","50,050","1,600",3.1
,Mar-1990,"52,100","50,350","1,750",3.4
,Apr-1990,"52,950","51,150","1,800",3.4
,May-1990,"53,000","51,050","1,950",3.6
,June-1990,"54,700","52,250","2,500",4.6
,July-1990,"55,300","53,200","2,100",3.8
,Aug-1990,"54,700","52,900","1,800",3.3
,Sep-1990,"53,450","51,200","2,250",4.2
,Oct-1990,"53,250","51,350","1,900",3.6
,Nov-1990,"53,000","51,100","1,900",3.6
,Dec-1990,"52,800","51,200","1,600",3.0
,Jan-1991,"53,550","51,450","2,100",4.0
,Feb-1991,"53,850","51,550","2,300",4.3
,Mar-1991,"54,250","52,150","2,100",3.8
,Apr-1991,"55,000","52,750","2,250",4.1
,May-1991,"54,800","52,250","2,550",4.7
,June-1991,"56,850","53,250","3,600",6.4
,July-1991,"57,400","54,250","3,150",5.5
,Aug-1991,"57,950","54,900","3,050",5.3
,Sep-1991,"57,950","54,150","3,800",6.5
,Oct-1991,"57,400","54,200","3,150",5.5
,Nov-1991,"58,150","54,650","3,550",6.1
,Dec-1991,"57,650","54,450","3,150",5.5
,Jan-1992,"58,600","54,850","3,750",6.4
,Feb-1992,"58,450","54,350","4,100",7.0
,Mar-1992,"58,700","54,450","4,250",7.2
,Apr-1992,"59,300","55,250","4,000",6.8
,May-1992,"59,700","55,000","4,700",7.9
,June-1992,"61,450","55,750","5,700",9.3
,July-1992,"62,600","57,300","5,300",8.5
,Aug-1992,"61,800","56,700","5,050",8.2
,Sep-1992,"60,500","55,250","5,300",8.7
,Oct-1992,"60,150","55,700","4,450",7.4
,Nov-1992,"60,900","56,100","4,800",7.9
,Dec-1992,"60,950","56,600","4,400",7.2
,Jan-1993,"60,550","56,900","3,650",6.1
,Feb-1993,"60,550","57,050","3,500",5.8
,Mar-1993,"60,900","57,450","3,450",5.7
,Apr-1993,"60,850","57,850","3,000",4.9
,May-1993,"60,950","58,050","2,900",4.7
,June-1993,"62,250","58,950","3,350",5.3
,July-1993,"63,000","59,850","3,150",5.0
,Aug-1993,"62,300","59,350","2,950",4.7
,Sep-1993,"60,850","57,850","3,000",4.9
,Oct-1993,"60,150","57,300","2,900",4.8
,Nov-1993,"61,000","58,100","2,900",4.8
,Dec-1993,"60,300","57,550","2,750",4.5
,Jan-1994,"61,750","58,000","3,750",6.1
,Feb-1994,"61,100","57,700","3,350",5.5
,Mar-1994,"61,150","57,650","3,500",5.8
,Apr-1994,"61,500","58,100","3,400",5.5
,May-1994,"61,400","58,150","3,250",5.3
,June-1994,"61,800","58,100","3,700",6.0
,July-1994,"63,650","59,900","3,750",5.9
,Aug-1994,"62,950","59,450","3,500",5.6
,Sep-1994,"61,950","58,350","3,600",5.8
,Oct-1994,"61,700","58,350","3,350",5.4
,Nov-1994,"62,400","59,000","3,400",5.4
,Dec-1994,"62,100","58,800","3,250",5.3
,Jan-1995,"62,950","58,850","4,100",6.5
,Feb-1995,"61,700","58,000","3,700",6.0
,Mar-1995,"61,850","58,050","3,850",6.2
,Apr-1995,"62,700","58,550","4,100",6.6
,May-1995,"62,100","57,850","4,250",6.8
,June-1995,"63,050","58,100","4,950",7.8
,July-1995,"64,400","59,750","4,650",7.2
,Aug-1995,"63,450","59,050","4,400",7.0
,Sep-1995,"62,350","57,850","4,500",7.2
,Oct-1995,"61,900","57,800","4,050",6.6
,Nov-1995,"62,000","58,000","4,000",6.4
,Dec-1995,"62,250","58,300","3,900",6.3
,Jan-1996,"63,100","58,600","4,550",7.2
,Feb-1996,"62,300","58,200","4,100",6.6
,Mar-1996,"63,050","58,750","4,300",6.8
,Apr-1996,"63,250","59,200","4,050",6.4
,May-1996,"62,600","58,800","3,800",6.0
,June-1996,"63,150","59,000","4,100",6.5
,July-1996,"65,250","61,250","4,000",6.1
,Aug-1996,"64,400","60,550","3,800",5.9
,Sep-1996,"63,500","59,400","4,100",6.4
,Oct-1996,"63,550","59,900","3,700",5.8
,Nov-1996,"64,100","60,000","4,100",6.4
,Dec-1996,"64,550","60,450","4,100",6.4
,Jan-1997,"65,250","60,700","4,550",7.0
,Feb-1997,"65,100","60,900","4,200",6.4
,Mar-1997,"65,550","61,400","4,200",6.4
,Apr-1997,"65,850","61,200","4,600",7.0
,May-1997,"64,800","60,550","4,300",6.6
,June-1997,"65,400","60,600","4,850",7.4
,July-1997,"67,100","62,550","4,550",6.8
,Aug-1997,"66,200","62,100","4,100",6.2
,Sep-1997,"65,300","60,900","4,400",6.8
,Oct-1997,"64,500","60,700","3,850",5.9
,Nov-1997,"64,700","60,950","3,750",5.8
,Dec-1997,"64,750","60,850","3,900",6.0
,Jan-1998,"65,350","61,400","3,950",6.0
,Feb-1998,"65,100","61,200","3,900",6.0
,Mar-1998,"65,800","61,700","4,100",6.3
,Apr-1998,"66,000","62,400","3,650",5.5
,May-1998,"66,000","62,200","3,800",5.8
,June-1998,"67,250","62,650","4,600",6.8
,July-1998,"68,900","64,650","4,250",6.2
,Aug-1998,"67,800","63,800","4,000",5.9
,Sep-1998,"66,250","62,100","4,150",6.3
,Oct-1998,"65,850","62,150","3,700",5.6
,Nov-1998,"66,050","62,600","3,450",5.2
,Dec-1998,"66,600","63,150","3,450",5.2
,Jan-1999,"68,300","64,650","3,650",5.3
,Feb-1999,"67,950","64,350","3,600",5.3
,Mar-1999,"68,350","64,750","3,600",5.3
,Apr-1999,"67,700","64,500","3,200",4.7
,May-1999,"67,500","64,350","3,150",4.6
,June-1999,"68,050","64,400","3,650",5.4
,July-1999,"69,550","66,250","3,300",4.7
,Aug-1999,"68,700","65,550","3,200",4.6
,Sep-1999,"68,250","64,800","3,450",5.0
,Oct-1999,"67,650","64,850","2,800",4.2
,Nov-1999,"68,250","65,450","2,800",4.1
,Dec-1999,"68,550","65,900","2,650",3.8
,Jan-2000,"66,900","64,400","2,500",3.8
,Feb-2000,"66,350","64,000","2,400",3.6
,Mar-2000,"67,250","64,900","2,400",3.5
,Apr-2000,"67,050","64,900","2,200",3.2
,May-2000,"66,000","63,800","2,200",3.3
,June-2000,"66,500","63,950","2,550",3.8
,July-2000,"67,300","65,150","2,150",3.2
,Aug-2000,"66,850","64,700","2,150",3.2
