MOLOKAI,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force ,,,
,,,,,Percent of
,Annual,Total,Employed,Unemployed,Labor Force
,1990,"2,700","2,250",450,16.3
,1991,"2,600","2,350",250,10.2
,1992,"2,950","2,500",450,14.9
,1993,"2,850","2,600",250,8.7
,1994,"2,900","2,650",250,9.1
,1995,"3,000","2,700",350,10.9
,1996,"3,100","2,650",450,14.8
,1997,"2,850","2,500",400,13.6
,1998,"2,950","2,550",400,13.6
,1999,"3,000","2,600",400,13.1
,2000,"2,850","2,500",350,13.0
,2001,"2,550","2,250",300,11.8
,2002,"2,450","2,300",200,7.4
,2003,"2,450","2,200",250,10.1
,2004,"2,550","2,300",300,10.7
,2005,"2,550","2,300",200,8.2
,2006,"2,550","2,350",200,7.5
,2007,"2,500","2,350",150,6.2
,2008,"2,500","2,250",250,9.9
,2009,"2,550","2,200",350,13.7
,2010,"2,650","2,300",350,13.2
,2011,"2,650","2,250",350,14.2
,2012,"2,500","2,150",350,14.0
,2013(b),"2,400","2,150",250,10.0
,2014,,,,
,,,,,
,Monthly,,,,
,,,,,
,,,,,
,Jan-1990,"2,550","2,200",350,13.4
,Feb-1990,"2,500","2,200",300,12.7
,Mar-1990,"2,500","2,200",300,12.6
,Apr-1990,"2,550","2,250",300,12.1
,May-1990,"2,600","2,200",400,15.7
,June-1990,"3,050","2,250",850,27.2
,July-1990,"2,950","2,300",650,21.4
,Aug-1990,"2,850","2,300",550,19.6
,Sep-1990,"2,900","2,300",600,20.9
,Oct-1990,"2,650","2,300",350,13.5
,Nov-1990,"2,600","2,250",350,12.9
,Dec-1990,"2,500","2,250",250,9.2
,Jan-1991,"2,500","2,300",200,8.0
,Feb-1991,"2,450","2,250",150,6.7
,Mar-1991,"2,500","2,300",200,7.4
,Apr-1991,"2,500","2,300",200,7.8
,May-1991,"2,550","2,300",250,9.7
,June-1991,"2,850","2,350",500,17.9
,July-1991,"2,850","2,400",500,16.6
,Aug-1991,"2,750","2,400",350,12.6
,Sep-1991,"2,700","2,400",300,11.0
,Oct-1991,"2,650","2,400",250,8.9
,Nov-1991,"2,550","2,400",150,6.7
,Dec-1991,"2,550","2,400",200,7.0
,Jan-1992,"2,800","2,550",250,8.8
,Feb-1992,"2,800","2,550",250,9.2
,Mar-1992,"2,850","2,550",300,10.4
,Apr-1992,"2,850","2,500",350,11.9
,May-1992,"2,850","2,450",450,15.0
,June-1992,"3,200","2,500",650,21.0
,July-1992,"3,300","2,650",650,20.1
,Aug-1992,"3,250","2,600",650,20.5
,Sep-1992,"2,950","2,400",550,18.7
,Oct-1992,"2,950","2,500",450,15.8
,Nov-1992,"2,950","2,500",450,15.3
,Dec-1992,"2,800","2,500",300,9.9
,Jan-1993,"2,800","2,600",200,6.4
,Feb-1993,"2,750","2,550",200,6.8
,Mar-1993,"2,750","2,550",200,6.9
,Apr-1993,"2,800","2,600",200,7.4
,May-1993,"2,750","2,550",200,8.1
,June-1993,"2,900","2,550",400,13.0
,July-1993,"3,100","2,750",350,11.4
,Aug-1993,"3,000","2,700",350,11.1
,Sep-1993,"2,850","2,550",300,10.1
,Oct-1993,"2,750","2,550",200,7.7
,Nov-1993,"2,850","2,650",200,7.7
,Dec-1993,"2,750","2,600",200,6.7
,Jan-1994,"2,800","2,650",150,5.1
,Feb-1994,"2,800","2,650",150,5.1
,Mar-1994,"2,800","2,650",150,4.9
,Apr-1994,"2,850","2,600",200,7.6
,May-1994,"2,800","2,550",250,8.4
,June-1994,"3,050","2,600",450,14.8
,July-1994,"3,200","2,800",400,11.9
,Aug-1994,"3,150","2,800",350,11.6
,Sep-1994,"2,900","2,550",350,12.1
,Oct-1994,"2,900","2,550",350,11.4
,Nov-1994,"2,800","2,550",250,8.9
,Dec-1994,"2,800","2,600",200,6.3
,Jan-1995,"3,000","2,750",250,8.3
,Feb-1995,"2,900","2,750",200,6.1
,Mar-1995,"2,900","2,750",150,5.6
,Apr-1995,"2,950","2,700",250,8.6
,May-1995,"2,900","2,650",250,9.1
,June-1995,"3,050","2,700",350,11.8
,July-1995,"3,150","2,750",400,12.8
,Aug-1995,"3,150","2,700",400,13.0
,Sep-1995,"3,150","2,650",500,15.9
,Oct-1995,"3,050","2,600",450,14.8
,Nov-1995,"3,100","2,700",400,13.3
,Dec-1995,"2,950","2,650",300,10.1
,Jan-1996,"3,000","2,650",350,11.6
,Feb-1996,"2,950","2,700",300,9.3
,Mar-1996,"2,950","2,700",250,8.9
,Apr-1996,"3,150","2,700",400,13.5
,May-1996,"3,100","2,700",450,13.9
,June-1996,"3,250","2,700",550,16.5
,July-1996,"3,450","2,800",650,18.8
,Aug-1996,"3,300","2,750",550,16.0
,Sep-1996,"3,300","2,750",550,17.0
,Oct-1996,"3,050","2,450",600,19.8
,Nov-1996,"2,950","2,450",500,16.9
,Dec-1996,"2,900","2,500",400,14.2
,Jan-1997,"2,850","2,500",350,12.6
,Feb-1997,"2,800","2,500",300,11.4
,Mar-1997,"2,800","2,500",300,11.3
,Apr-1997,"2,800","2,500",300,11.2
,May-1997,"2,800","2,450",350,12.4
,June-1997,"3,000","2,450",550,18.1
,July-1997,"3,000","2,550",500,16.1
,Aug-1997,"2,900","2,500",400,13.1
,Sep-1997,"2,900","2,450",450,15.5
,Oct-1997,"2,850","2,450",400,14.5
,Nov-1997,"2,850","2,450",350,13.2
,Dec-1997,"2,850","2,450",350,13.0
,Jan-1998,"2,850","2,500",400,13.1
,Feb-1998,"2,850","2,500",350,13.0
,Mar-1998,"2,850","2,500",350,11.9
,Apr-1998,"2,850","2,550",300,11.2
,May-1998,"2,950","2,550",400,14.2
,June-1998,"3,050","2,550",500,15.8
,July-1998,"3,200","2,650",550,16.5
,Aug-1998,"3,050","2,600",400,13.9
,Sep-1998,"3,100","2,550",550,17.2
,Oct-1998,"3,000","2,550",450,14.3
,Nov-1998,"2,900","2,550",350,12.2
,Dec-1998,"2,850","2,600",250,9.1
,Jan-1999,"2,850","2,600",300,9.7
,Feb-1999,"2,800","2,550",250,8.7
,Mar-1999,"2,850","2,600",250,8.6
,Apr-1999,"2,900","2,600",300,10.6
,May-1999,"2,950","2,600",350,12.6
,June-1999,"3,100","2,600",500,16.4
,July-1999,"3,200","2,700",500,16.0
,Aug-1999,"3,100","2,650",450,14.7
,Sep-1999,"3,200","2,650",550,17.0
,Oct-1999,"3,200","2,650",550,16.9
,Nov-1999,"3,100","2,650",400,13.4
,Dec-1999,"3,000","2,700",350,10.9
,Jan-2000,"2,750","2,500",250,9.6
,Feb-2000,"2,750","2,500",300,10.3
,Mar-2000,"2,800","2,500",250,9.3
,Apr-2000,"2,850","2,550",350,11.7
,May-2000,"2,850","2,450",400,13.4
,June-2000,"2,900","2,450",450,14.8
,July-2000,"3,050","2,500",500,17.2
,Aug-2000,"3,000","2,500",550,17.4
,Sep-2000,"3,050","2,450",600,19.6
,Oct-2000,"2,900","2,500",450,14.6
,Nov-2000,"2,750","2,500",250,9.5
,Dec-2000,"2,700","2,500",200,7.1
,Jan-2001,"2,500","2,250",250,9.3
,Feb-2001,"2,600","2,250",350,14.1
,Mar-2001,"2,600","2,250",350,13.6
,Apr-2001,"2,700","2,250",450,16.1
,May-2001,"2,600","2,250",350,14.3
,June-2001,"2,700","2,200",450,17.5
,July-2001,"2,600","2,250",350,13.3
,Aug-2001,"2,500","2,250",250,10.6
,Sep-2001,"2,500","2,200",300,11.3
