LANAI,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force,,,
,,,,,Percent of
,Annual,Total,Employed,Unemployed,Labor Force
,1990,"1,400","1,300",50,5.1
,1991,"1,550","1,450",100,6.7
,1992,"1,600","1,500",100,7.3
,1993,"1,550","1,400",150,9.1
,1994,"1,500","1,400",100,6.0
,1995,"1,650","1,600",100,5.0
,1996,"1,650","1,600",100,5.4
,1997,"1,700","1,600",100,5.3
,1998,"1,700","1,650",50,3.1
,1999,"1,800","1,700",50,3.9
,2000,"1,800","1,750",50,3.0
,2001,"1,800","1,750",50,3.8
,2002,"1,750","1,650",50,4.2
,2003,"1,700","1,650",*,2.8
,2004,"1,650","1,600",*,2.6
,2005,"1,650","1,650",*,1.5
,2006,"1,700","1,700",*,1.3
,2007,"1,750","1,700",*,2.2
,2008,"1,700","1,650",50,3.7
,2009,"1,550","1,400",150,9.7
,2010,"1,500","1,400",100,7.3
,2011,"1,500","1,450",100,5.3
,2012,"1,450","1,400",50,2.5
,2013(b),"1,550","1,500",50,3.3
,2014,,,,
,,,,,
,Monthly,,,,
,,,,,
,Jan-1990,"1,550","1,300",250,16.3
,Feb-1990,"1,400","1,300",100,8.0
,Mar-1990,"1,350","1,300",50,3.7
,Apr-1990,"1,450","1,350",50,4.8
,May-1990,"1,350","1,350",50,1.9
,June-1990,"1,350","1,350",0,0.0
,July-1990,"1,450","1,400",50,1.8
,Aug-1990,"1,400","1,350",50,3.4
,Sep-1990,"1,400","1,300",50,4.6
,Oct-1990,"1,400","1,300",100,5.7
,Nov-1990,"1,350","1,250",100,5.9
,Dec-1990,"1,300","1,250",50,3.7
,Jan-1991,"1,550","1,450",50,4.7
,Feb-1991,"1,600","1,450",150,9.0
,Mar-1991,"1,550","1,250",300,19.3
,Apr-1991,"1,400","1,400",50,2.3
,May-1991,"1,450","1,400",50,3.3
,June-1991,"1,450","1,400",50,2.9
,July-1991,"1,500","1,450",50,4.9
,Aug-1991,"1,550","1,500",50,4.3
,Sep-1991,"1,550","1,500",50,3.4
,Oct-1991,"1,550","1,450",100,4.9
,Nov-1991,"1,550","1,450",50,4.8
,Dec-1991,"1,650","1,400",250,15.4
,Jan-1992,"1,650","1,500",100,7.2
,Feb-1992,"1,550","1,500",50,3.9
,Mar-1992,"1,550","1,500",100,4.8
,Apr-1992,"1,600","1,550",50,2.9
,May-1992,"1,650","1,550",100,5.3
,June-1992,"1,600","1,500",100,5.9
,July-1992,"1,650","1,550",100,6.6
,Aug-1992,"1,600","1,500",100,6.3
,Sep-1992,"1,600","1,500",100,5.9
,Oct-1992,"1,550","1,450",100,5.4
,Nov-1992,"1,650","1,350",300,18.9
,Dec-1992,"1,600","1,350",250,14.2
,Jan-1993,"1,500","1,350",150,10.7
,Feb-1993,"1,500","1,350",150,10.1
,Mar-1993,"1,500","1,350",150,9.1
,Apr-1993,"1,500","1,350",150,8.9
,May-1993,"1,550","1,400",150,8.3
,June-1993,"1,600","1,450",150,10.4
,July-1993,"1,600","1,400",200,11.9
,Aug-1993,"1,600","1,450",150,9.2
,Sep-1993,"1,550","1,400",150,9.5
,Oct-1993,"1,600","1,450",150,8.8
,Nov-1993,"1,550","1,450",100,7.4
,Dec-1993,"1,500","1,400",50,4.7
,Jan-1994,"1,600","1,500",100,5.9
,Feb-1994,"1,550","1,450",100,6.8
,Mar-1994,"1,450","1,350",100,6.7
,Apr-1994,"1,500","1,400",100,6.4
,May-1994,"1,450","1,400",100,5.9
,June-1994,"1,500","1,400",100,7.3
,July-1994,"1,550","1,400",100,7.5
